CIA - The World Factbook --  GDP - composition, by sector of origin   

| Rank | country | (%) | Date of Information |
| 125 | Eritrea | 61.40 | 2013 est. |
| 126 | United Arab Emirates | 61.10 | 2013 est. |
| 127 | Argentina | 61.00 | 2013 est. |
| 128 | Tunisia | 61.00 | 2013 est. |
| 129 | Chile | 61.00 | 2013 est. |
| 130 | Nauru | 60.80 | 2009 est. |
| 131 | Venezuela | 60.80 | 2013 est. |
| 132 | San Marino | 60.70 | 2009 |
| 133 | Ukraine | 60.50 | 2013 est. |
| 134 | Czech Republic | 60.30 | 2012 est. |
| 135 | Serbia | 60.30 | 2013 est. |
| 136 | Syria | 60.20 | 2013 est. |
| 137 | El Salvador | 60.10 | 2013 est. |
| 138 | Mexico | 59.80 | 2013 est. |
| 139 | Romania | 59.40 | 2013 est. |
| 140 | Somalia | 59.30 | 2012 est. |
| 141 | Ecuador | 59.00 | 2013 est. |
| 142 | Libya | 58.30 | 2013 est. |
| 143 | Russia | 58.30 | 2013 est. |
| 144 | Korea, South | 58.20 | 2013 est. |
| 145 | Lesotho | 58.20 | 2013 est. |
| 146 | Guinea-Bissau | 58.00 | 2013 est. |
| 147 | Honduras | 57.80 | 2013 est. |
| 148 | Trinidad and Tobago | 57.70 | 2013 est. |
| 149 | Nicaragua | 57.50 | 2013 est. |
| 150 | Philippines | 57.20 | 2013 est. |
| 151 | Tonga | 57.20 | 2013 est. |
| 152 | Sri Lanka | 57.00 | 2013 est. |
| 153 | India | 56.90 | 2013 est. |
| 154 | Kazakhstan | 56.90 | 2011 est. |
| 155 | Central African Republic | 56.60 | 2013 est. |
| 156 | Norway | 56.50 | 2013 est. |
| 157 | Peru | 56.30 | 2013 est. |
| 158 | Madagascar | 56.30 | 2013 est. |
| 159 | Tuvalu | 56.20 | 2002 |
| 160 | Haiti | 56.00 | 2013 est. |
| 161 | Tajikistan | 55.70 | 2013 est. |
| 162 | Colombia | 55.60 | 2013 est. |
| 163 | Benin | 55.60 | 2013 est. |
| 164 | Faroe Islands | 55.00 | 2007 est. |
| 165 | Liechtenstein | 55.00 | 2009 |
| 166 | Mauritania | 54.60 | 2013 est. |
| 167 | Zimbabwe | 54.50 | 2013 est. |
| 168 | Suriname | 54.50 | 2013 est. |
| 169 | Afghanistan | 54.40 | 2011 est. |
| 170 | Bangladesh | 53.90 | 2013 est. |
| 171 | Kenya | 53.30 | 2013 est. |
| 172 | Rwanda | 53.30 | 2013 est. |
| 173 | Morocco | 53.20 | 2012 est. |
| 174 | Pakistan | 53.10 | 2013 est. |
| 175 | Bahrain | 53.00 | 2013 est. |
| 176 | Cote d'Ivoire | 52.40 | 2013 est. |
| 177 | Bolivia | 52.30 | 2013 est. |
| 178 | Cameroon | 52.10 | 2013 est. |
| 179 | Malawi | 51.70 | 2013 est. |
| 180 | Comoros | 51.00 | 2012 est. |
| 181 | Mongolia | 50.90 | 2013 est. |
| 182 | Niger | 50.60 | 2013 est. |
| 183 | Kuwait | 50.60 | 2013 est. |
| 184 | Puerto Rico | 50.50 | 2013 est. |
| 185 | Solomon Islands | 50.00 | 2013 est. |
| 186 | Uganda | 50.00 | 2013 est. |
| 187 | Ghana | 49.80 | 2013 est. |
| 188 | Niue | 49.50 | 2003 |
| 189 | Kuwait | 49.10 | 2013 est. |
| 190 | Puerto Rico | 48.80 | 2013 est. |
| 191 | Nepal | 48.70 | 2013 est. |
| 192 | Uzbekistan | 48.70 | 2013 est. |
| 193 | Malaysia | 48.10 | 2013 est. |
| 194 | Egypt | 48.00 | 2013 est. |
| 195 | Sierra Leone | 47.90 | 2013 est. |
| 196 | Swaziland | 47.80 | 2013 est. |
| 197 | Tanzania | 47.40 | 2013 est. |
| 198 | Burundi | 47.20 | 2013 est. |
| 199 | Korea, North | 47.20 | 2012 est. |
| 200 | Ethiopia | 47.00 | 2013 est. |
| 201 | Slovakia | 47.00 | 2013 est. |
| 202 | Bahrain | 46.70 | 2013 est. |
| 203 | Indonesia | 46.60 | 2013 est. |
| 204 | Guinea | 46.50 | 2013 est. |
| 205 | Zambia | 46.50 | 2013 est. |
| 206 | Mozambique | 46.40 | 2013 est. |
| 207 | Chad | 46.30 | 2013 est. |
| 208 | Belarus | 46.20 | 2013 est. |
| 209 | China | 46.10 | 2013 est. |
| 210 | Bhutan | 45.00 | 2013 est. |
| 211 | Iran | 44.90 | 2013 est. |
| 212 | Kyrgyzstan | 44.80 | 2013 est. |
| 213 | Belarus | 44.70 | 2013 est. |
| 214 | Swaziland | 44.60 | 2013 est. |
| 215 | Iran | 44.50 | 2013 est. |
| 216 | Congo, Democratic Republic of the | 44.30 | 2013 est. |
| 217 | Thailand | 44.20 | 2013 est. |
| 218 | China | 43.90 | 2013 est. |
| 219 | Chad | 43.80 | 2013 est. |
| 220 | Thailand | 43.60 | 2013 est. |
| 221 | Nigeria | 43.00 | 2012 est. |
| 222 | Burkina Faso | 42.80 | 2013 est. |
| 223 | Norway | 42.30 | 2013 est. |
| 224 | Vietnam | 42.20 | 2013 est. |
| 225 | Ethiopia | 42.20 | 2013 est. |
| 226 | Armenia | 42.10 | 2013 est. |
| 227 | Trinidad and Tobago | 42.00 | 2013 est. |
| 228 | Burma | 41.70 | 2013 est. |
| 229 | Bhutan | 41.20 | 2013 est. |
| 230 | Guyana | 40.80 | 2013 est. |
| 231 | Cambodia | 40.70 | 2013 est. |
| 232 | Malaysia | 40.60 | 2013 est. |
| 233 | Western Sahara | 40.00 | 2007 est. |
| 234 | Libya | 39.70 | 2013 est. |
| 235 | Solomon Islands | 39.40 | 2013 est. |
| 236 | San Marino | 39.20 | 2009 |
| 237 | Korea, South | 39.20 | 2013 est. |
| 238 | Papua New Guinea | 39.10 | 2013 est. |
| 239 | Indonesia | 39.10 | 2013 est. |
| 240 | Comoros | 39.00 | 2012 est. |
| 241 | Sudan | 39.00 | 2013 est. |
| 242 | Togo | 38.70 | 2013 est. |
| 243 | Mali | 38.50 | 2013 est. |
| 244 | Vietnam | 38.50 | 2013 est. |
| 245 | Guyana | 38.50 | 2013 est. |
| 246 | Bolivia | 38.50 | 2013 est. |
| 247 | United Arab Emirates | 38.20 | 2013 est. |
| 248 | Burma | 38.00 | 2013 est. |
| 249 | Kazakhstan | 37.90 | 2011 est. |
| 250 | Colombia | 37.80 | 2013 est. |
| 251 | Russia | 37.50 | 2013 est. |
| 252 | Laos | 37.50 | 2013 est. |
| 253 | Peru | 37.50 | 2013 est. |
| 254 | Egypt | 37.50 | 2013 est. |
| 255 | Czech Republic | 37.30 | 2012 est. |
| 256 | Armenia | 37.30 | 2013 est. |
| 257 | Liechtenstein | 37.00 | 2009 |
| 258 | Mali | 37.00 | 2013 est. |
| 259 | Nepal | 36.80 | 2013 est. |
| 260 | Mexico | 36.60 | 2013 est. |
| 261 | Suriname | 36.60 | 2013 est. |
