CIA - The World Factbook --  GDP - composition by sector   

This entry gives the percentage contribution of agriculture, industry, and services to total GDP. Agriculture includes farming, fishing, and forestry. Industry includes mining, manufacturing, energy production, and construction. Services cover government activities, communications, transportation, finance, and all other private economic activities that do not produce material goods. The distribution will total less than 100 percent if the data are incomplete.

| Rank | country | (%) | Date of Information |
| 122 | Russia | 59.10 | 2010 est. |
| 123 | Haiti | 59.00 | 2010 est. |
| 124 | Trinidad and Tobago | 58.80 | 2010 est. |
| 125 | Macedonia | 58.50 | 2010 est. |
| 126 | Namibia | 58.40 | 2010 est. |
| 127 | Belize | 58.20 | 2010 est. |
| 128 | Korea, South | 58.20 | 2010 est. |
| 129 | Tajikistan | 58.10 | 2010 est. |
| 130 | Benin | 58.10 | 2010 est. |
| 131 | Norway | 58.10 | 2010 est. |
| 132 | Bahrain | 58.00 | 2010 est. |
| 133 | Liechtenstein | 58.00 | 2008 |
| 134 | El Salvador | 57.90 | 2010 est. |
| 135 | Sri Lanka | 57.80 | 2010 est. |
| 136 | Ecuador | 57.70 | 2010 est. |
| 137 | Lesotho | 57.70 | 2010 est. |
| 138 | Ukraine | 57.00 | 2010 est. |
| 139 | Gambia, The | 56.40 | 2010 est. |
| 140 | Tuvalu | 56.20 | 2002 |
| 141 | Dominica | 56.10 | 2010 est. |
| 142 | Micronesia, Federated States of | 55.90 | 2004 est. |
| 143 | Syria | 55.70 | 2010 est. |
| 144 | Zimbabwe | 55.70 | 2010 est. |
| 145 | Nicaragua | 55.60 | 2010 est. |
| 146 | United Arab Emirates | 55.50 | 2010 est. |
| 147 | Guinea-Bissau | 55.20 | 2010 est. |
| 148 | Philippines | 55.10 | 2010 est. |
| 149 | Faroe Islands | 55.00 | 2007 est. |
| 150 | Peru | 55.00 | 2010 est. |
| 151 | Tunisia | 54.80 | 2010 est. |
| 152 | India | 54.70 | 2010 est. |
| 153 | Madagascar | 54.50 | 2010 est. |
| 154 | Timor-Leste | 54.10 | 2010 est. |
| 155 | Puerto Rico | 54.00 | 2005 est. |
| 156 | Paraguay | 53.90 | 2010 est. |
| 157 | Central African Republic | 53.80 | 2010 est. |
| 158 | Gabon | 53.70 | 2010 est. |
| 159 | Malawi | 53.50 | 2010 est. |
| 160 | Pakistan | 53.40 | 2010 est. |
| 161 | Marshall Islands | 53.40 | 2004 est. |
| 162 | Yemen | 53.30 | 2010 est. |
| 163 | Colombia | 53.10 | 2010 est. |
| 164 | Chile | 53.10 | 2010 est. |
| 165 | Bangladesh | 53.00 | 2010 est. |
| 166 | Guinea | 53.00 | 2010 est. |
| 167 | Nepal | 52.80 | 2010 est. |
| 168 | Rwanda | 52.10 | 2010 est. |
| 169 | Botswana | 52.00 | 2009 est. |
| 170 | Chad | 52.00 | 2010 est. |
| 171 | Kazakhstan | 51.80 | 2010 est. |
| 172 | Kuwait | 51.70 | 2010 est. |
| 173 | Guyana | 51.50 | 2010 est. |
| 174 | Morocco | 51.40 | 2010 est. |
| 175 | Ghana | 51.40 | 2010 est. |
| 176 | Sierra Leone | 51.30 | 2010 est. |
| 177 | Kyrgyzstan | 51.30 | 2010 est. |
| 178 | Oman | 51.00 | 2010 est. |
| 179 | Uganda | 50.90 | 2010 est. |
| 180 | Cote d'Ivoire | 50.70 | 2010 est. |
| 181 | Cayman Islands | 50.70 | 2010 est. |
| 182 | Romania | 50.20 | 2010 est. |
| 183 | Ethiopia | 50.00 | 2010 est. |
| 184 | Bolivia | 50.00 | 2010 est. |
| 185 | Comoros | 49.60 | 2010 est. |
| 186 | Niue | 49.50 | 2003 |
| 187 | Swaziland | 49.40 | 2010 est. |
| 188 | Cameroon | 48.90 | 2010 est. |
| 189 | Cayman Islands | 48.80 | 2010 est. |
| 190 | Egypt | 48.30 | 2010 est. |
| 191 | Malaysia | 48.20 | 2010 est. |
| 192 | Kuwait | 48.00 | 2010 est. |
| 193 | Iran | 47.90 | 2010 est. |
| 194 | Korea, North | 47.80 | 2010 est. |
| 195 | Tanzania | 47.60 | 2010 est. |
| 196 | Oman | 47.50 | 2010 est. |
| 197 | Niger | 47.40 | 2010 est. |
| 198 | Burundi | 47.00 | 2010 est. |
| 199 | Indonesia | 47.00 | 2010 est. |
