CIA - The World Factbook --  INFLATION RATE (CONSUMER PRICES)

Inflation rate (consumer prices) compares the annual percent change in consumer prices with the previous year's consumer prices.

| Rank | Country | (%) | Date of Information |
| 124 | Malaysia | 2.10 | 2016 est. |
| 125 | American Samoa | 2.10 | 2013 |
| 126 | Gabon | 2.10 | 2016 est. |
| 127 | Georgia | 2.10 | 2016 est. |
| 128 | Cook Islands | 2.20 | 2011 est. |
| 129 | Jamaica | 2.30 | 2016 est. |
| 130 | Macau | 2.40 | 2016 est. |
| 131 | Hong Kong | 2.40 | 2016 est. |
| 132 | Gibraltar | 2.50 | 2013 est. |
| 133 | Tonga | 2.60 | 2016 est. |
| 134 | Curacao | 2.60 | 2013 est. |
| 135 | Djibouti | 2.70 | 2016 est. |
| 136 | Qatar | 2.70 | 2016 est. |
| 137 | Vietnam | 2.70 | 2016 est. |
| 138 | Honduras | 2.70 | 2016 est. |
| 139 | Botswana | 2.80 | 2016 est. |
| 140 | Bahrain | 2.80 | 2016 est. |
| 141 | Mexico | 2.80 | 2016 est. |
| 142 | Wallis and Futuna | 2.80 | 2005 |
| 143 | Cambodia | 3.00 | 2016 est. |
| 144 | Trinidad and Tobago | 3.10 | 2016 est. |
| 145 | Virgin Islands | 3.10 | 2012 |
| 146 | Kuwait | 3.20 | 2016 est. |
| 147 | Guernsey | 3.40 | June 2006 est. |
| 148 | Saudi Arabia | 3.50 | 2016 est. |
| 149 | Tuvalu | 3.50 | 2016 est. |
| 150 | Indonesia | 3.50 | 2016 est. |
| 151 | Nicaragua | 3.50 | 2016 est. |
| 152 | Afghanistan | 3.60 | 2016 est. |
| 153 | Bolivia | 3.60 | 2016 est. |
| 154 | Norway | 3.60 | 2016 est. |
| 155 | Peru | 3.60 | 2016 est. |
| 156 | Congo, Republic of the | 3.60 | 2016 est. |
| 157 | Tunisia | 3.70 | 2016 est. |
| 158 | Jersey | 3.70 | 2006 |
| 159 | Chile | 3.80 | 2016 est. |
| 160 | Pakistan | 3.80 | 2016 est. |
| 161 | Fiji | 3.90 | 2016 est. |
| 162 | Sri Lanka | 4.00 | 2016 est. |
| 163 | Niue | 4.00 | 2005 |
| 164 | Saint Helena, Ascension, and Tristan da Cunha | 4.00 | 2012 est. |
| 165 | Sint Maarten | 4.00 | 2012 est. |
| 166 | Paraguay | 4.10 | 2016 est. |
| 167 | Guatemala | 4.40 | 2016 est. |
| 168 | Bhutan | 4.40 | 2016 est. |
| 169 | Saint Pierre and Miquelon | 4.50 | 2010 |
| 170 | Uganda | 4.50 | 2016 est. |
| 171 | Cuba | 4.50 | 2016 est. |
| 172 | Central African Republic | 4.60 | 2016 est. |
| 173 | India | 4.90 | 2016 est. |
| 174 | Isle of Man | 5.00 | 2010 est. |
| 175 | Tanzania | 5.20 | 2016 est. |
| 176 | Sao Tome and Principe | 5.40 | 2016 est. |
| 177 | Burundi | 5.50 | 2016 est. |
| 178 | Bangladesh | 5.50 | 2016 est. |
| 179 | Rwanda | 5.70 | 2016 est. |
| 180 | Kenya | 6.30 | 2016 est. |
| 181 | Algeria | 6.40 | 2016 est. |
| 182 | Moldova | 6.40 | 2016 est. |
| 183 | South Africa | 6.60 | 2016 est. |
| 184 | Lesotho | 6.60 | 2016 est. |
| 185 | Papua New Guinea | 6.70 | 2016 est. |
| 186 | Namibia | 6.70 | 2016 est. |
| 187 | Madagascar | 6.70 | 2016 est. |
| 188 | Russia | 7.00 | 2016 est. |
| 189 | Burma | 7.00 | 2016 est. |
| 190 | Gambia, The | 7.20 | 2016 est. |
| 191 | Ethiopia | 7.30 | 2016 est. |
| 192 | Congo, Democratic Republic of the | 7.30 | 2016 est. |
