CIA - The World Factbook -- Field Listing - Oil - imports

| Country | Oil - imports (bbl/day) |
| **Tunisia** | NA bbl/day |
| **Turkey** | 724,400 bbl/day (2004) |
| **Turkmenistan** | NA bbl/day |
| **Turks and Caicos Islands** | NA bbl/day |
| **Uganda** | NA bbl/day |
| **Ukraine** | 469,600 bbl/day (2004) |
| **United Arab Emirates** | 137,200 bbl/day (2004) |
| **United Kingdom** | 1.654 million bbl/day (2004) |
| **United States** | 13.15 million bbl/day (2004) |
| **Uruguay** | NA bbl/day |
| **Uzbekistan** | NA |
| **Vanuatu** | NA bbl/day |
| **Venezuela** | NA bbl/day |
| **Vietnam** | NA bbl/day |
| **Virgin Islands** | NA bbl/day |
| **Western Sahara** | NA bbl/day |
| **World** | 63.18 million bbl/day (2004) |
| **Yemen** | NA bbl/day |
| **Zambia** | NA bbl/day |
| **Zimbabwe** | 13,370 bbl/day (2004 est.) |

This page was last updated on 13 December, 2007
 
