CIA - The World Factbook -- Field Listing - Oil - imports

| Country | Oil - imports (bbl/day) |
| --- | --- |
| **Afghanistan** | NA (2001) |
| **Albania** | NA (2001) |
| **Algeria** | NA (2001) |
| **American Samoa** | NA (2001) |
| **Angola** | NA (2001) |
| **Antigua and Barbuda** | NA (2001) |
| **Argentina** | NA (2001) |
| **Armenia** | NA (2001) |
| **Aruba** | NA (2001) |
| **Australia** | 530,800 bbl/day (2001) |
| **Austria** | 262,000 bbl/day (2001) |
| **Azerbaijan** | NA (2001) |
| **Bahamas, The** | NA (2001) |
| **Bahrain** | NA (2001) |
| **Bangladesh** | NA (2001) |
| **Barbados** | NA (2001) |
| **Belarus** | NA (2001) |
| **Belgium** | 1.042 million bbl/day (2001) |
| **Belize** | NA (2001) |
| **Benin** | NA (2001) |
| **Bermuda** | NA (2001) |
| **Bhutan** | NA (2001) |
| **Bolivia** | NA (2001) |
| **Bosnia and Herzegovina** | NA (2001) |
| **Botswana** | NA (2001) |
| **Brazil** | NA (2001) |
| **British Virgin Islands** | NA (2001) |
| **Brunei** | NA (2001) |
| **Bulgaria** | NA (2001) |
| **Burkina Faso** | NA (2001) |
| **Burma** | NA (2001) |
| **Burundi** | NA (2001) |
| **Cambodia** | NA (2001) |
| **Cameroon** | NA (2001) |
| **Canada** | 1.145 million bbl/day (2001) |
| **Cape Verde** | NA (2001) |
| **Cayman Islands** | NA (2001) |
| **Central African Republic** | NA (2001) |
| **Chad** | NA (2001) |
| **Chile** | NA (2001) |
| **China** | NA (2001) |
| **Colombia** | NA (2001) |
| **Comoros** | NA (2001) |
| **Congo, Democratic Republic of the** | NA (2001) |
| **Congo, Republic of the** | NA (2001) |
| **Cook Islands** | NA (2001) |
| **Costa Rica** | NA (2001) |
| **Cote d'Ivoire** | NA (2001) |
| **Croatia** | NA (2001) |
| **Cuba** | NA (2001) |
| **Cyprus** | NA (2001) |
| **Czech Republic** | 192,300 bbl/day (2001) |
| **Denmark** | 195,000 bbl/day (2001) |
| **Djibouti** | NA (2001) |
| **Dominica** | NA (2001) |
| **Dominican Republic** | NA (2001) |
