CIA - The World Factbook --  Oil - proved reserves   

This entry is the stock of proved reserves of crude oil in barrels (bbl). Proved reserves are those quantities of petroleum which, by analysis of geological and engineering data, can be estimated with a high degree of confidence to be commercially recoverable from a given date forward, from known reservoirs and under current economic conditions.

| Rank | country | (bbl) | Date of Information |
| --- | --- | --- | --- |
| 1 | Saudi Arabia | 264,600,000,000 | 1 January 2010 est. |
| 2 | Canada | 175,200,000,000 | 1 January 2010 est. |
| 3 | Iran | 137,600,000,000 | 1 January 2010 est. |
| 4 | Iraq | 115,000,000,000 | 1 January 2010 est. |
| 5 | Kuwait | 104,000,000,000 | 1 January 2010 est. |
| 6 | United Arab Emirates | 97,800,000,000 | 1 January 2010 est. |
| 7 | Venezuela | 97,770,000,000 | 1 January 2010 est. |
| 8 | Russia | 74,200,000,000 | 1 January 2009 est. |
| 9 | Libya | 47,000,000,000 | 1 January 2010 est. |
| 10 | Nigeria | 37,500,000,000 | 1 January 2010 est. |
| 11 | Kazakhstan | 30,000,000,000 | 1 January 2010 est. |
| 12 | Qatar | 25,410,000,000 | 1 January 2010 est. |
| 13 | China | 20,350,000,000 | 1 January 2010 est. |
| 14 | United States | 19,120,000,000 | 1 January 2010 est. |
| 15 | Angola | 13,500,000,000 | 1 January 2010 est. |
| 16 | Algeria | 13,420,000,000 | 1 January 2010 est. |
| 17 | Brazil | 13,200,000,000 | 1 January 2010 est. |
| 18 | Mexico | 12,420,000,000 | 1 January 2010 est. |
| 19 | Azerbaijan | 7,000,000,000 | 1 January 2010 est. |
| 20 | Sudan | 6,800,000,000 | 1 January 2010 est. |
| 21 | Norway | 6,680,000,000 | 1 January 2010 est. |
| 22 | Ecuador | 6,542,000,000 | 1 January 2010 est. |
| 23 | India | 5,800,000,000 | 1 January 2010 est. |
| 24 | Oman | 5,500,000,000 | 1 January 2010 est. |
| 25 | European Union | 5,414,000,000 | 1 January 2010 est. |
| 26 | Vietnam | 4,700,000,000 | 1 January 2010 est. |
| 27 | Egypt | 4,300,000,000 | 1 January 2010 est. |
| 28 | Indonesia | 4,050,000,000 | 1 January 2010 est. |
| 29 | Australia | 3,318,000,000 | 1 January 2010 est. |
| 30 | Yemen | 3,160,000,000 | 1 January 2010 est. |
| 31 | United Kingdom | 3,084,000,000 | 1 January 2010 est. |
| 32 | Malaysia | 2,900,000,000 | 1 January 2010 est. |
| 33 | Syria | 2,500,000,000 | 1 January 2010 est. |
| 34 | Argentina | 2,386,000,000 | 1 January 2010 est. |
| 35 | Colombia | 2,100,000,000 | 1 January 2010 est. |
| 36 | Gabon | 2,000,000,000 | 1 January 2010 est. |
| 37 | Congo, Republic of the | 1,600,000,000 | 1 January 2010 est. |
| 38 | Chad | 1,500,000,000 | 1 January 2010 est. |
| 39 | Brunei | 1,100,000,000 | 1 January 2010 est. |
| 40 | Equatorial Guinea | 1,100,000,000 | 1 January 2010 est. |
| 41 | Denmark | 1,060,000,000 | 1 January 2010 est. |
| 42 | Trinidad and Tobago | 728,300,000 | 1 January 2010 est. |
| 43 | Romania | 600,000,000 | 1 January 2010 est. |
| 44 | Turkmenistan | 600,000,000 | 1 January 2010 est. |
| 45 | Uzbekistan | 594,000,000 | 1 January 2010 est. |
| 46 | Timor-Leste | 553,800,000 | 1 January 2008 |
| 47 | Peru | 470,800,000 | 1 January 2010 est. |
| 48 | Bolivia | 465,000,000 | 1 January 2010 est. |
| 49 | Pakistan | 436,200,000 | 1 January 2010 est. |
| 50 | Thailand | 430,000,000 | 1 January 2010 est. |
| 51 | Tunisia | 425,000,000 | 1 January 2010 est. |
| 52 | Italy | 423,700,000 | 1 January 2010 est. |
| 53 | Ukraine | 395,000,000 | 1 January 2010 est. |
| 54 | Germany | 276,000,000 | 1 January 2010 est. |
| 55 | Turkey | 262,200,000 | 1 January 2010 est. |
| 56 | Cote d'Ivoire | 250,000,000 | 1 January 2010 est. |
| 57 | Cameroon | 200,000,000 | 1 January 2010 est. |
| 58 | Albania | 199,100,000 | 1 January 2010 est. |
| 59 | Belarus | 198,000,000 | 1 January 2010 est. |
| 60 | Congo, Democratic Republic of the | 180,000,000 | 1 January 2010 est. |
| 61 | Cuba | 178,900,000 | 1 January 2010 est. |
