CIA - The World Factbook --  Oil - proved reserves   

This entry is the stock of proved reserves of crude oil in barrels (bbl). Proved reserves are those quantities of petroleum which, by analysis of geological and engineering data, can be estimated with a high degree of confidence to be commercially recoverable from a given date forward, from known reservoirs and under current economic conditions.

| Rank | country | (bbl) | Date of Information |
| 97 | Jordan | 1,000,000 | 1 January 2011 est. |
| 98 | Morocco | 680,000 | 1 January 2011 est. |
| 99 | Ethiopia | 430,000 | 1 January 2011 est. |
| 100 | Afghanistan | 0 | 1 January 2011 est. |
| 101 | American Samoa | 0 | 1 January 2011 est. |
| 102 | Antigua and Barbuda | 0 | 1 January 2011 est. |
| 103 | Armenia | 0 | 1 January 2011 est. |
| 104 | Aruba | 0 | 1 January 2011 est. |
| 105 | Bahamas, The | 0 | 1 January 2011 est. |
| 106 | Belgium | 0 | 1 January 2011 est. |
| 107 | Bermuda | 0 | 1 January 2011 est. |
| 108 | Bhutan | 0 | 1 January 2011 est. |
| 109 | Bosnia and Herzegovina | 0 | 1 January 2011 est. |
| 110 | Botswana | 0 | 1 January 2011 est. |
| 111 | British Virgin Islands | 0 | 1 January 2011 est. |
| 112 | Burkina Faso | 0 | 1 January 2011 est. |
| 113 | Burundi | 0 | 1 January 2011 est. |
| 114 | Cambodia | 0 | 1 January 2011 est. |
| 115 | Cape Verde | 0 | 1 January 2011 est. |
| 116 | Cayman Islands | 0 | 1 January 2011 est. |
| 117 | Central African Republic | 0 | 1 January 2011 est. |
| 118 | Comoros | 0 | 1 January 2011 est. |
| 119 | Cook Islands | 0 | 1 January 2011 est. |
| 120 | Costa Rica | 0 | 1 January 2011 est. |
| 121 | Cyprus | 0 | 1 January 2011 est. |
| 122 | Djibouti | 0 | 1 January 2011 est. |
| 123 | Dominica | 0 | 1 January 2011 est. |
| 124 | Dominican Republic | 0 | 1 January 2011 est. |
| 125 | El Salvador | 0 | 1 January 2011 est. |
| 126 | Eritrea | 0 | 1 January 2011 est. |
| 127 | Estonia | 0 | 1 January 2011 est. |
| 128 | Falkland Islands (Islas Malvinas) | 0 | 1 January 2011 est. |
| 129 | Faroe Islands | 0 | 1 January 2011 est. |
| 130 | Fiji | 0 | 1 January 2011 est. |
| 131 | Finland | 0 | 1 January 2011 est. |
| 132 | French Polynesia | 0 | 1 January 2011 est. |
| 133 | Gambia, The | 0 | 1 January 2011 est. |
| 134 | Gaza Strip | 0 | 1 January 2010 est. |
| 135 | Gibraltar | 0 | 1 January 2011 est. |
| 136 | Greenland | 0 | 1 January 2011 est. |
| 137 | Grenada | 0 | 1 January 2011 est. |
| 138 | Guinea | 0 | 1 January 2011 est. |
| 139 | Guinea-Bissau | 0 | 1 January 2011 est. |
| 140 | Guyana | 0 | 1 January 2011 est. |
| 141 | Haiti | 0 | 1 January 2011 est. |
| 142 | Honduras | 0 | 1 January 2011 est. |
| 143 | Hong Kong | 0 | 1 January 2012 est. |
| 144 | Iceland | 0 | 1 January 2011 est. |
| 145 | Ireland | 0 | 1 January 2011 est. |
| 146 | Jamaica | 0 | 1 January 2011 est. |
| 147 | Kenya | 0 | 1 January 2011 est. |
| 148 | Kiribati | 0 | 1 January 2011 est. |
| 149 | Korea, North | 0 | 1 January 2011 est. |
| 150 | Laos | 0 | 1 January 2011 est. |
| 151 | Latvia | 0 | 1 January 2011 est. |
| 152 | Lebanon | 0 | 1 January 2011 est. |
| 153 | Lesotho | 0 | 1 January 2011 est. |
| 154 | Liberia | 0 | 1 January 2011 est. |
| 155 | Luxembourg | 0 | 1 January 2011 est. |
| 156 | Macau | 0 | 1 January 2011 est. |
| 157 | Macedonia | 0 | 1 January 2011 est. |
| 158 | Madagascar | 0 | 1 January 2011 est. |
| 159 | Malawi | 0 | 1 January 2011 est. |
| 160 | Maldives | 0 | 1 January 2011 est. |
| 161 | Mali | 0 | 1 January 2011 est. |
| 162 | Malta | 0 | 1 January 2011 est. |
| 163 | Mauritius | 0 | 1 January 2011 est. |
| 164 | Moldova | 0 | 1 January 2011 est. |
| 165 | Mongolia | 0 | 1 January 2010 est. |
| 166 | Montenegro | 0 | 1 January 2011 est. |
| 167 | Montserrat | 0 | 1 January 2011 est. |
| 168 | Mozambique | 0 | 1 January 2011 est. |
| 169 | Namibia | 0 | 1 January 2011 est. |
| 170 | Nauru | 0 | 1 January 2011 est. |
| 171 | Nepal | 0 | 1 January 2011 est. |
| 172 | New Caledonia | 0 | 1 January 2011 est. |
| 173 | Nicaragua | 0 | 1 January 2011 est. |
| 174 | Niger | 0 | 1 January 2011 est. |
| 175 | Niue | 0 | 1 January 2011 est. |
| 176 | Panama | 0 | 1 January 2010 est. |
| 177 | Paraguay | 0 | 1 January 2011 est. |
| 178 | Portugal | 0 | 1 January 2011 est. |
| 179 | Puerto Rico | 0 | 1 January 2011 est. |
| 180 | Rwanda | 0 | 1 January 2011 est. |
| 181 | Saint Helena, Ascension, and Tristan da Cunha | 0 | 1 January 2011 est. |
| 182 | Saint Kitts and Nevis | 0 | 1 January 2011 est. |
| 183 | Saint Lucia | 0 | 1 January 2011 est. |
| 184 | Saint Pierre and Miquelon | 0 | 1 January 2011 est. |
| 185 | Saint Vincent and the Grenadines | 0 | 1 January 2011 est. |
| 186 | Samoa | 0 | 1 January 2011 est. |
| 187 | Sao Tome and Principe | 0 | 1 January 2010 est. |
| 188 | Senegal | 0 | 1 January 2011 est. |
| 189 | Seychelles | 0 | 1 January 2010 est. |
| 190 | Sierra Leone | 0 | 1 January 2011 est. |
| 191 | Singapore | 0 | 1 January 2011 est. |
| 192 | Slovenia | 0 | 1 January 2011 est. |
| 193 | Solomon Islands | 0 | 1 January 2011 est. |
| 194 | Somalia | 0 | 1 January 2011 est. |
| 195 | Sri Lanka | 0 | 1 January 2011 est. |
| 196 | Swaziland | 0 | 1 January 2010 est. |
| 197 | Sweden | 0 | 1 January 2011 est. |
| 198 | Switzerland | 0 | 1 January 2011 est. |
| 199 | Tanzania | 0 | 1 January 2011 est. |
| 200 | Togo | 0 | 1 January 2010 est. |
| 201 | Tonga | 0 | 1 January 2010 est. |
| 202 | Turks and Caicos Islands | 0 | 1 January 2011 est. |
| 203 | Uruguay | 0 | 1 January 2009 est. |
| 204 | Vanuatu | 0 | 1 January 2011 est. |
| 205 | Virgin Islands | 0 | 1 January 2011 est. |
| 206 | West Bank | 0 | 1 January 2009 est. |
| 207 | Western Sahara | 0 | 1 January 2011 est. |
| 208 | Zambia | 0 | 1 January 2011 est. |
| 209 | Zimbabwe | 0 | 1 January 2011 est. |
