CIA - The World Factbook --  POPULATION GROWTH RATE

Population growth rate compares the average annual percent change in populations, resulting from a surplus (or deficit) of births over deaths and the balance of migrants entering and leaving a country. The rate may be positive or negative.

| Rank | Country | (%) | Date of Information |
| 122 | Uzbekistan | 0.93 | 2016 est. |
| 123 | Azerbaijan | 0.92 | 2016 est. |
| 124 | French Polynesia | 0.91 | 2016 est. |
| 125 | Turkey | 0.90 | 2016 est. |
| 126 | Indonesia | 0.89 | 2016 est. |
| 127 | Tunisia | 0.86 | 2016 est. |
| 128 | Tuvalu | 0.85 | 2016 est. |
| 129 | Lebanon | 0.85 | 2016 est. |
| 130 | Spain | 0.84 | 2016 est. |
| 131 | Bahamas, The | 0.83 | 2016 est. |
| 132 | Jordan | 0.83 | 2016 est. |
| 133 | Liechtenstein | 0.82 | 2016 est. |
| 134 | Sweden | 0.81 | 2016 est. |
| 135 | United States | 0.81 | 2016 est. |
| 136 | Eritrea | 0.81 | 2016 est. |
| 137 | New Zealand | 0.80 | 2016 est. |
| 138 | Sri Lanka | 0.80 | 2016 est. |
| 139 | Chile | 0.80 | 2016 est. |
| 140 | Seychelles | 0.80 | 2016 est. |
| 141 | Jersey | 0.79 | 2016 est. |
| 142 | San Marino | 0.78 | 2016 est. |
| 143 | Macau | 0.77 | 2016 est. |
| 144 | Saint Kitts and Nevis | 0.75 | 2016 est. |
| 145 | Brazil | 0.75 | 2016 est. |
| 146 | Canada | 0.74 | 2016 est. |
| 147 | Belgium | 0.73 | 2016 est. |
| 148 | Isle of Man | 0.72 | 2016 est. |
| 149 | Switzerland | 0.70 | 2016 est. |
| 150 | Jamaica | 0.68 | 2016 est. |
| 151 | Guam | 0.64 | 2016 est. |
| 152 | Fiji | 0.63 | 2016 est. |
| 153 | Mauritius | 0.61 | 2016 est. |
| 154 | Samoa | 0.59 | 2016 est. |
| 155 | Korea, North | 0.53 | 2016 est. |
| 156 | Korea, South | 0.53 | 2016 est. |
| 157 | United Kingdom | 0.53 | 2016 est. |
| 158 | Faroe Islands | 0.53 | 2016 est. |
| 159 | Nauru | 0.52 | 2016 est. |
| 160 | Austria | 0.51 | 2016 est. |
| 161 | Montserrat | 0.48 | 2016 est. |
| 162 | Bermuda | 0.47 | 2016 est. |
| 163 | Grenada | 0.46 | 2016 est. |
| 164 | China | 0.43 | 2016 est. |
| 165 | Curacao | 0.42 | 2016 est. |
| 166 | France | 0.41 | 2016 est. |
| 167 | Netherlands | 0.40 | 2016 est. |
| 168 | Palau | 0.39 | 2016 est. |
| 169 | Finland | 0.38 | 2016 est. |
| 170 | Hong Kong | 0.35 | 2016 est. |
| 171 | Saint Lucia | 0.33 | 2016 est. |
| 172 | Wallis and Futuna | 0.33 | 2016 est. |
| 173 | Guernsey | 0.32 | 2016 est. |
| 174 | Thailand | 0.32 | 2016 est. |
| 175 | Albania | 0.31 | 2016 est. |
| 176 | Lesotho | 0.30 | 2016 est. |
| 177 | Barbados | 0.30 | 2016 est. |
| 178 | Malta | 0.29 | 2016 est. |
| 179 | Uruguay | 0.27 | 2016 est. |
| 180 | El Salvador | 0.25 | 2016 est. |
| 181 | European Union | 0.25 | 2016 est. |
| 182 | Gibraltar | 0.24 | 2016 est. |
| 183 | Italy | 0.23 | 2016 est. |
| 184 | Denmark | 0.22 | 2016 est. |
| 185 | Saint Helena, Ascension, and Tristan da Cunha | 0.21 | 2016 est. |
| 186 | Dominica | 0.20 | 2016 est. |
| 187 | Taiwan | 0.20 | 2016 est. |
| 188 | Macedonia | 0.18 | 2016 est. |
| 189 | Monaco | 0.18 | 2016 est. |
| 190 | Guyana | 0.17 | 2016 est. |
| 191 | Czechia | 0.14 | 2016 est. |
| 192 | Portugal | 0.07 | 2016 est. |
| 193 | Andorra | 0.07 | 2016 est. |
| 194 | Falkland Islands (Islas Malvinas) | 0.01 | 2014 est. |
| 195 | Slovakia | 0.01 | 2016 est. |
| 196 | Norfolk Island | 0.01 | 2014 est. |
| 197 | Holy See (Vatican City) | 0.00 | 2014 est. |
| 198 | Pitcairn Islands | 0.00 | 2014 est. |
| 199 | Cocos (Keeling) Islands | 0.00 | 2014 est. |
| 200 | Tonga | -0.01 | 2016 est. |
| 201 | Tokelau | -0.01 | 2014 est. |
| 202 | Greenland | -0.02 | 2016 est. |
| 203 | Svalbard | -0.03 | 2014 est. |
| 204 | Greece | -0.03 | 2016 est. |
| 205 | Niue | -0.03 | 2014 est. |
| 206 | Georgia | -0.05 | 2016 est. |
| 207 | Russia | -0.06 | 2016 est. |
| 208 | Maldives | -0.07 | 2016 est. |
| 209 | Poland | -0.11 | 2016 est. |
| 210 | Bosnia and Herzegovina | -0.14 | 2016 est. |
| 211 | Germany | -0.16 | 2016 est. |
| 212 | Trinidad and Tobago | -0.17 | 2016 est. |
| 213 | Armenia | -0.18 | 2016 est. |
| 214 | Japan | -0.19 | 2016 est. |
| 215 | Belarus | -0.21 | 2016 est. |
| 216 | Hungary | -0.24 | 2016 est. |
| 217 | American Samoa | -0.25 | 2016 est. |
| 218 | Saint Vincent and the Grenadines | -0.26 | 2016 est. |
| 219 | Slovenia | -0.29 | 2016 est. |
| 220 | Cuba | -0.30 | 2016 est. |
| 221 | Romania | -0.32 | 2016 est. |
| 222 | Montenegro | -0.35 | 2016 est. |
| 223 | Ukraine | -0.39 | 2016 est. |
| 224 | Serbia | -0.46 | 2016 est. |
| 225 | Micronesia, Federated States of | -0.49 | 2016 est. |
| 226 | Croatia | -0.50 | 2016 est. |
| 227 | Puerto Rico | -0.54 | 2016 est. |
| 228 | Estonia | -0.54 | 2016 est. |
| 229 | Bulgaria | -0.60 | 2016 est. |
| 230 | Virgin Islands | -0.62 | 2016 est. |
| 231 | Moldova | -1.04 | 2016 est. |
| 232 | Lithuania | -1.06 | 2016 est. |
| 233 | Latvia | -1.07 | 2016 est. |
| 234 | Saint Pierre and Miquelon | -1.09 | 2016 est. |
| 235 | Cook Islands | -2.88 | 2016 est. |


