Field Listing :: Military and security forces :: The World Factbook - Central Intelligence Agency

This entry lists the military and security forces subordinate to defense ministries or the equivalent (typically ground, naval, air, and marine forces), as well as those belonging to interior ministries or the equivalent (typically gendarmeries, border/coast guards, paramilitary police, and other internal security forces).

| Country | Military and security forces |
| **Gabon** | *Gabonese Defense Forces (Forces de Defense Gabonaise):* Land Force (Force Terrestre), Gabonese Navy (Marine Gabonaise), Gabonese Air Forces (Forces Aerienne Gabonaises, FAG) (2012) |
| **Gambia, The** | *Office of the Chief of Defense Staff:* Gambian National Army (GNA), Gambian Navy (GN), Republican National Guard (RNG) (2018) |
| **Gaza Strip** | HAMAS does not have a conventional military in the Gaza Strip but maintains security forces in addition to its military wing, the 'Izz al-Din al-Qassam Brigades; the military wing reports to the Hamas Political Bureau leadership; there are several other militant groups operating in Gaza, most notably the al-Quds Brigades of Palestinian Islamic Jihad, that are usually but not always beholden to Hamasâ€™ authority (2019) |
| **Georgia** | *Georgian Defense Forces:* Land Forces (include Air and Air Defense Forces); separatist Abkhazia Armed Forces: Ground Forces, Air Forces; separatist South Ossetia Armed Forces (2019) |
| | *note:* Georgian naval forces have been incorporated into the Coast Guard, which is part of the Ministry of Internal Affairs rather than the Ministry of Defense |
| **Germany** | *Federal Armed Forces (Bundeswehr):* Army (Heer), Navy (Deutsche Marine, includes naval air arm), Air Force (Luftwaffe), includes air defense), Joint Support Service (Streitkraeftebasis, SKB), Central Medical Service (Zentraler Sanitaetsdienst, ZSanDstBw), Cyber and Information Space Command (Kommando Cyber- und Informationsraum, Kdo CIR) (2019) |
| **Ghana** | *Ghana Armed Forces:*Â  Army, Navy, Air Force (2019) |
| **Gibraltar** | Royal Gibraltar Regiment (2019) |
| **Greece** | *Hellenic Armed Forces:*Â  Hellenic Army (Ellinikos Stratos, ES; includes National Guard reserves), Hellenic Navy (Elliniko Polemiko Navtiko, EPN), Hellenic Air Force (Elliniki Polemiki Aeroporia, EPA; includes air defense). (2019) |
| **Greenland** | no regular military forces or conscription. (2019) |
| **Grenada** | no regular military forces; Royal Grenada Police Force (includes Coast Guard) (2019) |
| **Guatemala** | Army of Guatamala (Ejercito de Guatamala):Â  Land Forces (Fuerzas de Tierra), Naval Forces (Fuerza de Mar), and Air Force (Fuerza de Aire). (2019) |
| **Guinea** | *National Armed Forces:* Army, Guinean Navy (Armee de Mer or Marine Guineenne, includes Marines), Guinean Air Force (Force Aerienne de Guinee), Republican Guard, Gendarmerie, People's Militia (Reserves) (2019) |
| **Guinea-Bissau** | *People's Revolutionary Armed Force (FARP):* Army, Navy, National Air Force (Forca Aerea Nacional); Guard Nacional (2019) |
| **Guyana** | *Guyana Defense Force:* Army, Air Corps, Coast Guard (2019) |
| **Haiti** | the Haitian Armed Forces (FAdH), disbanded in 1995, began to be reconstituted in 2017 to assist with natural disaster relief, border security, and combating transnational crime; the small Coast Guard is not part of the military, but rather the Haitian National Police. (2019) |
| **Holy See (Vatican City)** | Pontifical Swiss Guard Corps (Corpo della Guardia Svizzera Pontificia); The Gendarmerie Corps of Vatican City is a police force that helps augment the Pontifical Swiss Guard during the Popeâ€™s appearances, as well as providing general security, traffic direction, and investigative duties for the Vatican City State (2019) |
| **Honduras** | *Honduran Armed Forces (Fuerzas Armadas de Honduras, FFAA):* Army, Honduran Naval Force (FNH; includes marines), Honduran Air Force (Fuerza Aerea Hondurena, FAH), Honduran Public Order Military Police (PMOP) (2019) |
