Field Listing :: Military and security forces :: The World Factbook - Central Intelligence Agency

This entry lists the military and security forces subordinate to defense ministries or the equivalent (typically ground, naval, air, and marine forces), as well as those belonging to interior ministries or the equivalent (typically gendarmeries, border/coast guards, paramilitary police, and other internal security forces).

| Country | Military and security forces |
| **Hong Kong** | no regular indigenous military forces; Hong Kong Police Force; Hong Kong garrison of China's People's Liberation Army (PLA) includes elements of the PLA Army, PLA Navy, and PLA Air Force; these forces are under the direct leadership of the Central Military Commission in Beijing and under administrative control of the adjacent Southern Theater Command (2019) |
| **Hungary** | *Hungarian Defense Forces:* Ground Forces and Hungarian Air Force. (2019) |
| | *Note:*Â  The Hungarian Defense Forces are organized into a joint force structure with ground, air, and logistic components. |
| **Iceland** | no regular military forces; Icelandic Coast Guard; Icelandic National Police (2019) |
| **India** | *Indian Armed Forces:* Army, Navy (includes marines), Air Force, Coast Guard; Defense Security Corps (paramilitary forces); Ministry of Home Affairs paramilitary forces: Central Armed Police Force (includes Assam Rifles, Border Security Force, Central Industrial Security Force, Central Reserve Police Force, Indo-Tibetan Border Police, National Security Guards, Sashastra Seema Bal) (2019) |
| **Indonesia** | *Indonesian National Armed Forces (Tentara Nasional Indonesia, TNI):* Army (TNI-Angkatan Darat (TNI-AD)), Navy (TNI-Angkatan Laut (TNI-AL), includes marines (Korps Marinir, KorMar), naval air arm), Air Force (TNI-Angkatan Udara (TNI-AU)), National Air Defense Command (Komando Pertahanan Udara Nasional (Kohanudnas)), Armed Forces Special Operations Command (Koopssus), Strategic Reserve Command (Kostrad) (2019) |
| **Iran** | Islamic Republic of Iran Regular Forces (Artesh): Ground Forces, Navy (includes marines), Air Force, Air Defense Forces; Islamic Revolutionary Guard Corps (Sepah, IRGC): Ground Forces, Navy (includes marines), Aerospace Force (controls strategic missile force), Qods Force (special operations), Cyber Command, Basij Paramilitary Forces (Popular Mobilization Army); Law Enforcement Forces (border and security troops, assigned to the armed forces in wartime) (2019) |
| **Iraq** | *Ministry of Defense:* Iraqi Army (includes Army Aviation Command), Iraqi Navy, Iraqi Air Force; National-Level Security Forces: Iraqi Counterterrorism Service, Prime Minister's Special Forces Division, Presidential Brigades; Ministry of Interior:Â  Federal Police Forces Command, Border Guard Forces Command, Federal Intelligence and Investigations Agency, Emergency Response Division, Facilities Protection Directorate, and Energy Police Directorate; Popular Mobilization Commission and Affiliated Forces; Peshmerga Ministry (Kurdistan Regional Government) (2019) |
| **Ireland** | *Irish Defence Forces (Oglaigh na h-Eireannn):* Army (includes Army Reserve), Naval Service (includes Naval Service Reserves), Air Corps (2019) |
| **Israel** | Israel Defense Forces (IDF); Ground Forces, Israel Naval Force (IN, includes commandos), Israel Air Force (IAF, includes air defense) (2019) |
| **Italy** | *Italian Armed Forces:* Army (Esercito Italiano, EI), Navy (Marina Militare Italiana, MMI; includes aviation, marines), Italian Air Force (Aeronautica Militare Italiana, AMI), Carabinieri Corps (Arma dei Carabinieri, CC). (2019) |
| | The Financial Guard (Guardia di Finanza) under the Ministry of Economy and Finance is a force with military status and nationwide remit for financial crime investigations, including narcotics trafficking, smuggling, and illegal immigration. |
| **Jamaica** | *Jamaica Defense Force (JDF):* Ground Forces, Coast Guard, Air Wing (2019) |
| **Japan** | *Japanese Ministry of Defense (MOD):* Ground Self-Defense Force (Rikujou Jieitai, GSDF; includes aviation), Maritime Self-Defense Force (Kaijou Jieitai, MSDF; includes naval aviation), Air Self-Defense Force (Koukuu Jieitai, ASDF); Japan Coast Guard (Ministry of Land, Transport, Infrastructure and Tourism) (2019) |
| **Jordan** | *Jordanian Armed Forces (JAF):* Royal Jordanian Army (includes Special Operations Forces, Border Guards, Royal Guard), Royal Jordanian Navy, Royal Jordanian Air Force (2019) |
| **Kazakhstan** | *Armed Forces of Kazakhstan :* Land Forces, Navy, Air Defense Force (2019) |
| **Kenya** | *Kenya Defence Forces:* Kenya Army, Kenya Navy, Kenya Air Force (2019) |
| **Kiribati** | no regular military forces (establishment prevented by the constitution); Police Force (2011) |
| **Korea, North** | Korean People's Army (KPA): KPA Ground Forces, KPA Navy, KPA Air Force (includes air defense), KPA Strategic Force (missile forces); Guard Command (protects the Kim family, other senior North Korean leadership figures, and government facilities in Pyongyang); Ministry of Public Security: Border Guards, civil security forces (2019) |
| **Korea, South** | Republic of Korea Army (ROKA), Navy (ROKN, includes Marine Corps, ROKMC), Air Force (ROKAF); Military reserves include Mobilization Reserve Forces (First Combat Forces) and Homeland Defense Forces (Regional Combat Forces); |
| | Korea Coast Guard (Ministry of Maritime Affairs and Fisheries) (2019) |
| **Kosovo** | in December 2018, Kosovo adopted a legislative package to initiate a ten-year transition of the Kosovo Security Force (KSF) into a professional multi-ethnic force with a limited territorial defense mandate (2019) |
| **Kuwait** | *Kuwaiti Armed Forces:*Â  Kuwaiti Land Forces (KLF), Kuwaiti Navy (includes Coast Guard), Kuwaiti Air Force (Al-Quwwat al-Jawwiya al-Kuwaitiya; includes Kuwaiti Air Defense Force, KADF), Kuwaiti National Guard (KNG) (2019) |
| **Kyrgyzstan** | *Kyrgyz Armed Forces:*Â  Land Forces, Air Defense Forces, National Guard, and State Border Service (2019) |
