CIA - The World Factbook --  Oil - exports   

This entry is the total oil exported in barrels per day (bbl/day), including both crude oil and oil products.

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | Saudi Arabia | 7,635,000 | 2009 est. |
| 2 | Russia | 7,301,000 | 2009 est. |
| 3 | Iran | 2,523,000 | 2009 est. |
| 4 | United Arab Emirates | 2,395,000 | 2009 est. |
| 5 | European Union | 2,196,000 | 2009 est. |
| 6 | Norway | 2,184,000 | 2009 est. |
| 7 | Kuwait | 2,127,000 | 2009 est. |
| 8 | Nigeria | 2,102,000 | 2009 est. |
| 9 | Canada | 1,929,000 | 2009 est. |
| 10 | United States | 1,920,000 | 2009 est. |
| 11 | Iraq | 1,910,000 | 2009 est. |
| 12 | Netherlands | 1,871,000 | 2009 est. |
| 13 | Venezuela | 1,871,000 | 2009 est. |
| 14 | Angola | 1,851,000 | 2009 est. |
| 15 | Algeria | 1,694,000 | 2009 est. |
| 16 | Mexico | 1,511,000 | 2009 est. |
| 17 | Kazakhstan | 1,501,000 | 2009 est. |
| 18 | Libya | 1,385,000 | 2009 est. |
| 19 | Singapore | 1,374,000 | 2009 est. |
| 20 | United Kingdom | 1,311,000 | 2009 est. |
| 21 | Qatar | 1,038,000 | 2009 est. |
| 22 | Korea, South | 907,100 | 2009 est. |
| 23 | India | 825,600 | 2009 est. |
| 24 | Brazil | 699,000 | 2009 est. |
| 25 | Azerbaijan | 651,700 | 2009 est. |
| 26 | Malaysia | 644,900 | 2009 est. |
| 27 | Oman | 592,300 | 2009 est. |
| 28 | Italy | 529,100 | 2009 est. |
| 29 | France | 487,200 | 2009 est. |
| 30 | China | 480,600 | 2009 est. |
| 31 | Germany | 470,200 | 2009 est. |
| 32 | Indonesia | 404,100 | 2009 est. |
| 33 | Colombia | 400,700 | 2009 est. |
| 34 | Equatorial Guinea | 395,000 | 2009 est. |
| 35 | Sudan | 383,900 | 2009 est. |
| 36 | Virgin Islands | 380,800 | 2009 est. |
| 37 | Japan | 366,800 | 2009 est. |
| 38 | Ecuador | 364,500 | 2009 est. |
| 39 | Belgium | 353,000 | 2009 est. |
| 40 | Australia | 312,600 | 2009 est. |
| 41 | Belarus | 310,500 | 2009 est. |
| 42 | Taiwan | 303,000 | 2010 est. |
| 43 | Vietnam | 277,300 | 2009 est. |
| 44 | Thailand | 269,100 | 2009 est. |
| 45 | Denmark | 266,700 | 2009 est. |
| 46 | Syria | 263,000 | 2009 est. |
| 47 | Sweden | 243,200 | 2009 est. |
| 48 | Trinidad and Tobago | 242,600 | 2009 est. |
| 49 | Spain | 240,700 | 2009 est. |
| 50 | Bahrain | 239,900 | 2009 est. |
| 51 | Argentina | 238,100 | 2009 est. |
| 52 | Gabon | 213,500 | 2009 est. |
| 53 | Congo, Republic of the | 211,800 | 2009 est. |
| 54 | Curacao | 211,100 | 2009 est. |
| 55 | Yemen | 207,700 | 2009 est. |
| 56 | Aruba | 206,400 | 2009 est. |
| 57 | Greece | 181,600 | 2009 est. |
| 58 | Egypt | 163,000 | 2009 est. |
| 59 | Brunei | 153,000 | 2009 est. |
| 60 | Finland | 133,600 | 2009 est. |
| 61 | Chad | 115,000 | 2009 est. |
| 62 | Ukraine | 114,000 | 2009 est. |
| 63 | Cameroon | 101,300 | 2009 est. |
| 64 | Turkmenistan | 97,430 | 2009 est. |
| 65 | Romania | 95,500 | 2009 est. |
| 66 | Tunisia | 91,200 | 2009 est. |
| 67 | Israel | 86,010 | 2009 est. |
| 68 | Timor-Leste | 86,000 | 2009 est. |
| 69 | Slovakia | 78,940 | 2009 est. |
| 70 | Lithuania | 76,510 | 2009 est. |
| 71 | Bulgaria | 75,840 | 2009 est. |
| 72 | Peru | 73,280 | 2009 est. |
| 73 | Cote d'Ivoire | 70,800 | 2009 est. |
| 74 | Hungary | 69,820 | 2009 est. |
| 75 | Turkey | 68,450 | 2009 est. |
| 76 | Philippines | 60,460 | 2009 est. |
| 77 | South Africa | 54,930 | 2009 est. |
| 78 | Chile | 52,390 | 2009 est. |
| 79 | Poland | 50,400 | 2009 est. |
| 80 | Portugal | 49,650 | 2009 est. |
| 81 | New Zealand | 47,200 | 2009 est. |
| 82 | Austria | 46,020 | 2009 est. |
| 83 | Croatia | 45,140 | 2009 est. |
| 84 | Bahamas, The | 41,610 | 2009 est. |
| 85 | Pakistan | 29,840 | 2009 est. |
| 86 | Czech Republic | 25,480 | 2009 est. |
| 87 | Morocco | 25,090 | 2009 est. |
| 88 | Hong Kong | 22,670 | 2009 est. |
| 89 | Puerto Rico | 19,230 | 2009 est. |
| 90 | Ireland | 17,480 | 2009 est. |
| 91 | Guatemala | 15,300 | 2009 est. |
| 92 | Congo, Democratic Republic of the | 11,090 | 2009 est. |
| 93 | Benin | 10,840 | 2009 est. |
| 94 | Mauritania | 10,000 | 2009 est. |
| 95 | Switzerland | 9,851 | 2009 est. |
| 96 | Slovenia | 8,958 | 2009 est. |
| 97 | Macedonia | 8,594 | 2010 |
| 98 | Kenya | 8,061 | 2009 est. |
| 99 | Papua New Guinea | 8,029 | 2009 est. |
| 100 | Cuba | 6,882 | 2009 est. |
| 101 | Mongolia | 5,834 | 2010 est. |
| 102 | Ghana | 5,752 | 2009 est. |
| 103 | Bolivia | 5,621 | 2010 est. |
| 104 | Honduras | 5,114 | 2009 est. |
| 105 | Serbia | 4,815 | 2009 est. |
| 106 | Senegal | 4,550 | 2009 est. |
| 107 | Uruguay | 4,353 | November 2010 est. |
| 108 | El Salvador | 3,825 | 2009 est. |
| 109 | Latvia | 3,457 | 2009 est. |
| 110 | Suriname | 3,058 | 2009 est. |
| 111 | Bangladesh | 2,770 | 2009 est. |
| 112 | Costa Rica | 2,087 | 2009 est. |
| 113 | Uzbekistan | 2,078 | 2009 est. |
| 114 | Kyrgyzstan | 2,042 | 2009 est. |
| 115 | Fiji | 1,857 | 2009 est. |
| 116 | Iceland | 1,209 | 2009 est. |
| 117 | Somalia | 1,109 | 2009 est. |
| 118 | Greenland | 1,050 | 2009 est. |
| 119 | Albania | 1,004 | 2009 est. |
| 120 | Nicaragua | 742 | 2009 est. |
| 121 | Moldova | 741 | 2009 est. |
| 122 | Luxembourg | 686 | 2009 est. |
| 123 | New Caledonia | 648 | 2009 est. |
| 124 | Sierra Leone | 500 | 2009 est. |
| 125 | Georgia | 445 | 2009 est. |
| 126 | Tajikistan | 405 | 2009 est. |
| 127 | Zambia | 360 | 2009 est. |
| 128 | Antigua and Barbuda | 240 | 2009 est. |
| 129 | Bosnia and Herzegovina | 96 | 2009 est. |
| 130 | Gambia, The | 42 | 2009 est. |
| 131 | Liberia | 23 | 2009 est. |
| 132 | Djibouti | 19 | 2009 est. |
| 133 | Afghanistan | 0 | 2009 est. |
| 134 | American Samoa | 0 | 2009 est. |
| 135 | Armenia | 0 | 2009 est. |
| 136 | Barbados | 0 | 2009 est. |
| 137 | Belize | 0 | 2009 est. |
| 138 | Bermuda | 0 | 2009 est. |
| 139 | Bhutan | 0 | 2009 est. |
| 140 | Botswana | 0 | 2009 est. |
| 141 | British Virgin Islands | 0 | 2009 est. |
| 142 | Burkina Faso | 0 | 2009 est. |
| 143 | Burma | 0 | 2009 est. |
| 144 | Burundi | 0 | 2009 est. |
| 145 | Cambodia | 0 | 2009 est. |
| 146 | Cape Verde | 0 | 2009 est. |
| 147 | Cayman Islands | 0 | 2009 est. |
| 148 | Central African Republic | 0 | 2009 est. |
| 149 | Comoros | 0 | 2009 est. |
| 150 | Cook Islands | 0 | 2009 est. |
| 151 | Cyprus | 0 | 2009 est. |
| 152 | Dominica | 0 | 2009 est. |
| 153 | Dominican Republic | 0 | 2009 est. |
| 154 | Eritrea | 0 | 2009 est. |
| 155 | Estonia | 0 | 2009 est. |
| 156 | Ethiopia | 0 | 2009 est. |
| 157 | Falkland Islands (Islas Malvinas) | 0 | 2009 est. |
| 158 | Faroe Islands | 0 | 2009 est. |
| 159 | French Polynesia | 0 | 2009 est. |
| 160 | Gibraltar | 0 | 2009 est. |
| 161 | Grenada | 0 | 2009 est. |
| 162 | Guinea | 0 | 2009 est. |
| 163 | Guinea-Bissau | 0 | 2009 est. |
| 164 | Guyana | 0 | 2009 est. |
| 165 | Haiti | 0 | 2009 est. |
| 166 | Jamaica | 0 | 2009 est. |
| 167 | Jordan | 0 | 2009 est. |
| 168 | Kiribati | 0 | 2009 est. |
| 169 | Korea, North | 0 | 2009 est. |
| 170 | Laos | 0 | 2009 est. |
| 171 | Lebanon | 0 | 2009 est. |
| 172 | Lesotho | 0 | 2009 est. |
| 173 | Macau | 0 | 2010 est. |
| 174 | Madagascar | 0 | 2009 est. |
| 175 | Malawi | 0 | 2009 est. |
| 176 | Maldives | 0 | 2009 est. |
| 177 | Mali | 0 | 2009 est. |
| 178 | Malta | 0 | 2009 est. |
| 179 | Mauritius | 0 | 2009 est. |
| 180 | Montenegro | 0 | 2009 est. |
| 181 | Montserrat | 0 | 2009 est. |
| 182 | Mozambique | 0 | 2009 est. |
| 183 | Namibia | 0 | 2009 est. |
| 184 | Nauru | 0 | 2009 est. |
| 185 | Nepal | 0 | 2010 est. |
| 186 | Niger | 0 | 2009 est. |
| 187 | Niue | 0 | 2009 est. |
| 188 | Panama | 0 | 2009 est. |
| 189 | Paraguay | 0 | 2009 est. |
| 190 | Rwanda | 0 | 2009 est. |
| 191 | Saint Helena, Ascension, and Tristan da Cunha | 0 | 2009 est. |
| 192 | Saint Kitts and Nevis | 0 | 2009 est. |
| 193 | Saint Lucia | 0 | 2009 est. |
| 194 | Saint Pierre and Miquelon | 0 | 2009 est. |
| 195 | Saint Vincent and the Grenadines | 0 | 2009 est. |
| 196 | Samoa | 0 | 2009 est. |
| 197 | Sao Tome and Principe | 0 | 2009 est. |
| 198 | Seychelles | 0 | 2009 est. |
| 199 | Solomon Islands | 0 | 2009 est. |
| 200 | Sri Lanka | 0 | 2009 est. |
| 201 | Swaziland | 0 | 2009 est. |
| 202 | Tanzania | 0 | 2009 est. |
| 203 | Togo | 0 | 2009 est. |
| 204 | Tonga | 0 | 2009 est. |
| 205 | Turks and Caicos Islands | 0 | 2009 est. |
| 206 | Uganda | 0 | 2009 est. |
| 207 | Vanuatu | 0 | 2009 est. |
