CIA - The World Factbook --  TOTAL FERTILITY RATE

Total fertility rate (TFR) compares figures for the average number of children that would be born per woman if all women lived to the end of their childbearing years and bore children according to a given fertility rate at each age. TFR is a more direct measure of the level of fertility than the crude birth rate, since it refers to births per woman.

| Rank | Country | (CHILDREN BORN/WOMAN) | Date of Information |
| --- | --- | --- | --- |
| 1 | Niger | 6.49 | 2017 est. |
| 2 | Angola | 6.16 | 2017 est. |
| 3 | Mali | 6.01 | 2017 est. |
| 4 | Burundi | 5.99 | 2017 est. |
| 5 | Somalia | 5.80 | 2017 est. |
| 6 | Burkina Faso | 5.71 | 2017 est. |
| 7 | Uganda | 5.71 | 2017 est. |
| 8 | Zambia | 5.63 | 2017 est. |
| 9 | Malawi | 5.49 | 2017 est. |
| 10 | Afghanistan | 5.12 | 2017 est. |
| 11 | Mozambique | 5.08 | 2017 est. |
| 12 | South Sudan | 5.07 | 2017 est. |
| 13 | Nigeria | 5.07 | 2017 est. |
| 14 | Liberia | 5.06 | 2017 est. |
| 15 | Ethiopia | 4.99 | 2017 est. |
| 16 | Timor-Leste | 4.79 | 2017 est. |
| 17 | Benin | 4.77 | 2017 est. |
| 18 | Tanzania | 4.77 | 2017 est. |
| 19 | Guinea | 4.77 | 2017 est. |
| 20 | Sierra Leone | 4.73 | 2017 est. |
| 21 | Cameroon | 4.64 | 2017 est. |
| 22 | Congo, Republic of the | 4.59 | 2017 est. |
| 23 | Gabon | 4.39 | 2017 est. |
| 24 | Congo, Democratic Republic of the | 4.39 | 2017 est. |
| 25 | Equatorial Guinea | 4.39 | 2017 est. |
| 26 | Togo | 4.38 | 2017 est. |
| 27 | Chad | 4.34 | 2017 est. |
| 28 | Central African Republic | 4.30 | 2017 est. |
| 29 | Senegal | 4.28 | 2017 est. |
| 30 | Sao Tome and Principe | 4.25 | 2017 est. |
| 31 | Gaza Strip | 4.13 | 2017 est. |
| 32 | Guinea-Bissau | 4.09 | 2017 est. |
| 33 | Madagascar | 4.03 | 2017 est. |
| 34 | Ghana | 4.00 | 2017 est. |
| 35 | Iraq | 4.00 | 2017 est. |
| 36 | Eritrea | 3.99 | 2017 est. |
| 37 | Zimbabwe | 3.98 | 2017 est. |
| 38 | Rwanda | 3.87 | 2017 est. |
| 39 | Mauritania | 3.86 | 2017 est. |
| 40 | Western Sahara | 3.86 | 2017 est. |
| 41 | Yemen | 3.63 | 2017 est. |
| 42 | Sudan | 3.57 | 2017 est. |
| 43 | Gambia, The | 3.52 | 2017 est. |
| 44 | Egypt | 3.47 | 2017 est. |
| 45 | Cote d'Ivoire | 3.38 | 2017 est. |
| 46 | Comoros | 3.34 | 2017 est. |
| 47 | Namibia | 3.29 | 2017 est. |
| 48 | West Bank | 3.27 | 2017 est. |
| 49 | Jordan | 3.19 | 2017 est. |
| 50 | Solomon Islands | 3.16 | 2017 est. |
| 51 | Tonga | 3.10 | 2017 est. |
| 52 | Vanuatu | 3.07 | 2017 est. |
| 53 | Papua New Guinea | 3.03 | 2017 est. |
| 54 | Marshall Islands | 3.03 | 2017 est. |
| 55 | Philippines | 3.02 | 2017 est. |
| 56 | Kenya | 2.98 | 2017 est. |
| 57 | Guam | 2.96 | 2017 est. |
| 58 | Tuvalu | 2.95 | 2017 est. |
| 59 | Belize | 2.85 | 2017 est. |
| 60 | Oman | 2.82 | 2017 est. |
| 61 | Northern Mariana Islands | 2.80 | 2017 est. |
| 62 | Nauru | 2.80 | 2017 est. |
| 63 | Guatemala | 2.77 | 2017 est. |
| 64 | Haiti | 2.72 | 2017 est. |
| 65 | Samoa | 2.70 | 2017 est. |
| 66 | Algeria | 2.70 | 2017 est. |
| 67 | Laos | 2.70 | 2017 est. |
| 68 | Swaziland | 2.69 | 2017 est. |
| 69 | American Samoa | 2.68 | 2017 est. |
| 70 | Honduras | 2.67 | 2017 est. |
| 71 | Israel | 2.64 | 2017 est. |
| 72 | Tajikistan | 2.63 | 2017 est. |
| 73 | Bolivia | 2.63 | 2017 est. |
| 74 | Lesotho | 2.63 | 2017 est. |
| 75 | Pakistan | 2.62 | 2017 est. |
| 76 | Kyrgyzstan | 2.61 | 2017 est. |
| 77 | Botswana | 2.56 | 2017 est. |
| 78 | Cambodia | 2.52 | 2017 est. |
| 79 | Syria | 2.50 | 2017 est. |
| 80 | Malaysia | 2.50 | 2017 est. |
| 81 | India | 2.43 | 2017 est. |
| 82 | Micronesia, Federated States of | 2.41 | 2017 est. |
| 83 | Fiji | 2.41 | 2017 est. |
| 84 | Kuwait | 2.40 | 2017 est. |
| 85 | Kiribati | 2.39 | 2017 est. |
| 86 | Faroe Islands | 2.35 | 2017 est. |
