CIA - The World Factbook --  Total fertility rate   

This entry gives a figure for the average number of children that would be born per woman if all women lived to the end of their childbearing years and bore children according to a given fertility rate at each age. The total fertility rate (TFR) is a more direct measure of the level of fertility than the crude birth rate, since it refers to births per woman. This indicator shows the potential for population change in the country. A rate of two children per woman is considered the replacement rate for a population, resulting in relative stability in terms of total numbers. Rates above two children indicate populations growing in size and whose median age is declining. Higher rates may also indicate difficulties for families, in some situations, to feed and educate their children and for women to enter the labor force. Rates below two children indicate populations decreasing in size and growing older. Global fertility rates are in general decline and this trend is most pronounced in industrialized countries, especially Western Europe, where populations are projected to decline dramatically over the next 50 years.

| Rank | country | (children born/woman) | Date of Information |
| --- | --- | --- | --- |
| 1 | Niger | 7.03 | 2013 est. |
| 2 | Mali | 6.25 | 2013 est. |
| 3 | Somalia | 6.17 | 2013 est. |
| 4 | Uganda | 6.06 | 2013 est. |
| 5 | Burkina Faso | 6.00 | 2013 est. |
| 6 | Burundi | 5.99 | 2013 est. |
| 7 | Zambia | 5.81 | 2013 est. |
| 8 | Afghanistan | 5.54 | 2013 est. |
| 9 | South Sudan | 5.54 | 2013 est. |
| 10 | Angola | 5.49 | 2013 est. |
| 11 | Congo, Republic of the | 5.49 | 2013 est. |
| 12 | Mozambique | 5.34 | 2013 est. |
| 13 | Nigeria | 5.31 | 2013 est. |
| 14 | Ethiopia | 5.31 | 2013 est. |
| 15 | Malawi | 5.26 | 2013 est. |
| 16 | Timor-Leste | 5.22 | 2013 est. |
| 17 | Benin | 5.13 | 2013 est. |
| 18 | Tanzania | 5.01 | 2013 est. |
| 19 | Guinea | 4.99 | 2013 est. |
| 20 | Congo, Democratic Republic of the | 4.95 | 2013 est. |
| 21 | Liberia | 4.92 | 2013 est. |
| 22 | Sierra Leone | 4.87 | 2013 est. |
| 23 | Sao Tome and Principe | 4.81 | 2013 est. |
| 24 | Chad | 4.80 | 2013 est. |
| 25 | Equatorial Guinea | 4.74 | 2013 est. |
| 26 | Rwanda | 4.71 | 2013 est. |
| 27 | Senegal | 4.61 | 2013 est. |
| 28 | Togo | 4.58 | 2013 est. |
| 29 | Gabon | 4.52 | 2013 est. |
| 30 | Central African Republic | 4.52 | 2013 est. |
| 31 | Gaza Strip | 4.41 | 2013 est. |
| 32 | Guinea-Bissau | 4.37 | 2013 est. |
| 33 | Madagascar | 4.36 | 2013 est. |
| 34 | Yemen | 4.27 | 2013 est. |
| 35 | Eritrea | 4.25 | 2013 est. |
| 36 | Mauritania | 4.15 | 2013 est. |
| 37 | Western Sahara | 4.15 | 2013 est. |
| 38 | Ghana | 4.12 | 2013 est. |
| 39 | Sudan | 4.05 | 2013 est. |
| 40 | Cameroon | 4.00 | 2013 est. |
| 41 | Gambia, The | 3.98 | 2013 est. |
| 42 | Comoros | 3.93 | 2013 est. |
| 43 | Kenya | 3.76 | 2013 est. |
| 44 | Cote d'Ivoire | 3.73 | 2013 est. |
| 45 | Zimbabwe | 3.58 | 2013 est. |
| 46 | Iraq | 3.50 | 2013 est. |
| 47 | Vanuatu | 3.47 | 2013 est. |
| 48 | Tonga | 3.46 | 2013 est. |
| 49 | Solomon Islands | 3.44 | 2013 est. |
| 50 | Jordan | 3.32 | 2013 est. |
| 51 | Papua New Guinea | 3.31 | 2013 est. |
| 52 | Marshall Islands | 3.29 | 2013 est. |
| 53 | Philippines | 3.10 | 2013 est. |
| 54 | Guatemala | 3.08 | 2013 est. |
| 55 | Belize | 3.08 | 2013 est. |
| 56 | Tuvalu | 3.06 | 2013 est. |
| 57 | American Samoa | 3.04 | 2013 est. |
| 58 | Samoa | 3.03 | 2013 est. |
| 59 | Nauru | 2.98 | 2013 est. |
| 60 | Laos | 2.98 | 2013 est. |
| 61 | Swaziland | 2.96 | 2013 est. |
| 62 | Pakistan | 2.96 | 2013 est. |
| 63 | Honduras | 2.94 | 2013 est. |
| 64 | West Bank | 2.91 | 2013 est. |
| 65 | Egypt | 2.90 | 2013 est. |
| 66 | Haiti | 2.88 | 2013 est. |
| 67 | Bolivia | 2.87 | 2013 est. |
| 68 | Oman | 2.86 | 2013 est. |
| 69 | Lesotho | 2.83 | 2013 est. |
| 70 | Tajikistan | 2.80 | 2013 est. |
| 71 | Algeria | 2.78 | 2013 est. |
| 72 | Syria | 2.77 | 2013 est. |
| 73 | Cambodia | 2.72 | 2013 est. |
| 74 | Kyrgyzstan | 2.71 | 2013 est. |
| 75 | Micronesia, Federated States of | 2.68 | 2012 est. |
| 76 | Israel | 2.65 | 2013 est. |
| 77 | Kiribati | 2.63 | 2013 est. |
| 78 | Malaysia | 2.61 | 2013 est. |
| 79 | Kuwait | 2.56 | 2013 est. |
| 80 | Djibouti | 2.55 | 2013 est. |
| 81 | India | 2.55 | 2013 est. |
| 82 | Fiji | 2.54 | 2013 est. |
| 83 | Bangladesh | 2.50 | 2013 est. |
| 84 | Guam | 2.41 | 2013 est. |
| 85 | Botswana | 2.41 | 2013 est. |
| 86 | Panama | 2.40 | 2013 est. |
| 87 | Faroe Islands | 2.39 | 2013 est. |
| 88 | Dominican Republic | 2.39 | 2013 est. |
| 89 | Cabo Verde | 2.39 | 2013 est. |
| 90 | Kazakhstan | 2.38 | 2013 est. |
| 91 | United Arab Emirates | 2.37 | 2013 est. |
| 92 | Venezuela | 2.37 | 2013 est. |
| 93 | Nepal | 2.36 | 2013 est. |
