CIA - The World Factbook --  TOTAL FERTILITY RATE

Total fertility rate (TFR) compares figures for the average number of children that would be born per woman if all women lived to the end of their childbearing years and bore children according to a given fertility rate at each age. TFR is a more direct measure of the level of fertility than the crude birth rate, since it refers to births per woman.

| Rank | Country | (CHILDREN BORN/WOMAN) | Date of Information |
| --- | --- | --- | --- |
| 1 | Niger | 6.62 | 2016 est. |
| 2 | Burundi | 6.04 | 2016 est. |
| 3 | Mali | 5.95 | 2016 est. |
| 4 | Somalia | 5.89 | 2016 est. |
| 5 | Uganda | 5.80 | 2016 est. |
| 6 | Burkina Faso | 5.79 | 2016 est. |
| 7 | Zambia | 5.67 | 2016 est. |
| 8 | Malawi | 5.54 | 2016 est. |
| 9 | Angola | 5.31 | 2016 est. |
| 10 | Afghanistan | 5.22 | 2016 est. |
| 11 | South Sudan | 5.19 | 2016 est. |
| 12 | Mozambique | 5.15 | 2016 est. |
| 13 | Nigeria | 5.13 | 2016 est. |
| 14 | Ethiopia | 5.07 | 2016 est. |
| 15 | Timor-Leste | 4.90 | 2016 est. |
| 16 | Benin | 4.86 | 2016 est. |
| 17 | Tanzania | 4.83 | 2016 est. |
| 18 | Guinea | 4.82 | 2016 est. |
| 19 | Sierra Leone | 4.76 | 2016 est. |
| 20 | Cameroon | 4.70 | 2016 est. |
| 21 | Congo, Republic of the | 4.63 | 2016 est. |
| 22 | Liberia | 4.60 | 2016 est. |
| 23 | Congo, Democratic Republic of the | 4.53 | 2016 est. |
| 24 | Equatorial Guinea | 4.48 | 2016 est. |
| 25 | Rwanda | 4.46 | 2016 est. |
| 26 | Chad | 4.45 | 2016 est. |
| 27 | Togo | 4.43 | 2016 est. |
| 28 | Gabon | 4.43 | 2016 est. |
| 29 | Sao Tome and Principe | 4.40 | 2016 est. |
| 30 | Senegal | 4.36 | 2016 est. |
| 31 | Central African Republic | 4.36 | 2016 est. |
| 32 | Gaza Strip | 4.30 | 2016 est. |
| 33 | Guinea-Bissau | 4.16 | 2016 est. |
| 34 | Madagascar | 4.12 | 2016 est. |
| 35 | Eritrea | 4.07 | 2016 est. |
| 36 | Iraq | 4.06 | 2016 est. |
| 37 | Ghana | 4.03 | 2016 est. |
| 38 | Western Sahara | 3.93 | 2016 est. |
| 39 | Mauritania | 3.93 | 2016 est. |
| 40 | Yemen | 3.77 | 2016 est. |
| 41 | Sudan | 3.68 | 2016 est. |
| 42 | Gambia, The | 3.63 | 2016 est. |
| 43 | Egypt | 3.53 | 2016 est. |
| 44 | Zimbabwe | 3.50 | 2016 est. |
| 45 | Comoros | 3.47 | 2016 est. |
| 46 | Cote d'Ivoire | 3.46 | 2016 est. |
| 47 | Namibia | 3.36 | 2016 est. |
| 48 | West Bank | 3.33 | 2016 est. |
| 49 | Solomon Islands | 3.22 | 2016 est. |
| 50 | Jordan | 3.18 | 2016 est. |
| 51 | Tonga | 3.18 | 2016 est. |
| 52 | Vanuatu | 3.16 | 2016 est. |
| 53 | Kenya | 3.14 | 2016 est. |
| 54 | Papua New Guinea | 3.10 | 2016 est. |
| 55 | Marshall Islands | 3.09 | 2016 est. |
| 56 | Philippines | 3.06 | 2016 est. |
| 57 | Tuvalu | 2.98 | 2016 est. |
| 58 | Belize | 2.90 | 2016 est. |
| 59 | American Samoa | 2.87 | 2016 est. |
| 60 | Nauru | 2.84 | 2016 est. |
| 61 | Oman | 2.84 | 2016 est. |
| 62 | Guatemala | 2.83 | 2016 est. |
| 63 | Haiti | 2.79 | 2016 est. |
| 64 | Samoa | 2.77 | 2016 est. |
| 65 | Laos | 2.76 | 2016 est. |
| 66 | Swaziland | 2.74 | 2016 est. |
| 67 | Algeria | 2.74 | 2016 est. |
