CIA - The World Factbook --  Total fertility rate   

Total fertility rate (TFR) compares figures for the average number of children that would be born per woman if all women lived to the end of their childbearing years and bore children according to a given fertility rate at each age. TFR is a more direct measure of the level of fertility than the crude birth rate, since it refers to births per woman.

| Rank | country | (children born/woman) | Date of Information |
| 122 | Northern Mariana Islands | 2.01 | 2014 est. |
| 123 | United States | 2.01 | 2014 est. |
| 124 | Suriname | 2.01 | 2014 est. |
| 125 | Ireland | 2.00 | 2014 est. |
| 126 | Tunisia | 2.00 | 2014 est. |
| 127 | New Caledonia | 1.99 | 2014 est. |
| 128 | Nicaragua | 1.99 | 2014 est. |
| 129 | Korea, North | 1.98 | 2014 est. |
| 130 | Bahamas, The | 1.97 | 2014 est. |
| 131 | Paraguay | 1.96 | 2014 est. |
| 132 | French Polynesia | 1.95 | 2014 est. |
| 133 | Bermuda | 1.95 | 2014 est. |
| 134 | El Salvador | 1.95 | 2014 est. |
| 135 | Isle of Man | 1.94 | 2014 est. |
| 136 | Qatar | 1.92 | 2014 est. |
| 137 | Gibraltar | 1.92 | 2014 est. |
| 138 | Azerbaijan | 1.91 | 2014 est. |
| 139 | Costa Rica | 1.91 | 2014 est. |
| 140 | United Kingdom | 1.90 | 2014 est. |
| 141 | Seychelles | 1.88 | 2014 est. |
| 142 | Sweden | 1.88 | 2014 est. |
| 143 | Iceland | 1.88 | 2014 est. |
| 144 | Cayman Islands | 1.86 | 2014 est. |
| 145 | Norway | 1.86 | 2014 est. |
| 146 | Iran | 1.85 | 2014 est. |
| 147 | Vietnam | 1.85 | 2014 est. |
| 148 | Chile | 1.84 | 2014 est. |
| 149 | Uruguay | 1.84 | 2014 est. |
| 150 | Aruba | 1.84 | 2014 est. |
| 151 | Saint Vincent and the Grenadines | 1.84 | 2014 est. |
| 152 | Brunei | 1.82 | 2014 est. |
| 153 | Bahrain | 1.81 | 2014 est. |
| 154 | Uzbekistan | 1.80 | 2014 est. |
| 155 | Brazil | 1.79 | 2014 est. |
| 156 | Saint Kitts and Nevis | 1.78 | 2014 est. |
| 157 | Netherlands | 1.78 | 2014 est. |
| 158 | Luxembourg | 1.77 | 2014 est. |
| 159 | Georgia | 1.77 | 2014 est. |
| 160 | Mauritius | 1.77 | 2014 est. |
| 161 | Saint Lucia | 1.77 | 2014 est. |
| 162 | Australia | 1.77 | 2014 est. |
| 163 | Wallis and Futuna | 1.76 | 2014 est. |
| 164 | Maldives | 1.76 | 2014 est. |
| 165 | Virgin Islands | 1.75 | 2014 est. |
| 166 | Anguilla | 1.75 | 2014 est. |
| 167 | Lebanon | 1.74 | 2014 est. |
| 168 | Denmark | 1.73 | 2014 est. |
| 169 | Finland | 1.73 | 2014 est. |
| 170 | Palau | 1.71 | 2014 est. |
| 171 | Trinidad and Tobago | 1.71 | 2014 est. |
| 172 | Turks and Caicos Islands | 1.70 | 2014 est. |
| 173 | Liechtenstein | 1.69 | 2014 est. |
| 174 | Barbados | 1.68 | 2014 est. |
| 175 | Jersey | 1.66 | 2014 est. |
| 176 | Belgium | 1.65 | 2014 est. |
| 177 | Armenia | 1.64 | 2014 est. |
| 178 | Puerto Rico | 1.64 | 2014 est. |
| 179 | Russia | 1.61 | 2014 est. |
| 180 | Macedonia | 1.59 | 2014 est. |
| 181 | Canada | 1.59 | 2014 est. |
| 182 | Saint Helena, Ascension, and Tristan da Cunha | 1.58 | 2014 est. |
| 183 | Moldova | 1.56 | 2014 est. |
| 184 | Saint Pierre and Miquelon | 1.56 | 2014 est. |
| 185 | China | 1.55 | 2014 est. |
| 186 | Guernsey | 1.55 | 2014 est. |
| 187 | Malta | 1.54 | 2014 est. |
| 188 | Switzerland | 1.54 | 2014 est. |
| 189 | Portugal | 1.52 | 2014 est. |
| 190 | Monaco | 1.52 | 2014 est. |
| 191 | Albania | 1.50 | 2014 est. |
| 192 | Thailand | 1.50 | 2014 est. |
| 193 | San Marino | 1.49 | 2014 est. |
| 194 | Spain | 1.48 | 2014 est. |
| 195 | Belarus | 1.47 | 2014 est. |
| 196 | Estonia | 1.46 | 2014 est. |
| 197 | Cuba | 1.46 | 2014 est. |
| 198 | Cyprus | 1.46 | 2014 est. |
| 199 | Croatia | 1.45 | 2014 est. |
| 200 | Bulgaria | 1.44 | 2014 est. |
| 201 | Czech Republic | 1.43 | 2014 est. |
| 202 | Austria | 1.43 | 2014 est. |
| 203 | Germany | 1.43 | 2014 est. |
| 204 | Serbia | 1.42 | 2014 est. |
| 205 | Italy | 1.42 | 2014 est. |
| 206 | Hungary | 1.42 | 2014 est. |
| 207 | Greece | 1.41 | 2014 est. |
| 208 | Japan | 1.40 | 2014 est. |
| 209 | Slovakia | 1.39 | 2014 est. |
| 210 | Andorra | 1.38 | 2014 est. |
| 211 | Latvia | 1.35 | 2014 est. |
| 212 | Poland | 1.33 | 2014 est. |
| 213 | Slovenia | 1.33 | 2014 est. |
| 214 | Romania | 1.32 | 2014 est. |
| 215 | Ukraine | 1.30 | 2014 est. |
| 216 | Montserrat | 1.29 | 2014 est. |
| 217 | Lithuania | 1.29 | 2014 est. |
| 218 | Bosnia and Herzegovina | 1.26 | 2014 est. |
| 219 | British Virgin Islands | 1.25 | 2014 est. |
| 220 | Korea, South | 1.25 | 2014 est. |
| 221 | Hong Kong | 1.17 | 2014 est. |
| 222 | Taiwan | 1.11 | 2014 est. |
| 223 | Macau | 0.93 | 2014 est. |
| 224 | Singapore | 0.80 | 2014 est. |


