CIA - The World Factbook --  REFINED PETROLEUM PRODUCTS - EXPORTS

Refined petroleum products - exports is the country's total exports of refined petroleum products, in barrels per day (bbl/day).

| Rank | Country | (BBL/DAY) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 4,670,000 | 2016 est. |
| 2 | Russia | 3,133,000 | 2014 est. |
| 3 | Netherlands | 2,331,000 | 2016 est. |
| 4 | European Union | 2,196,000 | 2016 est. |
| 5 | Singapore | 1,718,000 | 2014 est. |
| 6 | Saudi Arabia | 1,621,000 | 2014 est. |
| 7 | India | 1,371,000 | 2014 est. |
| 8 | Korea, South | 1,343,000 | 2016 est. |
| 9 | Canada | 991,600 | 2016 est. |
| 10 | China | 709,900 | 2014 est. |
| 11 | United Kingdom | 632,200 | 2016 est. |
| 12 | Belgium | 597,000 | 2016 est. |
| 13 | Algeria | 575,800 | 2014 est. |
| 14 | Italy | 572,000 | 2016 est. |
| 15 | Qatar | 544,000 | 2014 est. |
| 16 | Spain | 501,100 | 2016 est. |
| 17 | Germany | 474,300 | 2016 est. |
| 18 | France | 433,400 | 2016 est. |
| 19 | Venezuela | 402,300 | 2014 est. |
| 20 | Kuwait | 400,000 | 2013 est. |
| 21 | Japan | 381,100 | 2016 est. |
| 22 | Norway | 353,100 | 2016 est. |
| 23 | Greece | 351,700 | 2016 est. |
| 24 | Taiwan | 350,300 | 2014 est. |
| 25 | Sweden | 336,300 | 2016 est. |
| 26 | United Arab Emirates | 334,900 | 2014 est. |
| 27 | Belarus | 290,300 | 2014 est. |
| 28 | Iran | 272,600 | 2014 est. |
| 29 | Brazil | 269,400 | 2014 est. |
| 30 | Bahrain | 244,500 | 2014 est. |
| 31 | Thailand | 238,800 | 2014 est. |
| 32 | Malaysia | 231,400 | 2014 est. |
| 33 | Curacao | 211,100 | 2009 est. |
| 34 | Mexico | 181,600 | 2016 est. |
| 35 | Denmark | 171,600 | 2016 est. |
| 36 | Finland | 167,200 | 2016 est. |
| 37 | Lithuania | 145,600 | 2014 est. |
| 38 | Poland | 135,000 | 2016 est. |
| 39 | Turkey | 134,900 | 2016 est. |
| 40 | Portugal | 128,800 | 2016 est. |
| 41 | Israel | 115,700 | 2016 est. |
| 42 | Indonesia | 98,780 | 2014 est. |
| 43 | Trinidad and Tobago | 97,960 | 2014 est. |
| 44 | Colombia | 83,920 | 2014 est. |
| 45 | Bulgaria | 83,450 | 2014 est. |
| 46 | Slovakia | 83,030 | 2016 est. |
| 47 | Romania | 80,400 | 2014 est. |
| 48 | South Africa | 78,110 | 2014 est. |
| 49 | Peru | 66,650 | 2014 est. |
| 50 | Australia | 60,290 | 2016 est. |
| 51 | Turkmenistan | 53,780 | 2014 est. |
| 52 | Argentina | 52,500 | 2014 est. |
| 53 | Hungary | 50,510 | 2016 est. |
| 54 | Austria | 49,230 | 2016 est. |
| 55 | Czechia | 49,000 | 2016 est. |
| 56 | Azerbaijan | 46,770 | 2014 est. |
| 57 | Egypt | 39,220 | 2014 est. |
| 58 | Croatia | 33,660 | 2014 est. |
| 59 | Oman | 33,240 | 2014 est. |
| 60 | Cote d'Ivoire | 31,550 | 2014 est. |
| 61 | Ireland | 31,540 | 2016 est. |
| 62 | Vietnam | 28,860 | 2014 est. |
| 63 | Slovenia | 28,400 | 2016 est. |
| 64 | Yemen | 27,290 | 2014 est. |
| 65 | Ecuador | 25,940 | 2014 est. |
| 66 | Cuba | 25,540 | 2014 est. |
| 67 | Morocco | 24,830 | 2014 est. |
| 68 | Angola | 23,980 | 2014 est. |
| 69 | Latvia | 22,640 | 2016 est. |
| 70 | Estonia | 21,250 | 2016 est. |
| 71 | Pakistan | 20,720 | 2014 est. |
| 72 | Cameroon | 17,560 | 2014 est. |
| 73 | Tunisia | 16,710 | 2014 est. |
| 74 | Libya | 16,450 | 2014 est. |
| 75 | Albania | 16,250 | 2016 est. |
| 76 | Ukraine | 15,210 | 2014 est. |
| 77 | Honduras | 13,160 | 2014 est. |
| 78 | Philippines | 13,140 | 2014 est. |
| 79 | Syria | 12,500 | 2014 est. |
| 80 | Serbia | 12,050 | 2016 est. |
| 81 | Guatemala | 11,780 | 2016 est. |
| 82 | Nigeria | 11,010 | 2014 est. |
| 83 | Suriname | 10,620 | 2014 est. |
| 84 | Hong Kong | 9,625 | 2014 est. |
| 85 | Switzerland | 8,894 | 2016 est. |
| 86 | Bolivia | 8,642 | 2014 est. |
| 87 | Papua New Guinea | 8,062 | 2014 est. |
