CIA - The World Factbook --  Refined petroleum products - exports   

This entry is the country's total exports of refined petroleum products, in barrels per day (bbl/day).

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | World | 22,550,000 | 2008 est. |
| 2 | European Union | 2,196,000 | 2009 est. |
| 3 | Russia | 1,924,000 | 2008 est. |
| 4 | United States | 1,876,000 | 2009 est. |
| 5 | Netherlands | 1,858,000 | 2009 est. |
| 6 | Singapore | 1,580,000 | 2008 est. |
| 7 | Saudi Arabia | 951,000 | 2008 est. |
| 8 | Korea, South | 907,100 | 2009 est. |
| 9 | India | 812,100 | 2008 est. |
| 10 | Kuwait | 717,700 | 2008 est. |
| 11 | Italy | 628,000 | 2010 est. |
| 12 | Venezuela | 627,400 | 2008 est. |
| 13 | China | 623,000 | 2011 est. |
| 14 | United Kingdom | 535,300 | 2009 est. |
| 15 | France | 487,200 | 2009 est. |
| 16 | Germany | 467,900 | 2009 est. |
| 17 | United Arab Emirates | 452,400 | 2008 est. |
| 18 | Algeria | 446,500 | 2008 est. |
| 19 | Canada | 437,300 | 2009 est. |
| 20 | Norway | 412,600 | 2009 est. |
| 21 | Virgin Islands | 390,000 | 2008 est. |
| 22 | Japan | 366,800 | 2009 est. |
| 23 | Belgium | 353,000 | 2009 est. |
| 24 | Taiwan | 344,500 | 2008 est. |
| 25 | Belarus | 302,000 | 2008 est. |
| 26 | Iran | 246,500 | 2008 est. |
| 27 | Sweden | 243,200 | 2009 est. |
| 28 | Spain | 240,700 | 2009 est. |
| 29 | Malaysia | 213,800 | 2008 est. |
| 30 | Bahrain | 212,900 | 2008 est. |
| 31 | Curacao | 211,100 | 2009 est. |
| 32 | Aruba | 205,400 | 2008 est. |
| 33 | Mexico | 199,000 | 2009 est. |
| 34 | Thailand | 191,600 | 2008 est. |
| 35 | Brazil | 164,300 | 2008 est. |
| 36 | Greece | 161,400 | 2009 est. |
| 37 | Lithuania | 149,900 | 2008 est. |
| 38 | Trinidad and Tobago | 148,600 | 2008 est. |
| 39 | Indonesia | 142,400 | 2008 est. |
| 40 | Finland | 133,600 | 2009 est. |
| 41 | Romania | 107,300 | 2008 est. |
