CIA - The World Factbook --  Refugees and internally displaced persons   

| Rank | country | Refugees and internally displaced persons | Date of Information |
| 139 | Italy | 12,682.00 | NA |
| 140 | France | 12,560.00 | NA |
| 141 | Cameroon | 12,400.00 | NA |
| 142 | Canada | 12,326.00 | NA |
| 143 | Austria | 11,906.00 | NA |
| 144 | France | 11,738.00 | NA |
| 145 | Vietnam | 11,500.00 | NA |
| 146 | United Kingdom | 11,368.00 | NA |
| 147 | United Kingdom | 11,249.00 | NA |
| 148 | India | 11,122.00 | NA |
| 149 | Armenia | 11,090.00 | NA |
| 150 | Central African Republic | 10,992.00 | NA |
| 151 | France | 10,867.00 | NA |
| 152 | Poland | 10,825.00 | NA |
| 153 | Italy | 10,817.00 | NA |
| 154 | Canada | 10,641.00 | NA |
| 155 | Uganda | 10,578.00 | NA |
| 156 | Sweden | 10,499.00 | NA |
| 157 | India | 10,328.00 | NA |
| 158 | United Kingdom | 10,302.00 | NA |
| 159 | Niger | 10,044.00 | NA |
| 160 | United Kingdom | 10,010.00 | NA |
| 161 | Ukraine | 10,000.00 | NA |
| 162 | Eritrea | 10,000.00 | NA |
| 163 | Iraq | 9,992.00 | NA |
| 164 | Congo, Democratic Republic of the | 9,762.00 | NA |
| 165 | Sweden | 9,596.00 | NA |
| 166 | Ghana | 9,567.00 | NA |
| 167 | Papua New Guinea | 9,368.00 | NA |
| 168 | Norway | 9,344.00 | NA |
| 169 | Norway | 9,275.00 | NA |
| 170 | United Kingdom | 9,166.00 | NA |
| 171 | United States | 9,134.00 | NA |
| 172 | Gambia, The | 9,025.00 | NA |
| 173 | Sweden | 8,954.00 | NA |
| 174 | Turkmenistan | 8,947.00 | NA |
| 175 | Kenya | 8,769.00 | NA |
| 176 | France | 8,528.00 | NA |
| 177 | Serbia | 8,500.00 | NA |
| 178 | Congo, Republic of the | 8,496.00 | NA |
| 179 | Guinea-Bissau | 8,445.00 | NA |
| 180 | Germany | 8,410.00 | NA |
| 181 | Armenia | 8,400.00 | NA |
| 182 | Australia | 8,368.00 | NA |
| 183 | Iraq | 7,992.00 | NA |
| 184 | Canada | 7,872.00 | NA |
| 185 | Congo, Republic of the | 7,800.00 | NA |
| 186 | United States | 7,608.00 | NA |
| 187 | South Africa | 7,578.00 | NA |
| 188 | Albania | 7,443.00 | NA |
| 189 | France | 7,261.00 | NA |
| 190 | Belarus | 6,969.00 | NA |
| 191 | Montenegro | 6,967.00 | NA |
| 192 | Kazakhstan | 6,935.00 | NA |
| 193 | Bosnia and Herzegovina | 6,709.00 | NA |
| 194 | Italy | 6,695.00 | NA |
| 195 | Canada | 6,512.00 | NA |
| 196 | Guinea | 6,493.00 | 2013 |
| 197 | Egypt | 6,316.00 | NA |
| 198 | Netherlands | 6,269.00 | NA |
| 199 | Kenya | 5,825.00 | NA |
| 200 | Yemen | 5,740.00 | NA |
| 201 | Germany | 5,683.00 | NA |
| 202 | Norway | 5,679.00 | NA |
| 203 | Malta | 5,543.00 | NA |
| 204 | Norway | 5,523.00 | NA |
| 205 | Egypt | 5,506.00 | NA |
| 206 | South Sudan | 5,317.00 | NA |
| 207 | Ghana | 5,249.00 | NA |
| 208 | France | 5,101.00 | NA |
| 209 | Bosnia and Herzegovina | 4,500.00 | NA |
| 210 | United States | 4,205.00 | NA |
| 211 | Lithuania | 4,130.00 | NA |
| 212 | Belgium | 3,898.00 | NA |
| 213 | Denmark | 3,623.00 | NA |
| 214 | Azerbaijan | 3,585.00 | NA |
| 215 | Montenegro | 3,383.00 | NA |
| 216 | Croatia | 2,886.00 | NA |
| 217 | United States | 2,578.00 | NA |
| 218 | Norway | 2,313.00 | NA |
| 219 | Tajikistan | 2,300.00 | NA |
| 220 | Finland | 2,017.00 | NA |
| 221 | Netherlands | 2,005.00 | NA |
| 222 | Moldova | 1,998.00 | NA |
| 223 | United States | 1,824.00 | NA |
| 224 | Slovakia | 1,523.00 | NA |
| 225 | Czech Republic | 1,502.00 | NA |
| 226 | Burundi | 1,302.00 | NA |
| 227 | France | 1,210.00 | NA |
| 228 | Qatar | 1,200.00 | NA |
| 229 | Georgia | 1,156.00 | NA |
| 230 | Japan | 1,100.00 | NA |
| 231 | Macedonia | 905.00 | NA |
| 232 | Turkey | 780.00 | NA |
| 233 | Portugal | 553.00 | NA |
| 234 | Austria | 542.00 | NA |
| 235 | Italy | 470.00 | NA |
| 236 | Romania | 248.00 | NA |
| 237 | Mongolia | 220.00 | NA |
| 238 | United Kingdom | 205.00 | NA |
| 239 | Korea, South | 179.00 | NA |
| 240 | Luxembourg | 177.00 | NA |
| 241 | Greece | 154.00 | NA |
| 242 | Iceland | 119.00 | NA |
| 243 | Hungary | 111.00 | NA |
| 244 | Ireland | 73.00 | NA |
| 245 | Switzerland | 69.00 | NA |
| 246 | Egypt | 60.00 | NA |
| 247 | Spain | 36.00 | NA |
| 248 | Armenia | 35.00 | NA |
| 249 | Israel | 14.00 | NA |
| 250 | Colombia | 12.00 | NA |
| 251 | Mexico | 7.00 | NA |
| 252 | Liechtenstein | 5.00 | NA |


