CIA - The World Factbook --  Television broadcast stations   

| Rank | country | Television broadcast stations | Date of Information |
| 139 | Gabon | 4.00 | 2001 |
| 140 | Bermuda | 3.00 | 2005 |
| 141 | Nigeria | 3.00 | 2001 |
| 142 | Yemen | 3.00 | 2007 |
| 143 | Tonga | 3.00 | 2004 |
| 144 | Togo | 3.00 | 1997 |
| 145 | Tanzania | 3.00 | 1999 |
| 146 | Suriname | 3.00 | 2000 |
| 147 | Sudan | 3.00 | 1997 |
| 148 | Papua New Guinea | 3.00 | 2004 |
| 149 | Micronesia, Federated States of | 3.00 | 2004 |
| 150 | Mayotte | 3.00 | 2001 |
| 151 | Burkina Faso | 3.00 | NA |
| 152 | Guyana | 3.00 | 1997 |
| 153 | Faroe Islands | 3.00 | September 1995 |
| 154 | Antigua and Barbuda | 2.00 | 1997 |
| 155 | Haiti | 2.00 | 1997 |
| 156 | Wallis and Futuna | 2.00 | 2000 |
| 157 | Samoa | 2.00 | 2002 |
| 158 | Saint Lucia | 2.00 | 2003 |
| 159 | Rwanda | 2.00 | 2004 |
| 160 | Namibia | 2.00 | 2007 |
| 161 | Mauritius | 2.00 | 1997 |
| 162 | Marshall Islands | 2.00 | 2005 |
| 163 | Mali | 2.00 | 2007 |
| 164 | Maldives | 2.00 | 2009 |
| 165 | Jersey | 2.00 | 2008 |
| 166 | Sierra Leone | 2.00 | 1999 |
| 167 | Seychelles | 2.00 | 1997 |
| 168 | Sao Tome and Principe | 2.00 | 2001 |
| 169 | Hong Kong | 2.00 | 2009 |
| 170 | Grenada | 2.00 | 2009 |
| 171 | Eritrea | 2.00 | 2006 |
| 172 | Falkland Islands (Islas Malvinas) | 2.00 | 2006 |
| 173 | Bahamas, The | 2.00 | 2006 |
| 174 | Botswana | 2.00 | 2007 |
| 175 | American Samoa | 1.00 | 2006 |
| 176 | British Indian Ocean Territory | 1.00 | 1997 |
| 177 | Vanuatu | 1.00 | 2004 |
| 178 | Timor-Leste | 1.00 | NA |
| 179 | Qatar | 1.00 | 2001 |
| 180 | Palau | 1.00 | 2005 |
| 181 | Northern Mariana Islands | 1.00 | 2006 |
| 182 | Norfolk Island | 1.00 | 2005 |
| 183 | Niue | 1.00 | 1997 |
| 184 | Nauru | 1.00 | 1997 |
| 185 | Montserrat | 1.00 | 1997 |
| 186 | Mauritania | 1.00 | 2002 |
| 187 | Greenland | 1.00 | 1997 |
| 188 | Singapore | 1.00 | 2008 |
| 189 | San Marino | 1.00 | 1997 |
| 190 | Saint Vincent and the Grenadines | 1.00 | 2004 |
| 191 | Saint Kitts and Nevis | 1.00 | 2003 |
| 192 | Gibraltar | 1.00 | 1997 |
| 193 | Gaza Strip | 1.00 | 2008 |
| 194 | Gambia, The | 1.00 | 1997 |
| 195 | Ethiopia | 1.00 | 2001 |
| 196 | Equatorial Guinea | 1.00 | 2001 |
| 197 | Dominica | 1.00 | 2004 |
| 198 | Djibouti | 1.00 | 2001 |
| 199 | Cook Islands | 1.00 | 2004 |
| 200 | Malawi | 1.00 | 2001 |
| 201 | Madagascar | 1.00 | 2001 |
| 202 | Macau | 1.00 | 2009 |
| 203 | Lesotho | 1.00 | 2007 |
| 204 | Kiribati | 1.00 | 2002 |
| 205 | Holy See (Vatican City) | 1.00 | 2008 |
| 206 | Guinea-Bissau | 1.00 | 2007 |
| 207 | Guernsey | 1.00 | 1997 |
| 208 | Congo, Republic of the | 1.00 | 2001 |
| 209 | Chad | 1.00 | 2001 |
| 210 | Central African Republic | 1.00 | 2001 |
| 211 | Cape Verde | 1.00 | 2001 |
| 212 | Cameroon | 1.00 | 2001 |
| 213 | Burundi | 1.00 | 2001 |
| 214 | British Virgin Islands | 1.00 | 1997 |
| 215 | Bhutan | 1.00 | 2007 |
| 216 | Antarctica | 1.00 | 2002 |
| 217 | Barbados | 1.00 | 2004 |
| 218 | Andorra | 1.00 | 2009 |
| 219 | Aruba | 1.00 | 1997 |
| 220 | Anguilla | 1.00 | 1997 |
| 221 | Akrotiri | 0.00 | 2006 |
| 222 | Turks and Caicos Islands | 0.00 | 2003 |
| 223 | Wake Island | 0.00 | 2005 |
| 224 | Tuvalu | 0.00 | 2004 |
| 225 | South Georgia and South Sandwich Islands | 0.00 | 2003 |
| 226 | Dhekelia | 0.00 | 2006 |
| 227 | Isle of Man | 0.00 | 1999 |
| 228 | Saint Pierre and Miquelon | 0.00 | 1997 |
| 229 | Saint Helena, Ascension, and Tristan da Cunha | 0.00 | 2005 |
| 230 | Christmas Island | 0.00 | 2006 |
