CIA - The World Factbook --  Investment (gross fixed)   

This entry records total business spending on fixed assets, such as factories, machinery, equipment, dwellings, and inventories of raw materials, which provide the basis for future production. It is measured gross of the depreciation of the assets, i.e., it includes investment that merely replaces worn-out or scrapped capital.

| Rank | country | (% of GDP) | Date of Information |
| 122 | New Zealand | 19.50 | 2010 est. |
| 123 | Italy | 19.40 | 2010 est. |
| 124 | Hungary | 19.30 | 2010 est. |
| 125 | France | 19.30 | 2010 est. |
| 126 | Cameroon | 19.30 | 2010 est. |
| 127 | Serbia | 19.20 | 2010 est. |
| 128 | Yemen | 19.10 | 2010 est. |
| 129 | Ukraine | 19.10 | 2010 est. |
| 130 | Portugal | 19.00 | 2010 est. |
| 131 | Madagascar | 18.80 | 2010 est. |
| 132 | Finland | 18.80 | 2010 est. |
| 133 | Ghana | 18.70 | 2010 est. |
| 134 | Turkey | 18.70 | 2010 est. |
| 135 | Estonia | 18.60 | 2010 est. |
| 136 | European Union | 18.50 | 2010 est. |
| 137 | Brazil | 18.40 | 2010 est. |
| 138 | Cyprus | 18.40 | 2010 est. |
| 139 | Syria | 18.40 | 2010 est. |
| 140 | West Bank | 18.30 | 2010 est. |
| 141 | Netherlands | 18.20 | 2010 est. |
| 142 | Egypt | 18.10 | 2010 est. |
| 143 | Germany | 18.10 | 2010 est. |
| 144 | Togo | 18.00 | 2010 est. |
| 145 | Latvia | 18.00 | 2010 est. |
| 146 | Sweden | 17.90 | 2010 est. |
| 147 | Israel | 17.80 | 2010 est. |
| 148 | Papua New Guinea | 17.70 | 2010 est. |
| 149 | Venezuela | 17.60 | 2010 est. |
| 150 | Azerbaijan | 17.00 | 2010 est. |
| 151 | Eritrea | 16.80 | 2010 est. |
| 152 | Luxembourg | 16.80 | 2010 est. |
| 153 | Denmark | 16.80 | 2010 est. |
| 154 | Bolivia | 16.60 | 2010 est. |
| 155 | Swaziland | 16.20 | 2010 est. |
| 156 | Malta | 16.20 | 2010 est. |
| 157 | Lithuania | 16.10 | 2010 est. |
| 158 | Brunei | 16.10 | 2010 est. |
| 159 | Dominican Republic | 16.00 | 2010 est. |
| 160 | Grenada | 15.80 | 2010 est. |
| 161 | Paraguay | 15.80 | 2010 est. |
| 162 | Sierra Leone | 15.40 | 2010 est. |
| 163 | Georgia | 15.40 | 2010 est. |
| 164 | Guatemala | 15.20 | 2010 est. |
| 165 | Burma | 15.10 | 2010 est. |
| 166 | Greece | 14.70 | 2010 est. |
| 167 | United Kingdom | 14.70 | 2010 est. |
| 168 | Puerto Rico | 14.40 | 2010 est. |
| 169 | Pakistan | 13.80 | 2010 est. |
| 170 | Libya | 13.80 | 2010 est. |
| 171 | Nigeria | 13.60 | 2010 est. |
| 172 | Angola | 13.50 | 2010 est. |
| 173 | El Salvador | 13.40 | 2010 est. |
| 174 | Iceland | 13.00 | 2010 est. |
| 175 | Kuwait | 12.90 | 2010 est. |
| 176 | Guinea-Bissau | 12.70 | 2010 est. |
| 177 | Macau | 12.30 | 2010 est. |
| 178 | United States | 11.90 | 2010 est. |
| 179 | Ireland | 11.60 | 2010 est. |
| 180 | Trinidad and Tobago | 11.60 | 2010 est. |
| 181 | Central African Republic | 11.30 | 2010 est. |
| 182 | Cote d'Ivoire | 11.20 | 2010 est. |
| 183 | Comoros | 10.90 | 2020 est. |
| 184 | Cuba | 10.30 | 2010 est. |
| 185 | Nepal | 3.50 | 2020 est. |
