CIA - The World Factbook -- Field Listing :: Crude oil - exports   

This entry is the total amount of crude oil exported, in barrels per day (bbl/day).

| Country | Crude oil - exports(bbl/day) |
| **Lesotho** | 0 bbl/day (2009 est.) |
| **Liberia** | 0 bbl/day (2009 est.) |
| **Libya** | 1.039 million bbl/day (2009 est.) |
| **Lithuania** | 2,260 bbl/day (2009 est.) |
| **Luxembourg** | 0 bbl/day (2009 est.) |
| **Macau** | 0 bbl/day (2009 est.) |
| **Macedonia** | 0 bbl/day (2009 est.) |
| **Madagascar** | 0 bbl/day (2009 est.) |
| **Malawi** | 0 bbl/day (2009 est.) |
| **Malaysia** | 236,400 bbl/day (2009 est.) |
| **Maldives** | 0 bbl/day (2012 est.) |
| **Mali** | 0 bbl/day (2009 est.) |
| **Malta** | 0 bbl/day (2011 est.) |
| **Mauritania** | 10,000 bbl/day (2009 est.) |
| **Mauritius** | 0 bbl/day (2009 est.) |
| **Mexico** | 1.299 million bbl/day (2009 est.) |
| **Moldova** | 0 bbl/day (2009 est.) |
| **Mongolia** | 5,260 bbl/day (2009 est.) |
| **Montenegro** | 0 bbl/day (2009 est.) |
| **Montserrat** | 0 bbl/day (2009 est.) |
| **Morocco** | 0 bbl/day (2009 est.) |
| **Mozambique** | 0 bbl/day (2009 est.) |
| **Namibia** | 0 bbl/day (2009 est.) |
| **Nauru** | 0 bbl/day (2009 est.) |
| **Nepal** | 0 bbl/day (2009 est.) |
| **Netherlands** | 13,140 bbl/day (2009 est.) |
| **New Caledonia** | 0 bbl/day (2009 est.) |
| **New Zealand** | 45,180 bbl/day (2009 est.) |
| **Nicaragua** | 0 bbl/day (2009 est.) |
| **Niger** | 0 bbl/day (2009 est.) |
| **Nigeria** | 2.051 million bbl/day (2009 est.) |
| **Niue** | 0 bbl/day (2009 est.) |
| **Norway** | 1.759 million bbl/day (2009 est.) |
| **Oman** | 701,600 bbl/day (2009 est.) |
| **Pakistan** | 0 bbl/day (2009 est.) |
| **Panama** | 0 bbl/day (2009 est.) |
| **Papua New Guinea** | 0 bbl/day (2009 est.) |
| **Paraguay** | 0 bbl/day (2009 est.) |
| **Peru** | 18,880 bbl/day (2009 est.) |
| **Philippines** | 28,000 bbl/day (2009 est.) |
| **Poland** | 4,520 bbl/day (2009 est.) |
| **Portugal** | 0 bbl/day (2009 est.) |
| **Puerto Rico** | 0 bbl/day (2009 est.) |
| **Qatar** | 704,300 bbl/day (2009 est.) |
| **Romania** | 0 bbl/day (2009 est.) |
| **Russia** | 5.43 million bbl/day (2009 est.) |
| **Rwanda** | 0 bbl/day (2009 est.) |
