CIA - The World Factbook --  Death rate   

This entry gives the average annual number of deaths during a year per 1,000 population at midyear; also known as crude death rate. The death rate, while only a rough indicator of the mortality situation in a country, accurately indicates the current mortality impact on population growth. This indicator is significantly affected by age distribution, and most countries will eventually show a rise in the overall death rate, in spite of continued decline in mortality at all ages, as declining fertility results in an aging population.

| Rank | country | (deaths/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Angola | 23.40 | July 2011 est. |
| 2 | Afghanistan | 17.39 | July 2011 est. |
| 3 | South Africa | 17.09 | July 2011 est. |
| 4 | Nigeria | 16.06 | July 2011 est. |
| 5 | Russia | 16.04 | July 2011 est. |
| 6 | Ukraine | 15.74 | July 2011 est. |
| 7 | Chad | 15.47 | July 2011 est. |
| 8 | Guinea-Bissau | 15.27 | July 2011 est. |
| 9 | Lesotho | 15.19 | July 2011 est. |
| 10 | Central African Republic | 15.01 | July 2011 est. |
| 11 | Somalia | 14.87 | July 2011 est. |
| 12 | Swaziland | 14.60 | July 2011 est. |
| 13 | Bulgaria | 14.32 | July 2011 est. |
| 14 | Mali | 14.29 | July 2011 est. |
| 15 | Niger | 14.11 | July 2011 est. |
| 16 | Serbia | 13.85 | July 2011 est. |
| 17 | Belarus | 13.77 | July 2011 est. |
| 18 | Latvia | 13.60 | July 2011 est. |
| 19 | Zimbabwe | 13.58 | July 2011 est. |
| 20 | Estonia | 13.55 | July 2011 est. |
| 21 | Malawi | 13.22 | July 2011 est. |
| 22 | Mozambique | 13.00 | July 2011 est. |
| 23 | Gabon | 13.00 | July 2011 est. |
| 24 | Namibia | 12.95 | July 2011 est. |
| 25 | Burkina Faso | 12.74 | July 2011 est. |
| 26 | Hungary | 12.68 | July 2011 est. |
| 27 | Zambia | 12.61 | July 2011 est. |
| 28 | Tanzania | 12.09 | July 2011 est. |
| 29 | Croatia | 11.91 | July 2011 est. |
| 30 | Cameroon | 11.83 | July 2011 est. |
| 31 | Romania | 11.81 | July 2011 est. |
| 32 | Sierra Leone | 11.73 | July 2011 est. |
| 33 | Uganda | 11.71 | July 2011 est. |
| 34 | Congo, Republic of the | 11.49 | July 2011 est. |
| 35 | Lithuania | 11.33 | July 2011 est. |
| 36 | Congo, Democratic Republic of the | 11.06 | July 2011 est. |
| 37 | Ethiopia | 11.04 | July 2011 est. |
| 38 | Sudan | 11.00 | July 2011 est. |
| 39 | Germany | 10.92 | July 2011 est. |
| 40 | Slovenia | 10.87 | July 2011 est. |
| 41 | Czech Republic | 10.86 | July 2011 est. |
| 42 | Portugal | 10.80 | July 2011 est. |
| 43 | Moldova | 10.74 | July 2011 est. |
| 44 | Greece | 10.70 | July 2011 est. |
| 45 | Liberia | 10.62 | July 2011 est. |
| 46 | Belgium | 10.57 | July 2011 est. |
| 47 | Botswana | 10.57 | July 2011 est. |
| 48 | Guinea | 10.45 | July 2011 est. |
| 49 | Finland | 10.24 | July 2011 est. |
| 50 | Sweden | 10.20 | July 2011 est. |
| 51 | Denmark | 10.19 | July 2011 est. |
| 52 | Poland | 10.17 | July 2011 est. |
| 53 | Cote d'Ivoire | 10.16 | July 2011 est. |
| 54 | Austria | 10.14 | July 2011 est. |
| 55 | Japan | 10.09 | July 2011 est. |
| 56 | Georgia | 9.92 | July 2011 est. |
| 57 | Isle of Man | 9.92 | July 2011 est. |
| 58 | Rwanda | 9.88 | July 2011 est. |
| 59 | Italy | 9.84 | July 2011 est. |
| 60 | Burundi | 9.61 | July 2011 est. |
| 61 | Slovakia | 9.60 | July 2011 est. |
| 62 | Uruguay | 9.58 | July 2011 est. |
| 63 | Kazakhstan | 9.38 | July 2011 est. |
| 64 | United Kingdom | 9.33 | July 2011 est. |
| 65 | Senegal | 9.26 | July 2011 est. |
| 66 | Norway | 9.24 | July 2011 est. |
| 67 | Tuvalu | 9.20 | July 2011 est. |
| 68 | Korea, North | 9.08 | July 2011 est. |
| 69 | Equatorial Guinea | 9.03 | July 2011 est. |
| 70 | Benin | 9.00 | July 2011 est. |
| 71 | Western Sahara | 8.96 | July 2011 est. |
| 72 | Kenya | 8.93 | July 2011 est. |
| 73 | Macedonia | 8.91 | July 2011 est. |
