CIA - The World Factbook --  DEATH RATE

Death rate compares the average annual number of deaths during a year per 1,000 population at midyear; also known as crude death rate.

| Rank | Country | (DEATHS/1,000 POPULATION) | Date of Information |
| --- | --- | --- | --- |
| 1 | Lesotho | 14.90 | 2016 est. |
| 2 | Bulgaria | 14.50 | 2016 est. |
| 3 | Lithuania | 14.50 | 2016 est. |
| 4 | Ukraine | 14.40 | 2016 est. |
| 5 | Latvia | 14.40 | 2016 est. |
| 6 | Guinea-Bissau | 14.10 | 2016 est. |
| 7 | Chad | 14.00 | 2016 est. |
| 8 | Afghanistan | 13.70 | 2016 est. |
| 9 | Serbia | 13.60 | 2016 est. |
| 10 | Russia | 13.60 | 2016 est. |
| 11 | Central African Republic | 13.50 | 2016 est. |
| 12 | Swaziland | 13.40 | 2016 est. |
| 13 | Botswana | 13.30 | 2016 est. |
| 14 | Belarus | 13.30 | 2016 est. |
| 15 | Somalia | 13.30 | 2016 est. |
| 16 | Gabon | 13.10 | 2016 est. |
| 17 | Hungary | 12.80 | 2016 est. |
| 18 | Nigeria | 12.70 | 2016 est. |
| 19 | Moldova | 12.60 | 2016 est. |
| 20 | Mali | 12.60 | 2016 est. |
| 21 | Estonia | 12.50 | 2016 est. |
| 22 | Zambia | 12.40 | 2016 est. |
| 23 | Niger | 12.10 | 2016 est. |
| 24 | Croatia | 12.10 | 2016 est. |
| 25 | Mozambique | 11.90 | 2016 est. |
| 26 | Romania | 11.90 | 2016 est. |
| 27 | Germany | 11.60 | 2016 est. |
| 28 | Burkina Faso | 11.50 | 2016 est. |
| 29 | Slovenia | 11.50 | 2016 est. |
| 30 | Angola | 11.30 | 2016 est. |
| 31 | Greece | 11.20 | 2016 est. |
| 32 | Portugal | 11.10 | 2016 est. |
| 33 | Georgia | 10.90 | 2016 est. |
| 34 | Sierra Leone | 10.60 | 2016 est. |
| 35 | Czechia | 10.40 | 2016 est. |
| 36 | Uganda | 10.40 | 2016 est. |
| 37 | Denmark | 10.30 | 2016 est. |
| 38 | Italy | 10.30 | 2016 est. |
| 39 | Poland | 10.30 | 2016 est. |
| 40 | Isle of Man | 10.10 | 2016 est. |
| 41 | Congo, Democratic Republic of the | 9.90 | 2016 est. |
| 42 | Finland | 9.90 | 2016 est. |
| 43 | Zimbabwe | 9.90 | 2016 est. |
| 44 | Bosnia and Herzegovina | 9.90 | 2016 est. |
| 45 | Saint Pierre and Miquelon | 9.80 | 2016 est. |
| 46 | Cameroon | 9.80 | 2016 est. |
| 47 | Slovakia | 9.80 | 2016 est. |
| 48 | Belgium | 9.70 | 2016 est. |
| 49 | Congo, Republic of the | 9.70 | 2016 est. |
| 50 | Monaco | 9.60 | 2016 est. |
| 51 | South Africa | 9.60 | 2016 est. |
| 52 | Japan | 9.60 | 2016 est. |
| 53 | Montenegro | 9.60 | 2016 est. |
| 54 | Liberia | 9.50 | 2016 est. |
| 55 | Cote d'Ivoire | 9.50 | 2016 est. |
| 56 | Austria | 9.50 | 2016 est. |
| 57 | Armenia | 9.40 | 2016 est. |
| 58 | Uruguay | 9.40 | 2016 est. |
| 59 | United Kingdom | 9.40 | 2016 est. |
| 60 | Sweden | 9.40 | 2016 est. |
| 61 | France | 9.30 | 2016 est. |
| 62 | Korea, North | 9.30 | 2016 est. |
| 63 | Guinea | 9.20 | 2016 est. |
| 64 | Malta | 9.20 | 2016 est. |
| 65 | Spain | 9.10 | 2016 est. |
| 66 | Macedonia | 9.10 | 2016 est. |
| 67 | Burundi | 9.00 | 2016 est. |
| 68 | Virgin Islands | 8.90 | 2016 est. |
| 69 | Guernsey | 8.90 | 2016 est. |
| 70 | Rwanda | 8.80 | 2016 est. |
| 71 | Netherlands | 8.80 | 2016 est. |
| 72 | Puerto Rico | 8.80 | 2016 est. |
| 73 | Faroe Islands | 8.70 | 2016 est. |
| 74 | Trinidad and Tobago | 8.70 | 2016 est. |
| 75 | Cuba | 8.60 | 2016 est. |
| 76 | San Marino | 8.60 | 2016 est. |
| 77 | Tuvalu | 8.60 | 2016 est. |
| 78 | Greenland | 8.60 | 2016 est. |
| 79 | Barbados | 8.50 | 2016 est. |
| 80 | Canada | 8.50 | 2016 est. |
| 81 | Bermuda | 8.40 | 2016 est. |
| 82 | Gibraltar | 8.40 | 2016 est. |
| 83 | Senegal | 8.30 | 2016 est. |
| 84 | Cook Islands | 8.30 | 2016 est. |
| 85 | Curacao | 8.30 | 2016 est. |
| 86 | Aruba | 8.30 | 2016 est. |
| 87 | Switzerland | 8.20 | 2016 est. |
| 88 | Western Sahara | 8.20 | 2016 est. |
| 89 | Kazakhstan | 8.20 | 2016 est. |
| 90 | United States | 8.20 | 2016 est. |
| 91 | Norway | 8.10 | 2016 est. |
| 92 | Mauritania | 8.10 | 2016 est. |
| 93 | Grenada | 8.10 | 2016 est. |
| 94 | Malawi | 8.10 | 2016 est. |
| 95 | Namibia | 8.10 | 2016 est. |
| 96 | Equatorial Guinea | 8.00 | 2016 est. |
| 97 | Benin | 8.00 | 2016 est. |
| 98 | South Sudan | 8.00 | 2016 est. |
| 99 | Palau | 8.00 | 2016 est. |
