CIA - The World Factbook --  Death rate   

Death rate compares the average annual number of deaths during a year per 1,000 population at midyear; also known as crude death rate.

| Rank | country | (deaths/1,000 population) | Date of Information |
| 125 | Kiribati | 7.18 | 2014 est. |
| 126 | Iceland | 7.13 | 2014 est. |
| 127 | Saint Vincent and the Grenadines | 7.12 | 2014 est. |
| 128 | Azerbaijan | 7.09 | 2014 est. |
| 129 | Saint Kitts and Nevis | 7.08 | 2014 est. |
| 130 | Australia | 7.07 | 2014 est. |
| 131 | Liechtenstein | 7.02 | 2014 est. |
| 132 | Kenya | 7.00 | 2014 est. |
| 133 | Bahamas, The | 7.00 | 2014 est. |
| 134 | Taiwan | 6.97 | 2014 est. |
| 135 | Madagascar | 6.95 | 2014 est. |
| 136 | Hong Kong | 6.93 | 2014 est. |
| 137 | Seychelles | 6.90 | 2014 est. |
| 138 | Mauritius | 6.85 | 2014 est. |
| 139 | Andorra | 6.82 | 2014 est. |
| 140 | Bhutan | 6.78 | 2014 est. |
| 141 | Kyrgyzstan | 6.74 | 2014 est. |
| 142 | Jamaica | 6.67 | 2014 est. |
| 143 | Korea, South | 6.63 | 2014 est. |
| 144 | Nepal | 6.62 | 2014 est. |
| 145 | Bolivia | 6.59 | 2014 est. |
| 146 | Pakistan | 6.58 | 2014 est. |
| 147 | Cyprus | 6.57 | 2014 est. |
| 148 | Brazil | 6.54 | 2014 est. |
| 149 | Papua New Guinea | 6.53 | 2014 est. |
| 150 | Montserrat | 6.52 | 2014 est. |
| 151 | Syria | 6.51 | 2014 est. |
| 152 | Albania | 6.47 | 2014 est. |
| 153 | Yemen | 6.45 | 2014 est. |
| 154 | Ireland | 6.45 | 2014 est. |
| 155 | Mongolia | 6.38 | 2014 est. |
| 156 | Indonesia | 6.34 | 2014 est. |
| 157 | Tajikistan | 6.28 | 2014 est. |
| 158 | Timor-Leste | 6.18 | 2014 est. |
| 159 | Cabo Verde | 6.17 | 2014 est. |
| 160 | Turkmenistan | 6.16 | 2014 est. |
| 161 | Suriname | 6.13 | 2014 est. |
| 162 | Turkey | 6.12 | 2014 est. |
| 163 | Sri Lanka | 6.06 | 2014 est. |
| 164 | Fiji | 6.00 | 2014 est. |
| 165 | Peru | 5.99 | 2014 est. |
| 166 | Belize | 5.95 | 2014 est. |
| 167 | Tunisia | 5.94 | 2014 est. |
| 168 | Iran | 5.94 | 2014 est. |
| 169 | Chile | 5.93 | 2014 est. |
| 170 | Vietnam | 5.93 | 2014 est. |
| 171 | Nauru | 5.90 | 2014 est. |
| 172 | Antigua and Barbuda | 5.70 | 2014 est. |
| 173 | El Salvador | 5.67 | 2014 est. |
| 174 | Bangladesh | 5.64 | 2014 est. |
| 175 | Israel | 5.54 | 2014 est. |
| 176 | New Caledonia | 5.45 | 2014 est. |
| 177 | Cayman Islands | 5.41 | 2014 est. |
| 178 | Colombia | 5.36 | 2014 est. |
| 179 | Samoa | 5.32 | 2014 est. |
| 180 | Uzbekistan | 5.29 | 2014 est. |
| 181 | Venezuela | 5.27 | 2014 est. |
| 182 | Mexico | 5.24 | 2014 est. |
| 183 | Honduras | 5.13 | 2014 est. |
| 184 | Nicaragua | 5.07 | 2014 est. |
| 185 | Ecuador | 5.04 | 2014 est. |
| 186 | Guam | 5.04 | 2014 est. |
| 187 | Malaysia | 5.00 | 2014 est. |
| 188 | Wallis and Futuna | 4.95 | 2014 est. |
| 189 | Lebanon | 4.95 | 2014 est. |
| 190 | French Polynesia | 4.93 | 2014 est. |
| 191 | British Virgin Islands | 4.93 | 2014 est. |
| 192 | Philippines | 4.92 | 2014 est. |
| 193 | Tonga | 4.86 | 2014 est. |
| 194 | Guatemala | 4.82 | 2014 est. |
| 195 | Morocco | 4.79 | 2014 est. |
| 196 | Egypt | 4.77 | 2014 est. |
| 197 | Panama | 4.77 | 2014 est. |
| 198 | American Samoa | 4.68 | 2014 est. |
| 199 | Paraguay | 4.64 | 2014 est. |
| 200 | Iraq | 4.57 | 2014 est. |
| 201 | Anguilla | 4.54 | 2014 est. |
| 202 | Sint Maarten | 4.51 | 2013 est. |
| 203 | Dominican Republic | 4.50 | 2014 est. |
| 204 | Costa Rica | 4.49 | 2014 est. |
| 205 | Algeria | 4.31 | 2014 est. |
| 206 | Micronesia, Federated States of | 4.25 | 2014 est. |
| 207 | Marshall Islands | 4.24 | 2014 est. |
| 208 | Vanuatu | 4.14 | 2014 est. |
| 209 | Macau | 4.10 | 2014 est. |
| 210 | Solomon Islands | 3.86 | 2014 est. |
| 211 | Maldives | 3.84 | 2014 est. |
| 212 | Jordan | 3.80 | 2014 est. |
| 213 | Northern Mariana Islands | 3.61 | 2014 est. |
| 214 | Libya | 3.57 | 2014 est. |
| 215 | West Bank | 3.51 | 2014 est. |
| 216 | Brunei | 3.47 | 2014 est. |
| 217 | Singapore | 3.42 | 2014 est. |
| 218 | Oman | 3.38 | 2014 est. |
| 219 | Saudi Arabia | 3.32 | 2014 est. |
| 220 | Gaza Strip | 3.09 | 2014 est. |
| 221 | Turks and Caicos Islands | 3.08 | 2014 est. |
| 222 | Bahrain | 2.67 | 2014 est. |
| 223 | Kuwait | 2.16 | 2014 est. |
| 224 | United Arab Emirates | 1.99 | 2014 est. |
| 225 | Qatar | 1.53 | 2014 est. |


