CIA - The World Factbook --  Death rate   

This entry gives the average annual number of deaths during a year per 1,000 population at midyear; also known as crude death rate. The death rate, while only a rough indicator of the mortality situation in a country, accurately indicates the current mortality impact on population growth. This indicator is significantly affected by age distribution, and most countries will eventually show a rise in the overall death rate, in spite of continued decline in mortality at all ages, as declining fertility results in an aging population.

| Rank | country | (deaths/1,000 population) | Date of Information |
| 121 | Argentina | 7.35 | 2013 est. |
| 122 | China | 7.31 | 2013 est. |
| 123 | New Zealand | 7.25 | 2013 est. |
| 124 | Kiribati | 7.24 | 2013 est. |
| 125 | Saint Helena, Ascension, and Tristan da Cunha | 7.22 | 2013 est. |
| 126 | Saint Lucia | 7.21 | 2013 est. |
| 127 | Guyana | 7.18 | 2013 est. |
| 128 | Kenya | 7.12 | 2013 est. |
| 129 | Azerbaijan | 7.11 | 2013 est. |
| 130 | Madagascar | 7.10 | 2013 est. |
| 131 | Iceland | 7.07 | 2013 est. |
| 132 | Saint Kitts and Nevis | 7.06 | 2013 est. |
| 133 | Saint Vincent and the Grenadines | 7.06 | 2013 est. |
| 134 | Australia | 7.01 | 2013 est. |
| 135 | Bahamas, The | 6.96 | 2013 est. |
| 136 | Seychelles | 6.89 | 2013 est. |
| 137 | Liechtenstein | 6.89 | 2013 est. |
| 138 | Bhutan | 6.88 | 2013 est. |
| 139 | Kyrgyzstan | 6.83 | 2013 est. |
| 140 | Taiwan | 6.83 | 2013 est. |
| 141 | Mauritius | 6.79 | 2013 est. |
| 142 | Lebanon | 6.73 | 2013 est. |
| 143 | Pakistan | 6.69 | 2013 est. |
| 144 | Nepal | 6.68 | 2013 est. |
| 145 | Bolivia | 6.67 | 2013 est. |
| 146 | Andorra | 6.67 | 2013 est. |
| 147 | Yemen | 6.64 | 2013 est. |
| 148 | Jamaica | 6.63 | 2013 est. |
| 149 | Montserrat | 6.55 | 2013 est. |
| 150 | Papua New Guinea | 6.54 | 2013 est. |
| 151 | Cyprus | 6.52 | 2013 est. |
| 152 | Brazil | 6.51 | 2013 est. |
| 153 | Korea, South | 6.50 | 2013 est. |
| 154 | Ireland | 6.41 | 2013 est. |
| 155 | Tajikistan | 6.38 | 2013 est. |
| 156 | Albania | 6.36 | 2013 est. |
| 157 | Indonesia | 6.31 | 2013 est. |
| 158 | Timor-Leste | 6.28 | 2013 est. |
| 159 | Cabo Verde | 6.22 | 2013 est. |
| 160 | Turkmenistan | 6.18 | 2013 est. |
| 161 | Suriname | 6.15 | 2013 est. |
| 162 | Turkey | 6.11 | 2013 est. |
| 163 | Sri Lanka | 6.01 | 2013 est. |
| 164 | Mongolia | 5.98 | 2013 est. |
| 165 | Peru | 5.97 | 2013 est. |
| 166 | Fiji | 5.96 | 2013 est. |
| 167 | Iran | 5.94 | 2013 est. |
| 168 | Vietnam | 5.94 | 2013 est. |
| 169 | Nauru | 5.94 | 2013 est. |
| 170 | Belize | 5.93 | 2013 est. |
| 171 | Tunisia | 5.90 | 2013 est. |
| 172 | Chile | 5.86 | 2013 est. |
| 173 | Antigua and Barbuda | 5.70 | 2013 est. |
| 174 | Bangladesh | 5.67 | 2013 est. |
| 175 | El Salvador | 5.65 | 2013 est. |
| 176 | Israel | 5.52 | 2013 est. |
| 177 | New Caledonia | 5.39 | 2013 est. |
| 178 | Colombia | 5.33 | 2013 est. |
| 179 | Samoa | 5.33 | 2013 est. |
| 180 | Cayman Islands | 5.30 | 2013 est. |
| 181 | Uzbekistan | 5.29 | 2013 est. |
| 182 | Venezuela | 5.23 | 2013 est. |
| 183 | Honduras | 5.09 | 2013 est. |
| 184 | Nicaragua | 5.06 | 2013 est. |
| 185 | Ecuador | 5.03 | 2013 est. |
| 186 | Malaysia | 4.97 | 2013 est. |
| 187 | Guam | 4.95 | 2013 est. |
| 188 | Philippines | 4.95 | 2013 est. |
| 189 | Mexico | 4.94 | 2013 est. |
| 190 | British Virgin Islands | 4.89 | 2013 est. |
| 191 | Guatemala | 4.87 | 2013 est. |
| 192 | Tonga | 4.87 | 2013 est. |
| 193 | French Polynesia | 4.85 | 2013 est. |
| 194 | Wallis and Futuna | 4.84 | 2013 est. |
| 195 | Egypt | 4.79 | 2013 est. |
| 196 | Morocco | 4.78 | 2013 est. |
| 197 | Panama | 4.73 | 2013 est. |
| 198 | Iraq | 4.65 | 2013 est. |
| 199 | American Samoa | 4.62 | 2013 est. |
| 200 | Paraguay | 4.61 | 2013 est. |
| 201 | Sint Maarten | 4.51 | 2013 est. |
| 202 | Dominican Republic | 4.46 | 2013 est. |
| 203 | Costa Rica | 4.44 | 2013 est. |
| 204 | Anguilla | 4.44 | 2013 est. |
| 205 | Algeria | 4.31 | 2013 est. |
| 206 | Micronesia, Federated States of | 4.27 | 2013 est. |
| 207 | Marshall Islands | 4.27 | 2013 est. |
| 208 | Vanuatu | 4.20 | 2013 est. |
| 209 | Macau | 3.97 | 2013 est. |
| 210 | Solomon Islands | 3.88 | 2013 est. |
| 211 | Maldives | 3.80 | 2013 est. |
| 212 | Syria | 3.67 | 2013 est. |
| 213 | Libya | 3.56 | 2013 est. |
| 214 | West Bank | 3.53 | 2013 est. |
| 215 | Northern Mariana Islands | 3.52 | 2013 est. |
| 216 | Brunei | 3.43 | 2013 est. |
| 217 | Singapore | 3.41 | 2013 est. |
| 218 | Oman | 3.40 | 2013 est. |
| 219 | Saudi Arabia | 3.32 | 2013 est. |
| 220 | Gaza Strip | 3.15 | 2013 est. |
| 221 | Turks and Caicos Islands | 3.06 | 2013 est. |
| 222 | Jordan | 2.80 | 2013 est. |
| 223 | Bahrain | 2.65 | 2013 est. |
| 224 | Kuwait | 2.14 | 2013 est. |
| 225 | United Arab Emirates | 2.01 | 2013 est. |
| 226 | Qatar | 1.54 | 2013 est. |


