CIA - The World Factbook --  Death rate   

This entry gives the average annual number of deaths during a year per 1,000 population at midyear; also known as crude death rate. The death rate, while only a rough indicator of the mortality situation in a country, accurately indicates the current mortality impact on population growth. This indicator is significantly affected by age distribution, and most countries will eventually show a rise in the overall death rate, in spite of continued decline in mortality at all ages, as declining fertility results in an aging population.

| Rank | country | (deaths/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Angola | 23.74 | July 2010 est. |
| 2 | Mozambique | 19.83 | July 2010 est. |
| 3 | Afghanistan | 17.65 | July 2010 est. |
| 4 | South Africa | 16.99 | July 2010 est. |
| 5 | Nigeria | 16.31 | July 2010 est. |
| 6 | Russia | 16.04 | July 2010 est. |
| 7 | Chad | 15.79 | July 2010 est. |
| 8 | Lesotho | 15.71 | July 2010 est. |
| 9 | Ukraine | 15.70 | July 2010 est. |
| 10 | Guinea-Bissau | 15.52 | July 2010 est. |
| 11 | Central African Republic | 15.30 | July 2010 est. |
| 12 | Somalia | 15.24 | July 2010 est. |
| 13 | Swaziland | 14.99 | July 2010 est. |
| 14 | Zimbabwe | 14.90 | July 2010 est. |
| 15 | Mali | 14.64 | July 2010 est. |
| 16 | Niger | 14.47 | July 2010 est. |
| 17 | Bulgaria | 14.31 | July 2010 est. |
| 18 | Serbia | 13.89 | July 2010 est. |
| 19 | Belarus | 13.81 | July 2010 est. |
| 20 | Malawi | 13.69 | July 2010 est. |
| 21 | Latvia | 13.60 | July 2010 est. |
| 22 | Estonia | 13.48 | July 2010 est. |
| 23 | Burkina Faso | 13.02 | July 2010 est. |
| 24 | Namibia | 12.97 | July 2010 est. |
| 25 | Gabon | 12.90 | July 2010 est. |
| 26 | Zambia | 12.84 | July 2010 est. |
| 27 | Hungary | 12.67 | July 2010 est. |
| 28 | Tanzania | 12.31 | July 2010 est. |
| 29 | Gambia, The | 12.03 | July 2010 est. |
| 30 | Cameroon | 12.01 | July 2010 est. |
| 31 | Sierra Leone | 11.97 | July 2010 est. |
| 32 | Uganda | 11.90 | July 2010 est. |
| 33 | Croatia | 11.83 | July 2010 est. |
| 34 | Romania | 11.78 | July 2010 est. |
| 35 | Congo, Republic of the | 11.75 | July 2010 est. |
| 36 | Sudan | 11.66 | July 2010 est. |
| 37 | Congo, Democratic Republic of the | 11.39 | July 2010 est. |
| 38 | Ethiopia | 11.29 | July 2010 est. |
| 39 | Lithuania | 11.25 | July 2010 est. |
| 40 | Germany | 11.00 | July 2010 est. |
| 41 | Liberia | 10.88 | July 2010 est. |
| 42 | Italy | 10.83 | July 2010 est. |
| 43 | Czech Republic | 10.79 | July 2010 est. |
| 44 | Moldova | 10.76 | July 2010 est. |
| 45 | Portugal | 10.74 | July 2010 est. |
| 46 | Slovenia | 10.74 | July 2010 est. |
| 47 | Guinea | 10.72 | July 2010 est. |
| 48 | Greece | 10.60 | July 2010 est. |
| 49 | Korea, North | 10.60 | July 2010 est. |
| 50 | Belgium | 10.50 | July 2010 est. |
| 51 | Cote d'Ivoire | 10.43 | July 2010 est. |
| 52 | Sweden | 10.20 | July 2010 est. |
| 53 | Denmark | 10.19 | July 2010 est. |
| 54 | Rwanda | 10.19 | July 2010 est. |
| 55 | Finland | 10.15 | July 2010 est. |
| 56 | Poland | 10.10 | July 2010 est. |
| 57 | Austria | 10.05 | July 2010 est. |
| 58 | Burundi | 9.87 | July 2010 est. |
| 59 | Isle of Man | 9.87 | July 2010 est. |
| 60 | Japan | 9.83 | July 2010 est. |
| 61 | Georgia | 9.79 | July 2010 est. |
| 62 | Slovakia | 9.56 | July 2010 est. |
| 63 | Senegal | 9.49 | July 2010 est. |
| 64 | Kazakhstan | 9.39 | July 2010 est. |
| 65 | Tuvalu | 9.36 | July 2010 est. |
| 66 | United Kingdom | 9.33 | July 2010 est. |
| 67 | Equatorial Guinea | 9.26 | July 2010 est. |
| 68 | Kenya | 9.26 | July 2010 est. |
| 69 | Norway | 9.26 | July 2010 est. |
| 70 | Benin | 9.23 | July 2010 est. |
| 71 | Western Sahara | 9.13 | July 2010 est. |
| 72 | Uruguay | 9.06 | July 2010 est. |
| 73 | Botswana | 9.02 | July 2010 est. |
| 74 | Mauritania | 9.00 | July 2010 est. |
| 75 | Ghana | 8.93 | July 2010 est. |
| 76 | Macedonia | 8.87 | July 2010 est. |
| 77 | Netherlands | 8.78 | July 2010 est. |
