CIA - The World Factbook --  Manpower reaching militarily significant age annually   

This entry gives the number of males and females entering the military manpower pool (i.e., reaching age 16) in any given year and is a measure of the availability of military-age young adults.

| Rank | country | Manpower reaching militarily significant age annually | Date of Information |
| --- | --- | --- | --- |
| 1 | India | 12,011,217.00 | 2010 est. |
| 2 | China | 10,699,186.00 | 2010 est. |
| 3 | India | 10,639,158.00 | 2010 est. |
| 4 | China | 9,460,217.00 | 2010 est. |
| 5 | Indonesia | 2,227,993.00 | 2010 est. |
| 6 | United States | 2,174,260.00 | 2010 est. |
| 7 | Indonesia | 2,156,427.00 | 2010 est. |
| 8 | Pakistan | 2,144,574.00 | 2010 est. |
| 9 | United States | 2,065,595.00 | 2010 est. |
| 10 | Pakistan | 2,000,479.00 | 2010 est. |
| 11 | Nigeria | 1,731,734.00 | 2010 est. |
| 12 | Brazil | 1,712,427.00 | 2010 est. |
| 13 | Bangladesh | 1,676,137.00 | 2010 est. |
| 14 | Nigeria | 1,652,632.00 | 2010 est. |
| 15 | Brazil | 1,652,491.00 | 2010 est. |
| 16 | Bangladesh | 1,550,385.00 | 2010 est. |
| 17 | Mexico | 1,108,032.00 | 2010 est. |
| 18 | Mexico | 1,069,885.00 | 2010 est. |
| 19 | Philippines | 1,039,679.00 | 2010 est. |
| 20 | Philippines | 1,001,448.00 | 2010 est. |
| 21 | Ethiopia | 947,103.00 | 2010 est. |
| 22 | Ethiopia | 934,523.00 | 2010 est. |
| 23 | Vietnam | 877,075.00 | 2010 est. |
| 24 | Congo, Democratic Republic of the | 842,020.00 | 2010 est. |
| 25 | Congo, Democratic Republic of the | 839,044.00 | 2010 est. |
| 26 | Vietnam | 816,076.00 | 2010 est. |
| 27 | Egypt | 799,377.00 | 2010 est. |
| 28 | Egypt | 764,602.00 | 2010 est. |
| 29 | Russia | 712,838.00 | 2010 est. |
| 30 | Turkey | 695,326.00 | 2010 est. |
| 31 | Russia | 678,623.00 | 2010 est. |
| 32 | Turkey | 666,026.00 | 2010 est. |
| 33 | Iran | 636,558.00 | 2010 est. |
| 34 | Japan | 626,115.00 | 2010 est. |
| 35 | Iran | 604,658.00 | 2010 est. |
| 36 | Japan | 593,905.00 | 2010 est. |
| 37 | Thailand | 535,884.00 | 2010 est. |
| 38 | Burma | 526,557.00 | 2010 est. |
| 39 | Thailand | 511,444.00 | 2010 est. |
| 40 | Burma | 510,538.00 | 2010 est. |
| 41 | Sudan | 506,742.00 | 2010 est. |
| 42 | Tanzania | 500,941.00 | 2010 est. |
| 43 | Tanzania | 498,815.00 | 2010 est. |
| 44 | South Africa | 496,374.00 | 2010 est. |
| 45 | South Africa | 492,743.00 | 2010 est. |
| 46 | Sudan | 487,434.00 | 2010 est. |
| 47 | Colombia | 432,280.00 | 2010 est. |
| 48 | Germany | 421,227.00 | 2010 est. |
| 49 | Kenya | 417,061.00 | 2010 est. |
| 50 | Colombia | 416,051.00 | 2010 est. |
| 51 | Uganda | 412,640.00 | 2010 est. |
| 52 | Kenya | 412,438.00 | 2010 est. |
| 53 | Uganda | 408,521.00 | 2010 est. |
| 54 | Germany | 398,809.00 | 2010 est. |
| 55 | France | 389,956.00 | 2010 est. |
| 56 | United Kingdom | 386,492.00 | 2010 est. |
| 57 | Afghanistan | 378,996.00 | 2010 est. |
| 58 | Nepal | 374,882.00 | 2010 est. |
| 59 | France | 372,312.00 | 2010 est. |
| 60 | Korea, South | 370,645.00 | 2010 est. |
| 61 | United Kingdom | 369,185.00 | 2010 est. |
| 62 | Algeria | 365,503.00 | 2010 est. |
| 63 | Nepal | 361,848.00 | 2010 est. |
| 64 | Afghanistan | 357,822.00 | 2010 est. |
| 65 | Algeria | 352,009.00 | 2010 est. |
| 66 | Argentina | 340,570.00 | 2010 est. |
| 67 | Argentina | 323,953.00 | 2010 est. |
| 68 | Iraq | 323,328.00 | 2010 est. |
| 69 | Korea, South | 321,765.00 | 2010 est. |
| 70 | Iraq | 313,360.00 | 2010 est. |
| 71 | Peru | 312,375.00 | 2010 est. |
| 72 | Uzbekistan | 306,743.00 | 2010 est. |
| 73 | Peru | 302,452.00 | 2010 est. |
| 74 | Morocco | 300,262.00 | 2010 est. |
| 75 | Uzbekistan | 299,264.00 | 2010 est. |
| 76 | Morocco | 298,227.00 | 2010 est. |
| 77 | Italy | 280,255.00 | 2010 est. |
| 78 | Saudi Arabia | 280,041.00 | 2010 est. |
| 79 | Yemen | 279,283.00 | 2010 est. |
| 80 | Venezuela | 276,612.00 | 2010 est. |
| 81 | Venezuela | 273,819.00 | 2010 est. |
| 82 | Mozambique | 272,922.00 | 2010 est. |
| 83 | Mozambique | 272,062.00 | 2010 est. |
| 84 | Ghana | 270,993.00 | 2010 est. |
| 85 | Yemen | 269,824.00 | 2010 est. |
| 86 | Saudi Arabia | 269,580.00 | 2010 est. |
| 87 | Malaysia | 267,646.00 | 2010 est. |
| 88 | Ghana | 263,961.00 | 2010 est. |
| 89 | Italy | 263,336.00 | 2010 est. |
| 90 | Ukraine | 256,196.00 | 2010 est. |
| 91 | Syria | 253,578.00 | 2010 est. |
| 92 | Malaysia | 253,529.00 | 2010 est. |
| 93 | Ukraine | 244,473.00 | 2010 est. |
| 94 | Madagascar | 242,334.00 | 2010 est. |
| 95 | Syria | 241,777.00 | 2010 est. |
| 96 | Madagascar | 241,359.00 | 2010 est. |
| 97 | Cote d'Ivoire | 240,989.00 | 2010 est. |
| 98 | Cote d'Ivoire | 237,180.00 | 2010 est. |
| 99 | Poland | 235,248.00 | 2010 est. |
| 100 | Poland | 224,801.00 | 2010 est. |
| 101 | Canada | 220,538.00 | 2010 est. |
| 102 | Cameroon | 213,538.00 | 2010 est. |
| 103 | Cameroon | 209,549.00 | 2010 est. |
| 104 | Canada | 208,033.00 | 2010 est. |
| 105 | Spain | 193,038.00 | 2010 est. |
| 106 | Burkina Faso | 188,394.00 | 2010 est. |
| 107 | Burkina Faso | 185,975.00 | 2010 est. |
| 108 | Korea, North | 184,631.00 | 2010 est. |
| 109 | Spain | 181,703.00 | 2010 est. |
| 110 | Korea, North | 178,565.00 | 2010 est. |
| 111 | Niger | 177,985.00 | 2010 est. |
| 112 | Malawi | 177,376.00 | 2010 est. |
| 113 | Malawi | 176,905.00 | 2010 est. |
