CIA - The World Factbook --  Manpower reaching militarily significant age annually   

| Rank | country | Manpower reaching militarily significant age annually | Date of Information |
| 175 | Cuba | 72,823.00 | 2010 est. |
| 176 | Paraguay | 71,801.00 | 2010 est. |
| 177 | El Salvador | 71,530.00 | 2010 est. |
| 178 | Laos | 71,400.00 | 2010 est. |
| 179 | Azerbaijan | 71,024.00 | 2010 est. |
| 180 | Jordan | 69,420.00 | 2010 est. |
| 181 | Cuba | 69,108.00 | 2010 est. |
| 182 | Nicaragua | 69,093.00 | 2010 est. |
| 183 | El Salvador | 68,971.00 | 2010 est. |
| 184 | Papua New Guinea | 67,781.00 | 2010 est. |
| 185 | Nicaragua | 67,522.00 | 2010 est. |
| 186 | Eritrea | 66,829.00 | 2010 est. |
| 187 | Eritrea | 66,731.00 | 2010 est. |
| 188 | Papua New Guinea | 65,820.00 | 2010 est. |
| 189 | Israel | 62,304.00 | 2010 est. |
| 190 | Portugal | 62,208.00 | 2010 est. |
| 191 | Belgium | 59,665.00 | 2010 est. |
| 192 | Libya | 59,547.00 | 2010 est. |
| 193 | Israel | 59,418.00 | 2010 est. |
| 194 | Hungary | 59,237.00 | 2010 est. |
| 195 | Sierra Leone | 57,154.00 | 2010 est. |
| 196 | Belgium | 57,142.00 | 2010 est. |
| 197 | Libya | 57,070.00 | 2010 est. |
| 198 | Kyrgyzstan | 56,606.00 | 2010 est. |
| 199 | Hungary | 55,533.00 | 2010 est. |
| 200 | Sweden | 54,960.00 | 2010 est. |
| 201 | Central African Republic | 54,843.00 | 2010 est. |
| 202 | Portugal | 54,786.00 | 2010 est. |
| 203 | Sierra Leone | 54,212.00 | 2010 est. |
| 204 | Kyrgyzstan | 54,056.00 | 2010 est. |
| 205 | Central African Republic | 53,999.00 | 2010 est. |
| 206 | Turkmenistan | 53,829.00 | 2010 est. |
| 207 | Turkmenistan | 52,988.00 | 2010 est. |
| 208 | Greece | 52,754.00 | 2010 est. |
| 209 | Sweden | 52,275.00 | 2010 est. |
| 210 | Belarus | 51,855.00 | 2010 est. |
| 211 | Congo, Republic of the | 50,000.00 | 2010 est. |
| 212 | Czech Republic | 49,999.00 | 2010 est. |
| 213 | Congo, Republic of the | 49,641.00 | 2010 est. |
| 214 | Greece | 49,485.00 | 2010 est. |
| 215 | Belarus | 48,760.00 | 2010 est. |
| 216 | Austria | 48,108.00 | 2010 est. |
| 217 | Czech Republic | 47,501.00 | 2010 est. |
| 218 | Switzerland | 46,562.00 | 2010 est. |
| 219 | Austria | 45,752.00 | 2010 est. |
| 220 | Serbia | 43,945.00 | 2010 est. |
| 221 | Switzerland | 42,585.00 | 2010 est. |
| 222 | Costa Rica | 42,201.00 | 2010 est. |
| 223 | Serbia | 41,080.00 | 2010 est. |
| 224 | Costa Rica | 40,444.00 | 2010 est. |
| 225 | Hong Kong | 39,579.00 | 2010 est. |
| 226 | Liberia | 38,516.00 | 2010 est. |
| 227 | Denmark | 37,913.00 | 2010 est. |
