CIA - The World Factbook --  Electricity - exports   

This entry is the total exported electricity in kilowatt-hours.

| Rank | country | (kWh) | Date of Information |
| 110 | West Bank | 0.00 | 2008 |
| 111 | Wallis and Futuna | 0.00 | 2002 |
| 112 | Virgin Islands | 0.00 | 2008 est. |
| 113 | Vanuatu | 0.00 | 2008 est. |
| 114 | United Arab Emirates | 0.00 | 2008 est. |
| 115 | Turks and Caicos Islands | 0.00 | 2008 est. |
| 116 | Trinidad and Tobago | 0.00 | 2008 est. |
| 117 | Tonga | 0.00 | 2008 |
| 118 | Togo | 0.00 | 2008 est. |
| 119 | Timor-Leste | 0.00 | 2009 est. |
| 120 | Tanzania | 0.00 | 2008 est. |
| 121 | Syria | 0.00 | 2008 est. |
| 122 | Swaziland | 0.00 | 2008 |
| 123 | Suriname | 0.00 | 2008 est. |
| 124 | Sudan | 0.00 | 2008 est. |
| 125 | Sri Lanka | 0.00 | 2008 est. |
| 126 | Somalia | 0.00 | 2008 est. |
| 127 | Solomon Islands | 0.00 | 2008 est. |
| 128 | Singapore | 0.00 | 2008 est. |
| 129 | Sierra Leone | 0.00 | 2008 est. |
| 130 | Seychelles | 0.00 | 2008 est. |
| 131 | Senegal | 0.00 | 2008 est. |
| 132 | Saudi Arabia | 0.00 | 2008 est. |
| 133 | Sao Tome and Principe | 0.00 | 2008 |
| 134 | Samoa | 0.00 | 2008 est. |
| 135 | Saint Vincent and the Grenadines | 0.00 | 2008 est. |
| 136 | Saint Pierre and Miquelon | 0.00 | 2008 est. |
| 137 | Saint Lucia | 0.00 | 2008 est. |
| 138 | Saint Kitts and Nevis | 0.00 | 2008 est. |
| 139 | Saint Helena, Ascension, and Tristan da Cunha | 0.00 | 2008 est. |
| 140 | Qatar | 0.00 | 2008 est. |
| 141 | Puerto Rico | 0.00 | 2008 est. |
| 142 | Philippines | 0.00 | 2008 est. |
| 143 | Peru | 0.00 | 2008 est. |
| 144 | Papua New Guinea | 0.00 | 2008 est. |
| 145 | Pakistan | 0.00 | 2008 est. |
| 146 | Oman | 0.00 | 2008 est. |
| 147 | Northern Mariana Islands | 0.00 | January 2009 est. |
| 148 | Niue | 0.00 | 2008 est. |
| 149 | Nigeria | 0.00 | 2008 est. |
| 150 | Niger | 0.00 | 2008 est. |
| 151 | Macau | 0.00 | 2009 est. |
| 152 | Liberia | 0.00 | 2008 est. |
| 153 | Lesotho | 0.00 | 2008 est. |
| 154 | Lebanon | 0.00 | 2009 est. |
| 155 | Kuwait | 0.00 | 2008 est. |
| 156 | Korea, South | 0.00 | 2009 |
| 157 | Korea, North | 0.00 | 2008 est. |
| 158 | Kiribati | 0.00 | 2008 est. |
| 159 | Micronesia, Federated States of | 0.00 | 2002 |
| 160 | Mauritius | 0.00 | 2008 est. |
| 161 | Mauritania | 0.00 | 2008 est. |
| 162 | Malta | 0.00 | 2009 est. |
| 163 | Mali | 0.00 | 2008 est. |
| 164 | Maldives | 0.00 | 2009 est. |
| 165 | Malawi | 0.00 | 2008 est. |
| 166 | Madagascar | 0.00 | 2008 est. |
| 167 | Japan | 0.00 | 2008 est. |
| 168 | Jamaica | 0.00 | 2008 est. |
| 169 | Iraq | 0.00 | 2009 est. |
| 170 | Indonesia | 0.00 | 2008 est. |
| 171 | Iceland | 0.00 | 2008 est. |
| 172 | Honduras | 0.00 | 2008 est. |
| 173 | Haiti | 0.00 | 2008 est. |
| 174 | Guyana | 0.00 | 2008 est. |
| 175 | Guinea-Bissau | 0.00 | 2008 est. |
| 176 | Guinea | 0.00 | 2008 est. |
| 177 | Guernsey | 0.00 | 2002 |
| 178 | Grenada | 0.00 | 2008 est. |
| 179 | Greenland | 0.00 | 2008 |
| 180 | Gibraltar | 0.00 | 2008 est. |
| 181 | Gaza Strip | 0.00 | 2008 est. |
| 182 | Gambia, The | 0.00 | 2008 est. |
| 183 | Gabon | 0.00 | 2008 est. |
| 184 | French Polynesia | 0.00 | 2008 est. |
| 185 | Fiji | 0.00 | 2008 est. |
| 186 | Faroe Islands | 0.00 | 2008 |
| 187 | Falkland Islands (Islas Malvinas) | 0.00 | 2008 est. |
| 188 | Ethiopia | 0.00 | 2008 est. |
| 189 | Eritrea | 0.00 | 2008 est. |
| 190 | Equatorial Guinea | 0.00 | 2008 est. |
| 191 | Burkina Faso | 0.00 | 2008 est. |
| 192 | Brunei | 0.00 | 2008 est. |
| 193 | British Virgin Islands | 0.00 | 2008 est. |
| 194 | Botswana | 0.00 | 2008 est. |
| 195 | Bolivia | 0.00 | 2008 est. |
| 196 | Bermuda | 0.00 | 2008 est. |
| 197 | Benin | 0.00 | 2008 est. |
| 198 | Belize | 0.00 | 2008 est. |
| 199 | Chile | 0.00 | 2008 est. |
| 200 | Chad | 0.00 | 2008 est. |
| 201 | Central African Republic | 0.00 | 2008 est. |
| 202 | Cayman Islands | 0.00 | 2008 est. |
| 203 | Cape Verde | 0.00 | 2008 est. |
| 204 | Cameroon | 0.00 | 2008 est. |
| 205 | Cambodia | 0.00 | 2008 est. |
| 206 | Burundi | 0.00 | 2008 est. |
| 207 | Bangladesh | 0.00 | 2008 est. |
| 208 | Bahamas, The | 0.00 | 2008 est. |
| 209 | Australia | 0.00 | 2008 est. |
| 210 | Aruba | 0.00 | 2008 est. |
| 211 | Antigua and Barbuda | 0.00 | 2008 est. |
| 212 | Angola | 0.00 | 2008 est. |
| 213 | Albania | 0.00 | 2008 est. |
