CIA - The World Factbook --  Sanitation facility access   

This entry provides information about access to improved or unimproved sanitation facilities available to segments of the population of a country. improved sanitation - use of any of the following facilities: flush or pour-flush to a piped sewer system, septic tank or pit latrine; ventilated improved pit (VIP) latrine; pit latrine with slab; or a composting toilet. unimproved sanitation - use of any of the following facilities: flush or pour-flush not piped to a sewer system, septic tank or pit latrine; pit latrine without a slab or open pit; bucket; hanging toilet or hanging latrine; shared facilities of any type; no facilities; or bush or field.

| Rank | country | (% of population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Kuwait | 100.00 | 2010 est. |
| 2 | Kuwait | 100.00 | 2010 est. |
| 3 | Kuwait | 100.00 | 2010 est. |
| 4 | Lebanon | 100.00 | 2000 est. |
| 5 | Slovakia | 100.00 | 2010 est. |
| 6 | Slovakia | 100.00 | 2010 est. |
| 7 | Luxembourg | 100.00 | 2010 est. |
| 8 | Luxembourg | 100.00 | 2010 est. |
| 9 | Luxembourg | 100.00 | 2010 est. |
| 10 | Monaco | 100.00 | 2010 est. |
| 11 | Monaco | 100.00 | 2010 est. |
| 12 | Malta | 100.00 | 2010 est. |
| 13 | Malta | 100.00 | 2010 est. |
| 14 | Malta | 100.00 | 2010 est. |
| 15 | Oman | 100.00 | 2010 est. |
| 16 | Niue | 100.00 | 2010 est. |
| 17 | Niue | 100.00 | 2010 est. |
| 18 | Niue | 100.00 | 2010 est. |
| 19 | Netherlands | 100.00 | 2010 est. |
| 20 | Netherlands | 100.00 | 2010 est. |
| 21 | Netherlands | 100.00 | 2010 est. |
| 22 | Norway | 100.00 | 2010 est. |
| 23 | Norway | 100.00 | 2010 est. |
| 24 | Norway | 100.00 | 2010 est. |
| 25 | Portugal | 100.00 | 2010 est. |
| 26 | Portugal | 100.00 | 2010 est. |
| 27 | Portugal | 100.00 | 2010 est. |
| 28 | Palau | 100.00 | 2010 est. |
| 29 | Palau | 100.00 | 2010 est. |
| 30 | Palau | 100.00 | 2010 est. |
| 31 | Palau | 100.00 | 2010 est. |
| 32 | Palau | 100.00 | 2010 est. |
| 33 | Palau | 100.00 | 2010 est. |
| 34 | Qatar | 100.00 | 2010 est. |
| 35 | Qatar | 100.00 | 2010 est. |
| 36 | Qatar | 100.00 | 2010 est. |
| 37 | Saudi Arabia | 100.00 | 2010 est. |
| 38 | Slovenia | 100.00 | 2010 est. |
| 39 | Slovenia | 100.00 | 2010 est. |
| 40 | Slovenia | 100.00 | 2010 est. |
| 41 | Singapore | 100.00 | 2010 est. |
| 42 | Singapore | 100.00 | 2010 est. |
| 43 | Spain | 100.00 | 2010 est. |
| 44 | Spain | 100.00 | 2010 est. |
| 45 | Spain | 100.00 | 2010 est. |
| 46 | Sweden | 100.00 | 2010 est. |
| 47 | Sweden | 100.00 | 2010 est. |
| 48 | Sweden | 100.00 | 2010 est. |
| 49 | Switzerland | 100.00 | 2010 est. |
| 50 | Switzerland | 100.00 | 2010 est. |
| 51 | Switzerland | 100.00 | 2010 est. |
| 52 | United Kingdom | 100.00 | 2010 est. |
| 53 | United Kingdom | 100.00 | 2010 est. |
| 54 | United Kingdom | 100.00 | 2010 est. |
| 55 | United States | 100.00 | 2010 est. |
| 56 | United States | 100.00 | 2010 est. |
| 57 | Uruguay | 100.00 | 2010 est. |
| 58 | Uruguay | 100.00 | 2010 est. |
