CIA - The World Factbook --  Sanitation facility access   

| Rank | country | (% of population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Malta | 100.00 | 2012 est. |
| 2 | New Caledonia | 100.00 | 2012 est. |
| 3 | New Caledonia | 100.00 | 2012 est. |
| 4 | New Caledonia | 100.00 | 2012 est. |
| 5 | Niue | 100.00 | 2012 est. |
| 6 | Niue | 100.00 | 2012 est. |
| 7 | Niue | 100.00 | 2012 est. |
| 8 | Netherlands | 100.00 | 2012 est. |
| 9 | Netherlands | 100.00 | 2012 est. |
| 10 | Netherlands | 100.00 | 2012 est. |
| 11 | Norway | 100.00 | 2012 est. |
| 12 | Norway | 100.00 | 2012 est. |
| 13 | Norway | 100.00 | 2012 est. |
| 14 | Portugal | 100.00 | 2012 est. |
| 15 | Portugal | 100.00 | 2012 est. |
| 16 | Portugal | 100.00 | 2012 est. |
| 17 | Palau | 100.00 | 2012 est. |
| 18 | Palau | 100.00 | 2012 est. |
| 19 | Palau | 100.00 | 2012 est. |
| 20 | Qatar | 100.00 | 2012 est. |
| 21 | Qatar | 100.00 | 2012 est. |
| 22 | Qatar | 100.00 | 2012 est. |
| 23 | Saudi Arabia | 100.00 | 2012 est. |
| 24 | Saudi Arabia | 100.00 | 2012 est. |
| 25 | Saudi Arabia | 100.00 | 2012 est. |
| 26 | Slovenia | 100.00 | 2012 est. |
| 27 | Slovenia | 100.00 | 2012 est. |
| 28 | Slovenia | 100.00 | 2012 est. |
| 29 | Singapore | 100.00 | 2012 est. |
| 30 | Singapore | 100.00 | 2012 est. |
| 31 | Spain | 100.00 | 2012 est. |
| 32 | Spain | 100.00 | 2012 est. |
| 33 | Spain | 100.00 | 2012 est. |
| 34 | Sweden | 100.00 | 2012 est. |
| 35 | Sweden | 100.00 | 2012 est. |
| 36 | Sweden | 100.00 | 2012 est. |
| 37 | Switzerland | 100.00 | 2012 est. |
| 38 | Switzerland | 100.00 | 2012 est. |
| 39 | Switzerland | 100.00 | 2012 est. |
| 40 | Turkmenistan | 100.00 | 2012 est. |
| 41 | United Kingdom | 100.00 | 2012 est. |
| 42 | United Kingdom | 100.00 | 2012 est. |
| 43 | United Kingdom | 100.00 | 2012 est. |
| 44 | United States | 100.00 | 2012 est. |
| 45 | United States | 100.00 | 2012 est. |
| 46 | United States | 100.00 | 2012 est. |
| 47 | Uzbekistan | 100.00 | 2012 est. |
| 48 | Uzbekistan | 100.00 | 2012 est. |
| 49 | Uzbekistan | 100.00 | 2012 est. |
| 50 | Andorra | 100.00 | 2012 est. |
| 51 | Andorra | 100.00 | 2012 est. |
| 52 | Andorra | 100.00 | 2012 est. |
| 53 | Australia | 100.00 | 2012 est. |
| 54 | Australia | 100.00 | 2012 est. |
| 55 | Australia | 100.00 | 2012 est. |
| 56 | Austria | 100.00 | 2012 est. |
| 57 | Austria | 100.00 | 2012 est. |
| 58 | Austria | 100.00 | 2012 est. |
| 59 | Belgium | 100.00 | 2012 est. |
| 60 | Belgium | 100.00 | 2012 est. |
| 61 | Belgium | 100.00 | 2012 est. |
| 62 | Bulgaria | 100.00 | 2012 est. |
| 63 | Bulgaria | 100.00 | 2012 est. |
| 64 | Bulgaria | 100.00 | 2012 est. |
| 65 | Canada | 100.00 | 2012 est. |
| 66 | Chile | 100.00 | 2012 est. |
| 67 | Cyprus | 100.00 | 2012 est. |
| 68 | Cyprus | 100.00 | 2012 est. |
| 69 | Cyprus | 100.00 | 2012 est. |
| 70 | Denmark | 100.00 | 2012 est. |
| 71 | Denmark | 100.00 | 2012 est. |
| 72 | Denmark | 100.00 | 2012 est. |
| 73 | Czech Republic | 100.00 | 2012 est. |
| 74 | Czech Republic | 100.00 | 2012 est. |
| 75 | Czech Republic | 100.00 | 2012 est. |
| 76 | Finland | 100.00 | 2012 est. |
| 77 | Finland | 100.00 | 2012 est. |
| 78 | Finland | 100.00 | 2012 est. |
| 79 | France | 100.00 | 2012 est. |
| 80 | France | 100.00 | 2012 est. |
| 81 | France | 100.00 | 2012 est. |
| 82 | Greenland | 100.00 | 2012 est. |
| 83 | Greenland | 100.00 | 2012 est. |
| 84 | Greenland | 100.00 | 2012 est. |
| 85 | Germany | 100.00 | 2012 est. |
| 86 | Germany | 100.00 | 2012 est. |
| 87 | Germany | 100.00 | 2012 est. |
| 88 | Hungary | 100.00 | 2012 est. |
| 89 | Hungary | 100.00 | 2012 est. |
| 90 | Hungary | 100.00 | 2012 est. |
| 91 | Iceland | 100.00 | 2012 est. |
| 92 | Iceland | 100.00 | 2012 est. |
| 93 | Iceland | 100.00 | 2012 est. |
| 94 | Israel | 100.00 | 2012 est. |
| 95 | Israel | 100.00 | 2012 est. |
| 96 | Israel | 100.00 | 2012 est. |
| 97 | Japan | 100.00 | 2012 est. |
| 98 | Japan | 100.00 | 2012 est. |
| 99 | Japan | 100.00 | 2012 est. |
| 100 | Korea, South | 100.00 | 2012 est. |
| 101 | Korea, South | 100.00 | 2012 est. |
| 102 | Korea, South | 100.00 | 2012 est. |
| 103 | Kuwait | 100.00 | 2012 est. |
| 104 | Kuwait | 100.00 | 2012 est. |
| 105 | Kuwait | 100.00 | 2012 est. |
| 106 | Lebanon | 100.00 | 2005 est. |
| 107 | Luxembourg | 100.00 | 2012 est. |
| 108 | Luxembourg | 100.00 | 2012 est. |
| 109 | Luxembourg | 100.00 | 2012 est. |
| 110 | Monaco | 100.00 | 2012 est. |
| 111 | Monaco | 100.00 | 2012 est. |
| 112 | Malta | 100.00 | 2012 est. |
| 113 | Malta | 100.00 | 2012 est. |
| 114 | Slovakia | 99.90 | 2012 est. |
| 115 | Canada | 99.80 | 2012 est. |
| 116 | Slovakia | 99.70 | 2012 est. |
| 117 | Maldives | 99.60 | 2012 est. |
| 118 | Ireland | 99.60 | 2012 est. |
| 119 | Slovakia | 99.60 | 2012 est. |
| 120 | Tonga | 99.40 | 2012 est. |
| 121 | Greece | 99.40 | 2012 est. |
| 122 | Argentina | 99.40 | 2012 est. |
| 123 | Puerto Rico | 99.30 | 2012 est. |
| 124 | Puerto Rico | 99.30 | 2012 est. |
| 125 | Puerto Rico | 99.30 | 2012 est. |
| 126 | Bahrain | 99.20 | 2012 est. |
| 127 | Bahrain | 99.20 | 2012 est. |
| 128 | Bahrain | 99.20 | 2012 est. |
| 129 | Turkmenistan | 99.10 | 2012 est. |
| 130 | Canada | 99.00 | 2012 est. |
| 131 | Ireland | 99.00 | 2012 est. |
| 132 | Chile | 98.90 | 2012 est. |
| 133 | Bosnia and Herzegovina | 98.90 | 2012 est. |
| 134 | Maldives | 98.70 | 2012 est. |
| 135 | Lithuania | 98.70 | 2012 est. |
| 136 | Serbia | 98.60 | 2012 est. |
| 137 | Croatia | 98.60 | 2012 est. |
| 138 | Greece | 98.60 | 2012 est. |
| 139 | Grenada | 98.30 | 2012 est. |
| 140 | Lebanon | 98.30 | 2005 est. |
| 141 | Turkmenistan | 98.20 | 2012 est. |
| 142 | Croatia | 98.20 | 2012 est. |
| 143 | Jordan | 98.10 | 2012 est. |
| 144 | Jordan | 98.10 | 2012 est. |
| 145 | Kazakhstan | 98.00 | 2012 est. |
| 146 | Grenada | 98.00 | 2012 est. |
| 147 | Jordan | 98.00 | 2012 est. |
| 148 | United Arab Emirates | 98.00 | 2012 est. |
| 149 | Anguilla | 97.90 | 2012 est. |
| 150 | Anguilla | 97.90 | 2012 est. |
| 151 | Ireland | 97.90 | 2012 est. |
| 152 | Egypt | 97.80 | 2012 est. |
| 153 | Aruba | 97.70 | 2012 est. |
| 154 | Aruba | 97.70 | 2012 est. |
| 155 | Aruba | 97.70 | 2012 est. |
| 156 | Croatia | 97.60 | 2012 est. |
| 157 | Algeria | 97.60 | 2012 est. |
| 158 | Greece | 97.50 | 2012 est. |
| 159 | Kazakhstan | 97.50 | 2012 est. |
| 160 | British Virgin Islands | 97.50 | 2012 est. |
| 161 | Togo | 97.50 | 2012 est. |
| 162 | Maldives | 97.50 | 2012 est. |
| 163 | British Virgin Islands | 97.50 | 2012 est. |
| 164 | Grenada | 97.50 | 2012 est. |
| 165 | United Arab Emirates | 97.50 | 2012 est. |
| 166 | British Virgin Islands | 97.50 | 2012 est. |
| 167 | Tunisia | 97.40 | 2012 est. |
| 168 | Oman | 97.30 | 2012 est. |
| 169 | Serbia | 97.30 | 2012 est. |
| 170 | Argentina | 97.20 | 2012 est. |
| 171 | Cook Islands | 97.20 | 2012 est. |
| 172 | Cook Islands | 97.20 | 2012 est. |
| 173 | Cook Islands | 97.20 | 2012 est. |
