CIA - The World Factbook --  Refined petroleum products - production   

This entry is the country's total output of refined petroleum products, in barrels per day (bbl/day). The discrepancy between the amount of refined petroleum products produced and/or imported and the amount consumed and/or exported is due to the omission of stock changes, refinery gains, and other complicating factors.

| Rank | country | (bbl/day) | Date of Information |
| 123 | Botswana | 0 | 2008 est. |
| 124 | Bermuda | 0 | 2008 est. |
| 125 | Bahamas, The | 0 | 2008 est. |
| 126 | Belize | 0 | 2008 est. |
| 127 | Benin | 0 | 2008 est. |
| 128 | Solomon Islands | 0 | 2008 est. |
| 129 | Bhutan | 0 | 2008 est. |
| 130 | Burundi | 0 | 2008 est. |
| 131 | Cambodia | 0 | 2008 est. |
| 132 | Chad | 0 | 2008 est. |
| 133 | Congo, Democratic Republic of the | 0 | 2008 est. |
| 134 | Cayman Islands | 0 | 2008 est. |
| 135 | Comoros | 0 | 2008 est. |
| 136 | Central African Republic | 0 | 2008 est. |
| 137 | Cape Verde | 0 | 2008 est. |
| 138 | Cook Islands | 0 | 2008 est. |
| 139 | Cyprus | 0 | 2008 est. |
| 140 | Djibouti | 0 | 2008 est. |
| 141 | Dominica | 0 | 2008 est. |
| 142 | Equatorial Guinea | 0 | 2008 est. |
| 143 | Estonia | 0 | 2008 est. |
| 144 | Eritrea | 0 | 2008 est. |
| 145 | Ethiopia | 0 | 2008 est. |
| 146 | Fiji | 0 | 2008 est. |
| 147 | Falkland Islands (Islas Malvinas) | 0 | 2008 est. |
| 148 | Faroe Islands | 0 | 2008 est. |
| 149 | French Polynesia | 0 | 2008 est. |
| 150 | Gambia, The | 0 | 2008 est. |
| 151 | Gibraltar | 0 | 2008 est. |
| 152 | Grenada | 0 | 2008 est. |
| 153 | Greenland | 0 | 2008 est. |
| 154 | Guam | 0 | 2008 est. |
| 155 | Guinea | 0 | 2008 est. |
| 156 | Guyana | 0 | 2008 est. |
| 157 | Haiti | 0 | 2008 est. |
| 158 | Hong Kong | 0 | 2008 est. |
| 159 | Honduras | 0 | 2008 est. |
| 160 | Iceland | 0 | 2009 est. |
| 161 | Kiribati | 0 | 2008 est. |
| 162 | Kosovo | 0 | 2007 |
| 163 | Laos | 0 | 2008 est. |
| 164 | Lebanon | 0 | 2008 est. |
| 165 | Latvia | 0 | 2008 est. |
| 166 | Liberia | 0 | 2008 est. |
| 167 | Lesotho | 0 | 2008 est. |
| 168 | Luxembourg | 0 | 2009 est. |
| 169 | Madagascar | 0 | 2008 est. |
| 170 | Macau | 0 | 2008 est. |
| 171 | Mongolia | 0 | 2008 est. |
| 172 | Montserrat | 0 | 2008 est. |
| 173 | Malawi | 0 | 2008 est. |
| 174 | Montenegro | 0 | 2008 est. |
| 175 | Mali | 0 | 2008 est. |
| 176 | Mauritius | 0 | 2008 est. |
| 177 | Mauritania | 0 | 2008 est. |
| 178 | Malta | 0 | 2008 est. |
| 179 | Maldives | 0 | 2012 est. |
| 180 | Mozambique | 0 | 2008 est. |
| 181 | New Caledonia | 0 | 2008 est. |
| 182 | Niue | 0 | 2008 est. |
| 183 | Niger | 0 | 2008 est. |
| 184 | Vanuatu | 0 | 2008 est. |
| 185 | Nepal | 0 | 2008 est. |
| 186 | Nauru | 0 | 2008 est. |
| 187 | Paraguay | 0 | 2008 est. |
| 188 | Panama | 0 | 2008 est. |
| 189 | Guinea-Bissau | 0 | 2008 est. |
| 190 | Rwanda | 0 | 2008 est. |
| 191 | Saint Pierre and Miquelon | 0 | 2008 est. |
| 192 | Saint Kitts and Nevis | 0 | 2008 est. |
| 193 | Seychelles | 0 | 2008 est. |
| 194 | Saint Helena, Ascension, and Tristan da Cunha | 0 | 2008 est. |
| 195 | Slovenia | 0 | 2008 est. |
| 196 | Saint Lucia | 0 | 2008 est. |
| 197 | Turks and Caicos Islands | 0 | 2008 est. |
| 198 | Tonga | 0 | 2008 est. |
| 199 | Togo | 0 | 2008 est. |
| 200 | Sao Tome and Principe | 0 | 2008 est. |
| 201 | Timor-Leste | 0 | 2008 est. |
| 202 | Tanzania | 0 | 2008 est. |
| 203 | Uganda | 0 | 2008 est. |
| 204 | Burkina Faso | 0 | 2008 est. |
| 205 | Saint Vincent and the Grenadines | 0 | 2008 est. |
| 206 | British Virgin Islands | 0 | 2008 est. |
| 207 | Vietnam | 0 | 2008 est. |
| 208 | Namibia | 0 | 2008 est. |
| 209 | West Bank | 0 | 2008 est. |
| 210 | Western Sahara | 0 | 2008 est. |
| 211 | Samoa | 0 | 2008 est. |
| 212 | Swaziland | 0 | 2008 est. |
| 213 | Zimbabwe | 0 | 2008 est. |
