CIA - The World Factbook --  Market value of publicly traded shares   

This entry gives the value of shares issued by publicly traded companies at a price determined in the national stock markets on the final day of the period indicated. It is simply the latest price per share multiplied by the total number of outstanding shares, cumulated over all companies listed on the particular exchange.

| Rank | country | Market value of publicly traded shares | Date of Information |
| 88 | Ghana | $ 3,394,000,000 | 31 December 2008 |
| 89 | Montenegro | $ 2,863,000,000 | 31 December 2008 |
| 90 | Bolivia | $ 2,672,000,000 | 31 December 2008 |
| 91 | Zambia | $ 2,346,000,000 | 31 December 2007 |
| 92 | West Bank | $ 2,123,000,000 | 31 December 2008 |
| 93 | Iraq | $ 2,000,000,000 | 31 July 2009 |
| 94 | Estonia | $ 1,950,000,000 | 31 December 2008 |
| 95 | Bermuda | $ 1,912,000,000 | 31 December 2008 |
| 96 | Costa Rica | $ 1,887,000,000 | 31 December 2008 |
| 97 | Malawi | $ 1,771,000,000 | 31 December 2008 |
| 98 | Latvia | $ 1,609,000,000 | 31 December 2008 |
| 99 | Tanzania | $ 1,293,000,000 | 31 December 2008 |
| 100 | Macedonia | $ 823,500,000 | 31 December 2008 |
| 101 | Namibia | $ 618,700,000 | 31 December 2008 |
| 102 | Saint Kitts and Nevis | $ 595,200,000 | 31 December 2008 |
| 103 | Moldova | $ 573,900,000 | 2004 |
| 104 | Fiji | $ 568,200,000 | 31 December 2008 |
| 105 | Mongolia | $ 407,000,000 | 31 December 2008 |
| 106 | Georgia | $ 327,300,000 | 31 December 2008 |
| 107 | Guyana | $ 289,900,000 | 31 December 2008 |
| 108 | Swaziland | $ 203,100,000 | 31 December 2007 |
| 109 | Cayman Islands | $ 183,500,000 | 31 December 2007 |
| 110 | Armenia | $ 176,000,000 | 31 December 2008 |
| 111 | Uruguay | $ 159,000,000 | 31 December 2007 |
| 112 | Kyrgyzstan | $ 93,790,000 | 31 December 2008 |
