CIA - The World Factbook --  Freshwater withdrawal (domestic/industrial/agricultural)   

| Rank | country | () | Date of Information |
| 178 | Burma | 33.23 | 2005 |
| 179 | Argentina | 32.57 | 2005 |
| 180 | Spain | 32.46 | 2008 |
| 181 | Germany | 32.30 | 2007 |
| 182 | France | 31.62 | 2009 |
| 183 | Equatorial Guinea | 31.41 | 2005 |
| 184 | Turkmenistan | 27.95 | 2004 |
| 185 | Sudan | 27.59 | 2005 |
| 186 | Chile | 26.67 | 2007 |
| 187 | Korea, South | 25.47 | 2003 |
| 188 | Djibouti | 24.84 | 2000 |
| 189 | Saudi Arabia | 23.67 | 2006 |
| 190 | Australia | 22.58 | 2010 |
| 191 | Lesotho | 21.79 | 2000 |
| 192 | Kazakhstan | 21.14 | 2010 |
| 193 | Afghanistan | 20.28 | 2005 |
| 194 | Peru | 19.34 | 2005 |
| 195 | Ukraine | 19.24 | 2010 |
| 196 | Benin | 18.74 | 2001 |
| 197 | Maldives | 18.44 | 2008 |
| 198 | Central African Republic | 17.42 | 2005 |
| 199 | Rwanda | 17.25 | 2005 |
| 200 | Comoros | 16.86 | 1999 |
| 201 | Syria | 16.76 | 2005 |
| 202 | Madagascar | 16.50 | 2005 |
| 203 | Congo, Republic of the | 13.99 | 2005 |
| 204 | Nigeria | 13.11 | 2005 |
| 205 | United Kingdom | 13.03 | 2008 |
| 206 | Sri Lanka | 12.95 | 2005 |
| 207 | Colombia | 12.65 | 2010 |
| 208 | Morocco | 12.61 | 2005 |
| 209 | South Africa | 12.50 | 2005 |
| 210 | Uganda | 12.31 | 2005 |
| 211 | Azerbaijan | 12.21 | 2010 |
| 212 | Poland | 11.96 | 2009 |
| 213 | Tajikistan | 11.49 | 2006 |
| 214 | Congo, Democratic Republic of the | 11.25 | 2005 |
| 215 | Malaysia | 11.20 | 2005 |
| 216 | Netherlands | 10.61 | 2008 |
| 217 | Ecuador | 9.92 | 2005 |
| 218 | Nepal | 9.50 | 2006 |
| 219 | Greece | 9.47 | 2007 |
| 220 | Venezuela | 9.06 | 2008 |
| 221 | Korea, North | 8.66 | 2005 |
| 222 | Portugal | 8.46 | 2005 |
| 223 | Kyrgyzstan | 8.01 | 2006 |
| 224 | Romania | 6.88 | 2009 |
| 225 | Mali | 6.55 | 2000 |
| 226 | Belgium | 6.22 | 2007 |
| 227 | Bulgaria | 6.12 | 2009 |
| 228 | Costa Rica | 5.77 | 2006 |
| 229 | Algeria | 5.72 | 2005 |
| 230 | Hungary | 5.58 | 2007 |
| 231 | Ethiopia | 5.56 | 2005 |
| 232 | Dominican Republic | 5.47 | 2005 |
| 233 | Tanzania | 5.18 | 2002 |
| 234 | New Zealand | 4.75 | 2010 |
| 235 | Cuba | 4.42 | 2010 |
