CIA - The World Factbook --  Electricity - from hydroelectric plants   

This entry measures the capacity of plants that generate electricity by water-driven turbines, expressed as a share of the country's total generating capacity.

| Rank | country | (% of total installed capacity) | Date of Information |
| --- | --- | --- | --- |
| 1 | Lesotho | 100.0 | 2009 est. |
| 2 | Paraguay | 99.9 | 2009 est. |
| 3 | Zambia | 99.6 | 2009 est. |
| 4 | Bhutan | 98.9 | 2009 est. |
| 5 | Congo, Democratic Republic of the | 98.7 | 2009 est. |
| 6 | Burundi | 98.1 | 2009 est. |
| 7 | Laos | 97.3 | 2009 est. |
| 8 | Malawi | 94.3 | 2009 est. |
| 9 | Nepal | 92.1 | 2009 est. |
| 10 | Tajikistan | 91.2 | 2009 est. |
| 11 | Norway | 91.1 | 2009 est. |
| 12 | Albania | 90.1 | 2009 est. |
| 13 | Mozambique | 89.7 | 2009 est. |
| 14 | Ethiopia | 82.1 | 2009 est. |
| 15 | Congo, Republic of the | 80.4 | 2009 est. |
| 16 | Kyrgyzstan | 79.9 | 2009 est. |
| 17 | Togo | 78.8 | 2009 est. |
| 18 | Afghanistan | 76.5 | 2009 est. |
| 19 | Montenegro | 75.8 | 2009 est. |
| 20 | Brazil | 74.7 | 2010 est. |
| 21 | Iceland | 72.9 | 2009 est. |
| 22 | Cameroon | 72.2 | 2009 est. |
| 23 | Latvia | 71.0 | 2009 est. |
| 24 | Switzerland | 69.2 | 2009 est. |
| 25 | Colombia | 66.6 | 2009 est. |
| 26 | Sudan | 66.3 | 2009 est. |
| 27 | Namibia | 63.4 | 2009 est. |
| 28 | Georgia | 62.8 | 2009 est. |
| 29 | Costa Rica | 61.5 | 2009 est. |
| 30 | Uruguay | 61.1 | 2009 est. |
| 31 | Tanzania | 60.5 | 2009 est. |
| 32 | Uganda | 59.5 | 2009 est. |
| 33 | Ghana | 59.4 | 2009 est. |
| 34 | Venezuela | 58.9 | 2009 est. |
| 35 | Canada | 57.0 | 2009 est. |
| 36 | New Zealand | 56.7 | 2009 est. |
| 37 | Bosnia and Herzegovina | 55.5 | 2009 est. |
| 38 | Central African Republic | 54.3 | 2009 est. |
| 39 | Korea, North | 52.6 | 2009 est. |
| 40 | Sri Lanka | 52.5 | 2010 est. |
| 41 | Mali | 51.6 | 2009 est. |
| 42 | Cote d'Ivoire | 49.4 | 2009 est. |
| 43 | Suriname | 48.6 | 2009 est. |
| 44 | Panama | 48.4 | 2009 est. |
| 45 | Sweden | 46.9 | 2009 est. |
| 46 | Rwanda | 46.2 | 2009 est. |
| 47 | Croatia | 44.7 | 2009 est. |
| 48 | Kenya | 43.8 | 2009 est. |
| 49 | Angola | 43.1 | 2009 est. |
