CIA - The World Factbook --  Electricity - from hydroelectric plants   

Electricity - from hydroelectric plants measures the capacity of plants that generate electricity by water-driven turbines, expressed as a share of the country's total generating capacity.

| Rank | country | (% of total installed capacity) | Date of Information |
| 41 | Korea, North | 52.6 | 2011 est. |
| 42 | Mali | 51.6 | 2010 est. |
| 43 | Cote d'Ivoire | 49.4 | 2010 est. |
| 44 | Congo, Republic of the | 48.8 | 2012 est. |
| 45 | Panama | 47.4 | 2010 est. |
| 46 | Rwanda | 47.2 | 2010 est. |
| 47 | Burma | 46.7 | 2010 est. |
| 48 | Suriname | 46.1 | 2010 est. |
| 49 | Sweden | 45.5 | 2010 est. |
| 50 | Fiji | 45.3 | 2010 est. |
| 51 | Vietnam | 45.0 | 2012 est. |
| 52 | Kenya | 44.8 | 2010 est. |
| 53 | Croatia | 44.7 | 2010 est. |
| 54 | Sri Lanka | 44.6 | 2011 est. |
| 55 | Angola | 43.1 | 2010 est. |
| 56 | Sao Tome and Principe | 42.9 | 2010 est. |
| 57 | Ecuador | 42.8 | 2010 est. |
| 58 | Gabon | 41.0 | 2010 est. |
| 59 | Swaziland | 40.3 | 2010 est. |
| 60 | Peru | 39.9 | 2010 est. |
| 61 | Serbia | 39.0 | 2013 est. |
| 62 | Slovenia | 37.4 | 2012 est. |
| 63 | Mauritania | 36.9 | 2010 est. |
| 64 | Bolivia | 34.9 | 2012 est. |
| 65 | Madagascar | 34.4 | 2010 est. |
| 66 | Chile | 33.7 | 2010 est. |
| 67 | Armenia | 33.5 | 2010 est. |
| 68 | Zimbabwe | 33.4 | 2010 est. |
| 69 | Macedonia | 33.2 | 2013 est. |
| 70 | Nigeria | 32.8 | 2010 est. |
| 71 | Belize | 32.0 | 2010 est. |
| 72 | Turkey | 32.0 | 2010 est. |
| 73 | El Salvador | 31.6 | 2010 est. |
| 74 | Guinea | 31.6 | 2010 est. |
| 75 | Guatemala | 31.1 | 2010 est. |
| 76 | Faroe Islands | 31.0 | 2010 est. |
| 77 | Papua New Guinea | 30.9 | 2010 est. |
| 78 | Honduras | 30.9 | 2010 est. |
| 79 | Romania | 30.1 | 2012 est. |
| 80 | Pakistan | 29.6 | 2010 est. |
| 81 | Samoa | 29.2 | 2010 est. |
| 82 | Argentina | 27.6 | 2010 est. |
| 83 | French Polynesia | 25.3 | 2010 est. |
| 84 | Andorra | 23.3 | NA |
| 85 | China | 22.5 | 2013 est. |
| 86 | Bulgaria | 21.8 | 2010 est. |
| 87 | Portugal | 21.5 | 2010 est. |
| 88 | Haiti | 21.0 | 2011 est. |
| 89 | Philippines | 20.8 | 2010 est. |
| 90 | Slovakia | 20.4 | 2010 est. |
| 91 | India | 19.5 | 31 March 2012 est. |
| 92 | Morocco | 19.4 | 2010 est. |
| 93 | Finland | 18.8 | 2010 est. |
| 94 | Mexico | 18.3 | 2010 est. |
| 95 | Italy | 18.0 | 2011 est. |
| 96 | Comoros | 16.7 | 2010 est. |
| 97 | Greece | 16.2 | 2010 est. |
| 98 | New Caledonia | 15.6 | 2010 est. |
| 99 | Azerbaijan | 15.4 | 2010 est. |
| 100 | Russia | 15.1 | 2012 est. |
| 101 | Uzbekistan | 14.9 | 2010 est. |
| 102 | Saint Vincent and the Grenadines | 14.9 | 2010 est. |
| 103 | France | 14.7 | 2010 est. |
| 104 | Iran | 13.7 | 2010 est. |
| 105 | Australia | 13.6 | 2010 est. |
| 106 | Spain | 13.0 | 2010 est. |
| 107 | Burkina Faso | 12.7 | 2010 est. |
| 108 | Lebanon | 12.1 | 2010 est. |
| 109 | Kazakhstan | 11.8 | 2010 est. |
| 110 | Thailand | 10.9 | 2012 est. |
| 111 | Syria | 10.8 | 2010 est. |
| 112 | Egypt | 10.4 | 2010 est. |
| 113 | Ukraine | 9.9 | 2010 est. |
| 114 | Indonesia | 9.9 | 2011 est. |
| 115 | Dominican Republic | 9.2 | 2010 est. |
| 116 | Malaysia | 8.3 | 2010 est. |
| 117 | Nicaragua | 8.3 | 2013 est. |
| 118 | Japan | 7.8 | 2010 est. |
| 119 | United States | 7.6 | 2010 est. |
| 120 | Iraq | 7.6 | 2013 est. |
| 121 | Mauritius | 6.6 | 2010 est. |
| 122 | Dominica | 6.2 | 2010 est. |
| 123 | Germany | 6.0 | 2012 est. |
| 124 | Taiwan | 5.3 | 2011 est. |
| 125 | Czech Republic | 5.2 | 2012 est. |
| 126 | United Kingdom | 4.8 | 2012 est. |
| 127 | Moldova | 3.6 | 2013 est. |
| 128 | Cambodia | 3.6 | 2010 est. |
| 129 | Lithuania | 3.2 | 2010 est. |
| 130 | Ireland | 2.9 | 2010 est. |
| 131 | Puerto Rico | 2.8 | 2010 est. |
| 132 | Poland | 2.8 | 2010 est. |
| 133 | Equatorial Guinea | 2.6 | 2010 est. |
| 134 | Algeria | 2.5 | 2010 est. |
| 135 | Bangladesh | 2.3 | 2013 est. |
| 136 | Jamaica | 2.1 | 2010 est. |
| 137 | Korea, South | 2.0 | 2010 est. |
| 138 | Luxembourg | 2.0 | 2010 est. |
| 139 | Tunisia | 1.7 | 2010 est. |
| 140 | Benin | 1.6 | 2010 est. |
| 141 | South Africa | 1.5 | 2010 est. |
| 142 | Hungary | 1.0 | 2011 est. |
| 143 | Cuba | 0.6 | 2011 est. |
| 144 | Belgium | 0.6 | 2010 est. |
| 145 | Jordan | 0.4 | 2010 est. |
| 146 | Guyana | 0.3 | 2010 est. |
| 147 | Belarus | 0.2 | 2010 est. |
| 148 | Estonia | 0.2 | 2010 est. |
| 149 | Netherlands | 0.1 | 2012 est. |
| 150 | Denmark | 0.1 | 2010 est. |
| 151 | Aruba | 0.0 | 2010 est. |
| 152 | Antigua and Barbuda | 0.0 | 2010 est. |
| 153 | United Arab Emirates | 0.0 | 2010 est. |
| 154 | American Samoa | 0.0 | 2010 est. |
| 155 | Bahrain | 0.0 | 2011 est. |
| 156 | Barbados | 0.0 | 2010 est. |
| 157 | Botswana | 0.0 | 2010 est. |
| 158 | Bermuda | 0.0 | 2012 est. |
| 159 | Bahamas, The | 0.0 | 2012 est. |
| 160 | Solomon Islands | 0.0 | 2010 est. |
| 161 | Brunei | 0.0 | 2010 est. |
| 162 | Chad | 0.0 | 2010 est. |
| 163 | Cayman Islands | 0.0 | 2010 est. |
| 164 | Cabo Verde | 0.0 | 2010 est. |
| 165 | Cook Islands | 0.0 | 2010 est. |
| 166 | Cyprus | 0.0 | 2010 est. |
| 167 | Djibouti | 0.0 | 2010 est. |
| 168 | Eritrea | 0.0 | 2010 est. |
| 169 | Falkland Islands (Islas Malvinas) | 0.0 | 2010 est. |
| 170 | Gambia, The | 0.0 | 2010 est. |
| 171 | Gibraltar | 0.0 | 2010 est. |
| 172 | Grenada | 0.0 | 2010 est. |
| 173 | Greenland | 0.0 | 2010 est. |
| 174 | Guam | 0.0 | 2010 est. |
| 175 | Hong Kong | 0.0 | 2013 est. |
| 176 | Israel | 0.0 | 2010 est. |
| 177 | Kiribati | 0.0 | 2010 est. |
| 178 | Kuwait | 0.0 | 2010 est. |
| 179 | Liberia | 0.0 | 2010 est. |
| 180 | Libya | 0.0 | 2010 est. |
| 181 | Macau | 0.0 | 2013 est. |
| 182 | Mongolia | 0.0 | 2010 est. |
| 183 | Montserrat | 0.0 | 2010 est. |
| 184 | Malta | 0.0 | 2013 est. |
| 185 | Oman | 0.0 | 2010 est. |
| 186 | Maldives | 0.0 | 2010 est. |
| 187 | Niue | 0.0 | 2010 est. |
| 188 | Niger | 0.0 | 2010 est. |
| 189 | Vanuatu | 0.0 | 2010 est. |
| 190 | Nauru | 0.0 | 2010 est. |
| 191 | Guinea-Bissau | 0.0 | 2010 est. |
| 192 | Qatar | 0.0 | 2010 est. |
| 193 | Saudi Arabia | 0.0 | 2010 est. |
| 194 | Saint Pierre and Miquelon | 0.0 | 2010 est. |
| 195 | Saint Kitts and Nevis | 0.0 | 2010 est. |
| 196 | Seychelles | 0.0 | 2010 est. |
| 197 | Senegal | 0.0 | 2010 est. |
| 198 | Saint Helena, Ascension, and Tristan da Cunha | 0.0 | 2010 est. |
| 199 | Singapore | 0.0 | 2010 est. |
| 200 | Somalia | 0.0 | 2010 est. |
| 201 | Saint Lucia | 0.0 | 2010 est. |
| 202 | Trinidad and Tobago | 0.0 | 2010 est. |
| 203 | Turks and Caicos Islands | 0.0 | 2010 est. |
| 204 | Tonga | 0.0 | 2010 est. |
| 205 | Turkmenistan | 0.0 | 2010 est. |
| 206 | British Virgin Islands | 0.0 | 2010 est. |
| 207 | Virgin Islands | 0.0 | 2010 est. |
| 208 | West Bank | 0.0 | 2010 est. |
| 209 | Western Sahara | 0.0 | 2010 est. |
| 210 | Yemen | 0.0 | 2010 est. |


