CIA - The World Factbook --  Electricity - from hydroelectric plants   

This entry measures the capacity of plants that generate electricity by water-driven turbines, expressed as a share of the country's total generating capacity.

| Rank | country | (% of total installed capacity) | Date of Information |
| 125 | Cambodia | 3.6 | 2010 est. |
| 126 | Bangladesh | 3.4 | 2010 est. |
| 127 | Lithuania | 3.2 | 2010 est. |
| 128 | Germany | 3.0 | 2011 est. |
| 129 | Ireland | 2.9 | 2010 est. |
| 130 | Poland | 2.8 | 2010 est. |
| 131 | Puerto Rico | 2.8 | 2010 est. |
| 132 | Equatorial Guinea | 2.6 | 2010 est. |
| 133 | Algeria | 2.5 | 2010 est. |
| 134 | Jamaica | 2.1 | 2010 est. |
| 135 | Luxembourg | 2.0 | 2010 est. |
| 136 | Korea, South | 1.9 | 2010 est. |
| 137 | United Kingdom | 1.8 | 2010 est. |
| 138 | Tunisia | 1.7 | 2010 est. |
| 139 | Benin | 1.6 | 2010 est. |
| 140 | South Africa | 1.5 | 2010 est. |
| 141 | Hungary | 1.0 | 2011 est. |
| 142 | Cuba | 0.6 | 2011 est. |
| 143 | Belgium | 0.6 | 2010 est. |
| 144 | Jordan | 0.4 | 2010 est. |
| 145 | Guyana | 0.3 | 2010 est. |
| 146 | Belarus | 0.2 | 2010 est. |
| 147 | Estonia | 0.2 | 2010 est. |
| 148 | Netherlands | 0.1 | 2010 est. |
| 149 | Denmark | 0.1 | 2010 est. |
| 150 | Aruba | 0.0 | 2010 est. |
| 151 | Yemen | 0.0 | 2010 est. |
| 152 | United Arab Emirates | 0.0 | 2010 est. |
| 153 | American Samoa | 0.0 | 2010 est. |
| 154 | Bahrain | 0.0 | 2011 est. |
| 155 | Barbados | 0.0 | 2010 est. |
| 156 | Botswana | 0.0 | 2010 est. |
| 157 | Bermuda | 0.0 | 2012 est. |
| 158 | Bahamas, The | 0.0 | 2012 est. |
| 159 | Solomon Islands | 0.0 | 2010 est. |
| 160 | Brunei | 0.0 | 2010 est. |
| 161 | Chad | 0.0 | 2010 est. |
| 162 | Cayman Islands | 0.0 | 2010 est. |
| 163 | Cabo Verde | 0.0 | 2010 est. |
| 164 | Cook Islands | 0.0 | 2010 est. |
| 165 | Cyprus | 0.0 | 2010 est. |
| 166 | Djibouti | 0.0 | 2010 est. |
| 167 | Eritrea | 0.0 | 2010 est. |
| 168 | Falkland Islands (Islas Malvinas) | 0.0 | 2010 est. |
| 169 | Gambia, The | 0.0 | 2010 est. |
| 170 | Gibraltar | 0.0 | 2010 est. |
| 171 | Grenada | 0.0 | 2010 est. |
| 172 | Greenland | 0.0 | 2010 est. |
| 173 | Guam | 0.0 | 2010 est. |
| 174 | Hong Kong | 0.0 | 2012 est. |
| 175 | Israel | 0.0 | 2010 est. |
| 176 | Kiribati | 0.0 | 2010 est. |
| 177 | Kuwait | 0.0 | 2010 est. |
| 178 | Liberia | 0.0 | 2010 est. |
| 179 | Libya | 0.0 | 2010 est. |
| 180 | Macau | 0.0 | 2012 est. |
