CIA - The World Factbook --  Manpower available for military service   

| Rank | country | Manpower available for military service | Date of Information |
| 112 | Cameroon | 4,548,909.00 | 2010 est. |
| 113 | Chile | 4,324,732.00 | 2010 est. |
| 114 | Chile | 4,251,954.00 | 2010 est. |
| 115 | Kazakhstan | 4,179,051.00 | 2010 est. |
| 116 | Kazakhstan | 4,163,629.00 | 2010 est. |
| 117 | Cambodia | 4,003,585.00 | 2010 est. |
| 118 | Cambodia | 3,883,724.00 | 2010 est. |
| 119 | Ecuador | 3,844,918.00 | 2010 est. |
| 120 | Burkina Faso | 3,735,735.00 | 2010 est. |
| 121 | Netherlands | 3,734,610.00 | 2014 est. |
| 122 | Ecuador | 3,728,906.00 | 2010 est. |
| 123 | Netherlands | 3,687,940.00 | 2014 est. |
| 124 | Malawi | 3,514,809.00 | 2010 est. |
| 125 | Guatemala | 3,371,217.00 | 2010 est. |
| 126 | Niger | 3,329,184.00 | 2010 est. |
| 127 | Niger | 3,267,669.00 | 2010 est. |
| 128 | Guatemala | 3,165,870.00 | 2010 est. |
| 129 | Angola | 3,062,438.00 | 2010 est. |
| 130 | Zambia | 3,041,069.00 | 2010 est. |
| 131 | Senegal | 3,018,565.00 | 2010 est. |
| 132 | Cuba | 2,998,201.00 | 2010 est. |
| 133 | Mali | 2,981,106.00 | 2010 est. |
| 134 | Angola | 2,964,262.00 | 2010 est. |
| 135 | Tunisia | 2,952,180.00 | 2010 est. |
| 136 | Zambia | 2,948,291.00 | 2010 est. |
| 137 | Cuba | 2,919,107.00 | 2010 est. |
| 138 | Zimbabwe | 2,868,376.00 | 2010 est. |
| 139 | Mali | 2,848,412.00 | 2010 est. |
| 140 | Tunisia | 2,846,572.00 | 2010 est. |
| 141 | Senegal | 2,699,196.00 | 2010 est. |
| 142 | United Arab Emirates | 2,676,928.00 | 2010 est. |
| 143 | Rwanda | 2,625,917.00 | 2010 est. |
| 144 | Zimbabwe | 2,616,051.00 | 2010 est. |
| 145 | Rwanda | 2,608,110.00 | 2010 est. |
| 146 | Dominican Republic | 2,580,083.00 | 2010 est. |
| 147 | Portugal | 2,566,264.00 | 2010 est. |
| 148 | Bolivia | 2,535,768.00 | 2010 est. |
| 149 | Czech Republic | 2,506,826.00 | 2010 est. |
| 150 | Greece | 2,485,389.00 | 2010 est. |
| 151 | Bolivia | 2,472,490.00 | 2010 est. |
| 152 | Greece | 2,469,854.00 | 2010 est. |
| 153 | Dominican Republic | 2,464,698.00 | 2010 est. |
| 154 | Portugal | 2,458,297.00 | 2010 est. |
| 155 | Chad | 2,441,321.00 | 2010 est. |
| 156 | Belarus | 2,429,653.00 | 2010 est. |
| 157 | Haiti | 2,415,039.00 | 2010 est. |
| 158 | Czech Republic | 2,407,634.00 | 2010 est. |
| 159 | Belarus | 2,401,785.00 | 2010 est. |
| 160 | Haiti | 2,398,804.00 | 2010 est. |
| 161 | Belgium | 2,359,232.00 | 2010 est. |
| 162 | Guinea | 2,359,203.00 | 2010 est. |
| 163 | Azerbaijan | 2,354,249.00 | 2010 est. |
| 164 | Hungary | 2,349,948.00 | 2010 est. |
| 165 | Azerbaijan | 2,334,632.00 | 2010 est. |
| 166 | Guinea | 2,329,784.00 | 2010 est. |
| 167 | Belgium | 2,291,689.00 | 2010 est. |
| 168 | Hungary | 2,290,568.00 | 2010 est. |
| 169 | Somalia | 2,260,175.00 | 2010 est. |
| 170 | Burundi | 2,202,125.00 | 2010 est. |
| 171 | Burundi | 2,182,327.00 | 2010 est. |
| 172 | Somalia | 2,159,293.00 | 2010 est. |
| 173 | Benin | 2,095,373.00 | 2010 est. |
| 174 | Chad | 2,090,244.00 | 2010 est. |
| 175 | Sweden | 2,065,691.00 | 2010 est. |
| 176 | Honduras | 2,045,914.00 | 2010 est. |
| 177 | Benin | 2,038,351.00 | 2010 est. |
| 178 | Tajikistan | 2,020,618.00 | 2010 est. |
| 179 | Tajikistan | 2,012,790.00 | 2010 est. |
| 180 | Sweden | 1,996,764.00 | 2010 est. |
