CIA - The World Factbook --  Urbanization   

| Rank | country | (%) | Date of Information |
| 151 | Barbados | 44.40 | NA |
| 152 | Guinea-Bissau | 43.90 | NA |
| 153 | Kiribati | 43.90 | NA |
| 154 | Egypt | 43.50 | NA |
| 155 | Senegal | 42.50 | NA |
| 156 | Mauritius | 41.80 | NA |
| 157 | Mauritania | 41.50 | NA |
| 158 | Maldives | 41.20 | NA |
| 159 | Faroe Islands | 41.10 | NA |
| 160 | British Virgin Islands | 40.60 | NA |
| 161 | Equatorial Guinea | 39.50 | NA |
| 162 | Saint Helena, Ascension, and Tristan da Cunha | 39.50 | NA |
| 163 | Sierra Leone | 39.20 | NA |
| 164 | Zambia | 39.20 | NA |
| 165 | Grenada | 39.10 | NA |
| 166 | Central African Republic | 39.10 | NA |
| 167 | Zimbabwe | 38.60 | NA |
| 168 | Namibia | 38.40 | NA |
| 169 | Togo | 38.00 | NA |
| 170 | Niue | 37.90 | NA |
| 171 | Somalia | 37.70 | NA |
| 172 | Uzbekistan | 36.20 | NA |
| 173 | Pakistan | 36.20 | NA |
| 174 | Bhutan | 35.60 | NA |
| 175 | Guinea | 35.40 | NA |
| 176 | Kyrgyzstan | 35.30 | NA |
| 177 | Mali | 34.90 | NA |
| 178 | Congo, Democratic Republic of the | 34.30 | NA |
| 179 | Laos | 34.30 | NA |
| 180 | Thailand | 34.10 | NA |
| 181 | Sudan | 33.20 | NA |
| 182 | Burma | 32.60 | NA |
| 183 | Madagascar | 32.60 | NA |
| 184 | Yemen | 32.30 | NA |
| 185 | Saint Kitts and Nevis | 32.00 | NA |
| 186 | India | 31.30 | NA |
| 187 | Jersey | 31.20 | NA |
| 188 | Guernsey | 31.20 | NA |
| 189 | Mozambique | 31.20 | NA |
| 190 | Vietnam | 31.00 | NA |
| 191 | Antigua and Barbuda | 29.80 | NA |
| 192 | Bangladesh | 28.40 | NA |
| 193 | Guyana | 28.40 | NA |
| 194 | Timor-Leste | 28.30 | NA |
| 195 | Comoros | 28.00 | NA |
| 196 | Lesotho | 27.60 | NA |
| 197 | Tanzania | 26.70 | NA |
| 198 | Burkina Faso | 26.50 | NA |
| 199 | Tajikistan | 26.50 | NA |
| 200 | Vanuatu | 24.90 | NA |
| 201 | Kenya | 24.00 | NA |
| 202 | Afghanistan | 23.50 | NA |
| 203 | Tonga | 23.00 | NA |
| 204 | Micronesia, Federated States of | 22.60 | NA |
| 205 | Chad | 21.80 | NA |
| 206 | Eritrea | 21.30 | NA |
| 207 | Swaziland | 21.20 | NA |
| 208 | Solomon Islands | 20.50 | NA |
| 209 | Cambodia | 20.00 | NA |
| 210 | Samoa | 19.90 | NA |
