CIA - The World Factbook --  Internet hosts   

This entry lists the number of Internet hosts available within a country. An Internet host is a computer connected directly to the Internet; normally an Internet Service Provider's (ISP) computer is a host. Internet users may use either a hard-wired terminal, at an institution with a mainframe computer connected directly to the Internet, or may connect remotely by way of a modem via telephone line, cable, or satellite to the Internet Service Provider's host computer. The number of hosts is one indicator of the extent of Internet connectivity.

| Rank | country | Internet hosts | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 439,000,000 | NA |
| 2 | Japan | 54,846,000 | 2010 |
| 3 | Italy | 23,160,000 | 2010 |
| 4 | Germany | 21,729,000 | 2010 |
| 5 | Brazil | 19,316,000 | 2010 |
| 6 | China | 15,251,000 | 2010 |
| 7 | France | 15,182,000 | 2010 |
| 8 | Australia | 13,361,000 | 2010 |
| 9 | Mexico | 12,854,000 | 2010 |
| 10 | Netherlands | 12,607,000 | 2010 |
| 11 | Poland | 10,510,000 | 2010 |
| 12 | Russia | 10,382,000 | 2010 |
| 13 | Canada | 7,770,000 | 2010 |
| 14 | United Kingdom | 7,030,000 | 2010 |
| 15 | Taiwan | 6,336,000 | 2010 |
| 16 | Argentina | 6,025,000 | 2010 |
| 17 | Switzerland | 4,816,000 | 2010 |
| 18 | India | 4,536,000 | 2010 |
| 19 | Belgium | 4,465,000 | 2010 |
| 20 | Sweden | 4,396,000 | 2010 |
| 21 | Finland | 4,394,000 | 2010 |
| 22 | Denmark | 4,145,000 | 2010 |
| 23 | Spain | 3,822,000 | 2010 |
| 24 | South Africa | 3,751,000 | 2010 |
| 25 | Czech Republic | 3,494,000 | 2010 |
| 26 | Turkey | 3,433,000 | 2010 |
| 27 | Norway | 3,352,000 | 2010 |
| 28 | Portugal | 3,267,000 | 2010 |
| 29 | Austria | 3,266,000 | 2010 |
| 30 | Hungary | 2,655,000 | 2010 |
| 31 | Greece | 2,574,000 | 2010 |
| 32 | Colombia | 2,527,000 | 2010 |
| 33 | New Zealand | 2,470,000 | 2010 |
| 34 | Romania | 2,464,000 | 2010 |
| 35 | Israel | 1,689,000 | 2010 |
| 36 | Ireland | 1,339,000 | 2010 |
| 37 | Thailand | 1,335,000 | 2010 |
| 38 | Croatia | 1,287,000 | 2010 |
| 39 | Indonesia | 1,269,000 | 2010 |
| 40 | Lithuania | 1,170,000 | 2010 |
| 41 | Slovakia | 1,133,000 | 2010 |
| 42 | Ukraine | 1,098,000 | 2010 |
| 43 | Chile | 1,056,000 | 2010 |
| 44 | Singapore | 992,786 | 2010 |
| 45 | Hong Kong | 817,701 | 2010 |
| 46 | Bulgaria | 785,546 | 2010 |
| 47 | Uruguay | 765,525 | 2010 |
| 48 | Estonia | 729,534 | 2010 |
| 49 | Serbia | 528,253 | 2010 |
| 50 | Moldova | 492,181 | 2010 |
| 51 | Saudi Arabia | 488,598 | 2010 |
| 52 | Niue | 397,270 | 2010 |
| 53 | Philippines | 394,990 | 2010 |
| 54 | United Arab Emirates | 379,309 | 2010 |
| 55 | Iceland | 344,748 | 2010 |
| 56 | Malaysia | 344,452 | 2010 |
| 57 | Pakistan | 330,466 | 2010 |
| 58 | Korea, South | 291,329 | 2010 |
