CIA - The World Factbook -- Field Listing :: Crude oil - production   

This entry is the total amount of crude oil produced, in barrels per day (bbl/day).

| Country | Crude oil - production(bbl/day) |
| --- | --- |
| **Afghanistan** | 1,950 bbl/day (2012 est.) |
| **Albania** | 15,520 bbl/day (2011 est.) |
| **Algeria** | 1.885 million bbl/day (2011 est.) |
| **American Samoa** | 0 bbl/day (2011 est.) |
| **Angola** | 1.84 million bbl/day (2011 est.) |
| **Antigua and Barbuda** | 0 bbl/day (2011 est.) |
| **Argentina** | 734,000 bbl/day (2011 est.) |
| **Armenia** | 0 bbl/day (2011 est.) |
| **Aruba** | 0 bbl/day (2011 est.) |
| **Australia** | 482,500 bbl/day (2011 est.) |
| **Austria** | 25,750 bbl/day (2011 est.) |
| **Azerbaijan** | 987,000 bbl/day (2011 est.) |
| **Bahamas, The** | 0 bbl/day (2011 est.) |
| **Bahrain** | 45,000 bbl/day (2011 est.) |
| **Bangladesh** | 5,200 bbl/day (2011 est.) |
| **Barbados** | 1,000 bbl/day (2011 est.) |
| **Belarus** | 30,000 bbl/day (2011 est.) |
| **Belgium** | 0 bbl/day (2011 est.) |
| **Belize** | 4,000 bbl/day (2011 est.) |
| **Benin** | 0 bbl/day (2011 est.) |
| **Bermuda** | 0 bbl/day (2011 est.) |
| **Bhutan** | 0 bbl/day (2011 est.) |
| **Bolivia** | 48,570 bbl/day (2011 est.) |
| **Bosnia and Herzegovina** | 0 bbl/day (2011 est.) |
| **Botswana** | 0 bbl/day (2011 est.) |
| **Brazil** | 2.633 million bbl/day (2011 est.) |
| **British Virgin Islands** | 0 bbl/day (2011 est.) |
| **Brunei** | 149,900 bbl/day (2011 est.) |
| **Bulgaria** | 1,000 bbl/day (2011 est.) |
| **Burkina Faso** | 0 bbl/day (2011 est.) |
| **Burma** | 20,200 bbl/day (2011 est.) |
| **Burundi** | 0 bbl/day (2011 est.) |
| **Cambodia** | 0 bbl/day (2011 est.) |
| **Cameroon** | 61,580 bbl/day (2011 est.) |
| **Canada** | 3.592 million bbl/day (2011 est.) |
| **Cape Verde** | 0 bbl/day (2011 est.) |
| **Cayman Islands** | 0 bbl/day (2011 est.) |
| **Central African Republic** | 0 bbl/day (2011 est.) |
