Field Listing :: Crude oil - production :: The World Factbook - Central Intelligence Agency

This entry is the total amount of crude oil produced, in barrels per day (bbl/day).

| Country | Crude oil - production |
| --- | --- |
| **Afghanistan** | 0 bbl/day (2018 est.) |
| **Albania** | 14,000 bbl/day (2018 est.) |
| **Algeria** | 1.259 million bbl/day (2018 est.) |
| **American Samoa** | 0 bbl/day (2018 est.) |
| **Andorra** | 0 bbl/day (2016) |
| **Angola** | 1.593 million bbl/day (2018 est.) |
| **Antarctica** | 0 bbl/day (2018 est.) |
| **Antigua and Barbuda** | 0 bbl/day (2018 est.) |
| **Argentina** | 489,000 bbl/day (2018 est.) |
| **Armenia** | 0 bbl/day (2018 est.) |
| **Aruba** | 0 bbl/day (2018 est.) |
| **Australia** | 284,000 bbl/day (2018 est.) |
| **Austria** | 13,000 bbl/day (2018 est.) |
| **Azerbaijan** | 798,000 bbl/day (2018 est.) |
| **Bahamas, The** | 0 bbl/day (2018 est.) |
| **Bahrain** | 40,000 bbl/day (2018 est.) |
| **Bangladesh** | 3,000 bbl/day (2018 est.) |
| **Barbados** | 1,000 bbl/day (2018 est.) |
| **Belarus** | 31,000 bbl/day (2018 est.) |
| **Belgium** | 0 bbl/day (2018 est.) |
| **Belize** | 2,000 bbl/day (2018 est.) |
| **Benin** | 0 bbl/day (2018 est.) |
| **Bermuda** | 0 bbl/day (2018 est.) |
| **Bhutan** | 0 bbl/day (2018 est.) |
| **Bolivia** | 60,000 bbl/day (2018 est.) |
| **Bosnia and Herzegovina** | 0 bbl/day (2018 est.) |
| **Botswana** | 0 bbl/day (2018 est.) |
| **Brazil** | 2.587 million bbl/day (2018 est.) |
| **British Virgin Islands** | 0 bbl/day (2018 est.) |
| **Brunei** | 100,000 bbl/day (2018 est.) |
| **Bulgaria** | 1,000 bbl/day (2018 est.) |
| **Burkina Faso** | 0 bbl/day (2018 est.) |
| **Burma** | 11,000 bbl/day (2018 est.) |
| **Burundi** | 0 bbl/day (2018 est.) |
| **Cabo Verde** | 0 bbl/day (2018 est.) |
| **Cambodia** | 0 bbl/day (2018 est.) |
