Field Listing :: Crude oil - production :: The World Factbook - Central Intelligence Agency

This entry is the total amount of crude oil produced, in barrels per day (bbl/day).

| Country | Crude oil - production |
| **Lithuania** | 2,000 bbl/day (2017 est.) |
| **Luxembourg** | 0 bbl/day (2017 est.) |
| **Macau** | 0 bbl/day (2017 est.) |
| **Macedonia** | 0 bbl/day (2017 est.) |
| **Madagascar** | 0 bbl/day (2017 est.) |
| **Malawi** | 0 bbl/day (2017 est.) |
| **Malaysia** | 647,900 bbl/day (2017 est.) |
| **Maldives** | 0 bbl/day (2017 est.) |
| **Mali** | 0 bbl/day (2017 est.) |
| **Malta** | 0 bbl/day (2017 est.) |
| **Marshall Islands** | 0 bbl/day (2017 est.) |
| **Mauritania** | 4,000 bbl/day (2017 est.) |
| **Mauritius** | 0 bbl/day (2017 est.) |
| **Mexico** | 1.981 million bbl/day (2017 est.) |
| **Micronesia, Federated States of** | 0 bbl/day (2014) |
| **Moldova** | 0 bbl/day (2017 est.) |
| **Mongolia** | 20,000 bbl/day (2017 est.) |
| **Montenegro** | 0 bbl/day (2017 est.) |
| **Montserrat** | 0 bbl/day (2017 est.) |
| **Morocco** | 160 bbl/day (2017 est.) |
| **Mozambique** | 0 bbl/day (2017 est.) |
| **Namibia** | 0 bbl/day (2017 est.) |
| **Nauru** | 0 bbl/day (2017 est.) |
| **Nepal** | 0 bbl/day (2017 est.) |
| **Netherlands** | 18,170 bbl/day (2017 est.) |
| **New Caledonia** | 0 bbl/day (2017 est.) |
| **New Zealand** | 31,480 bbl/day (2017 est.) |
| **Nicaragua** | 0 bbl/day (2017 est.) |
| **Niger** | 11,000 bbl/day (2017 est.) |
| **Nigeria** | 1.946 million bbl/day (2017 est.) |
| **Niue** | 0 bbl/day (2017 est.) |
| **Norway** | 1.618 million bbl/day (2017 est.) |
| **Oman** | 970,400 bbl/day (2017 est.) |
| **Pakistan** | 89,720 bbl/day (2017 est.) |
| **Panama** | 0 bbl/day (2017 est.) |
| **Papua New Guinea** | 50,000 bbl/day (2017 est.) |
| **Paraguay** | 0 bbl/day (2017 est.) |
| **Peru** | 43,520 bbl/day (2017 est.) |
| **Philippines** | 15,000 bbl/day (2017 est.) |
| **Poland** | 20,070 bbl/day (2017 est.) |
| **Portugal** | 0 bbl/day (2017 est.) |
| **Puerto Rico** | 0 bbl/day (2017 est.) |
| **Qatar** | 1.5 million bbl/day (2017 est.) |
| **Romania** | 73,740 bbl/day (2017 est.) |
| **Russia** | 10.58 million bbl/day (2017 est.) |
| **Rwanda** | 0 bbl/day (2017 est.) |
| **Saint Helena, Ascension, and Tristan da Cunha** | 0 bbl/day (2017 est.) |
| **Saint Kitts and Nevis** | 0 bbl/day (2017 est.) |
| **Saint Lucia** | 0 bbl/day (2017 est.) |
| **Saint Pierre and Miquelon** | 0 bbl/day (2017 est.) |
| **Saint Vincent and the Grenadines** | 0 bbl/day (2017 est.) |
| **Samoa** | 0 bbl/day (2017 est.) |
| **Sao Tome and Principe** | 0 bbl/day (2017 est.) |
| **Saudi Arabia** | 10.13 million bbl/day (2017 est.) |
| **Senegal** | 0 bbl/day (2017 est.) |
| **Serbia** | 18,740 bbl/day (2017 est.) |
| **Seychelles** | 0 bbl/day (2017 est.) |
| **Sierra Leone** | 0 bbl/day (2017 est.) |
| **Singapore** | 0 bbl/day (2017 est.) |
| **Slovakia** | 200 bbl/day (2017 est.) |
| **Slovenia** | 5 bbl/day (2017 est.) |
| **Solomon Islands** | 0 bbl/day (2017 est.) |
| **Somalia** | 0 bbl/day (2017 est.) |
| **South Africa** | 2,000 bbl/day (2017 est.) |
| **South Sudan** | 150,200 bbl/day (2017 est.) |
| **Spain** | 2,252 bbl/day (2017 est.) |
| **Sri Lanka** | 0 bbl/day (2017 est.) |
| **Sudan** | 102,300 bbl/day (2017 est.) |
| **Suriname** | 17,000 bbl/day (2017 est.) |
| **Svalbard** | 194,300 bbl/day (2014 est.) |
| **Sweden** | 0 bbl/day (2017 est.) |
| **Switzerland** | 0 bbl/day (2017 est.) |
| **Syria** | 14,000 bbl/day (2017 est.) |
| **Taiwan** | 196 bbl/day (2017 est.) |
| **Tajikistan** | 180 bbl/day (2017 est.) |
| **Tanzania** | 0 bbl/day (2017 est.) |
| **Thailand** | 239,700 bbl/day (2017 est.) |
| **Timor-Leste** | 40,320 bbl/day (2017 est.) |
| **Togo** | 0 bbl/day (2017 est.) |
| **Tonga** | 71,800 bbl/day (2017 est.) |
| **Trinidad and Tobago** | 36,620 bbl/day (2017 est.) |
| **Tunisia** | 49,170 bbl/day (2017 est.) |
| **Turkey** | 245,000 bbl/day (2017 est.) |
| **Turkmenistan** | 0 bbl/day (2017 est.) |
| **Turks and Caicos Islands** | 0 bbl/day (2017 est.) |
| **Tuvalu** | 0 bbl/day (2014 est.) |
| **Uganda** | 0 bbl/day (2017 est.) |
| **Ukraine** | 29,650 bbl/day (2017 est.) |
| **United Arab Emirates** | 3.174 million bbl/day (2017 est.) |
| **United Kingdom** | 910,500 bbl/day (2017 est.) |
| **United States** | 9.352 million bbl/day (2017 est.) |
| **Uruguay** | 0 bbl/day (2017 est.) |
| **Uzbekistan** | 46,070 bbl/day (2017 est.) |
| **Vanuatu** | 0 bbl/day (2017 est.) |
| **Venezuela** | 2.007 million bbl/day (2017 est.) |
| **Vietnam** | 271,400 bbl/day (2017 est.) |
| **Virgin Islands** | 0 bbl/day (2017 est.) |
| **West Bank** | 0 bbl/day (2017 est.) |
| **Western Sahara** | 0 bbl/day (2017 est.) |
| **World** | 80.77 million bbl/day (2016 est.) |
| **Yemen** | 12,260 bbl/day (2017 est.) |
| **Zambia** | 0 bbl/day (2017 est.) |
| **Zimbabwe** | 0 bbl/day (2017 est.) |

