CIA - The World Factbook --  Stock of money   

| Rank | country | Stock of money | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 5,542,000,000,000 | 31 December 2008 |
| 2 | Japan | $ 5,417,000,000,000 | 31 December 2008 |
| 3 | China | $ 2,434,000,000,000 | 31 December 2008 |
| 4 | United States | $ 1,436,000,000,000 | 31 December 2008 |
| 5 | Burma | $ 622,600,000,000 | 31 December 2008 |
| 6 | Canada | $ 356,200,000,000 | 31 December 2008 |
| 7 | India | $ 278,800,000,000 | 31 December 2009 |
| 8 | Switzerland | $ 275,500,000,000 | 31 December 2008 est. |
| 9 | Russia | $ 252,500,000,000 | 31 December 2008 |
| 10 | Australia | $ 248,500,000,000 | 31 December 2008 |
| 11 | Sweden | $ 185,400,000,000 | 31 December 2008 |
| 12 | Denmark | $ 155,600,000,000 | 31 December 2009 |
| 13 | Hong Kong | $ 127,300,000,000 | 31 December 2009 |
| 14 | Brazil | $ 125,000,000,000 | 30 November 2009 |
| 15 | Poland | $ 118,200,000,000 | 31 December 2008 |
| 16 | Mexico | $ 115,900,000,000 | 31 December 2009 est. |
| 17 | Saudi Arabia | $ 113,600,000,000 | 31 December 2008 |
| 18 | Czech Republic | $ 86,560,000,000 | 31 December 2008 |
| 19 | Venezuela | $ 78,090,000,000 | 31 December 2008 |
| 20 | Syria | $ 73,540,000,000 | 31 December 2008 |
| 21 | Korea, South | $ 73,160,000,000 | 31 December 2008 |
| 22 | Morocco | $ 69,250,000,000 | 31 December 2008 |
| 23 | Algeria | $ 60,910,000,000 | 31 December 2008 |
| 24 | United Arab Emirates | $ 56,710,000,000 | 31 December 2008 |
| 25 | Singapore | $ 52,570,000,000 | 31 December 2008 |
| 26 | Malaysia | $ 51,510,000,000 | 31 December 2008 |
| 27 | Iran | $ 44,790,000,000 | 31 December 2008 |
| 28 | South Africa | $ 44,660,000,000 | 31 December 2008 |
| 29 | Indonesia | $ 41,710,000,000 | 31 December 2008 |
| 30 | Turkey | $ 37,100,000,000 | 31 December 2009 |
| 31 | Thailand | $ 35,350,000,000 | 31 December 2009 |
| 32 | Nigeria | $ 35,290,000,000 | 31 December 2008 |
| 33 | Argentina | $ 32,570,000,000 | 31 December 2008 |
| 34 | Egypt | $ 31,720,000,000 | 31 December 2008 |
| 35 | Hungary | $ 30,270,000,000 | 31 December 2009 |
| 36 | Libya | $ 26,660,000,000 | 31 December 2008 |
| 37 | Iraq | $ 26,100,000,000 | 31 December 2008 |
| 38 | Vietnam | $ 25,520,000,000 | 31 December 2008 |
| 39 | Romania | $ 25,300,000,000 | 31 December 2008 |
| 40 | Colombia | $ 25,010,000,000 | 31 December 2009 |
| 41 | Ukraine | $ 24,700,000,000 | 31 December 2009 |
| 42 | Philippines | $ 24,320,000,000 | 30 November 2009 |
| 43 | New Zealand | $ 20,170,000,000 | 31 December 2008 |
| 44 | Israel | $ 18,900,000,000 | 31 December 2008 |
| 45 | Kazakhstan | $ 16,120,000,000 | 31 December 2008 |
| 46 | Kuwait | $ 16,050,000,000 | 31 December 2009 |
| 47 | Peru | $ 15,480,000,000 | 31 December 2008 |
| 48 | Chile | $ 14,720,000,000 | 31 December 2008 |
| 49 | Qatar | $ 14,590,000,000 | 31 December 2009 |
| 50 | Bulgaria | $ 12,630,000,000 | 31 December 2009 |
| 51 | Slovenia | $ 10,500,000,000 | 30 September 2009 |
| 52 | Bangladesh | $ 10,350,000,000 | 30 September 2009 |
| 53 | Tunisia | $ 10,070,000,000 | 31 December 2009 |
| 54 | Croatia | $ 9,270,000,000 | 31 December 2009 |
| 55 | Ecuador | $ 9,215,000,000 | 31 December 2009 |
| 56 | Lithuania | $ 8,550,000,000 | January 2010 |
| 57 | Angola | $ 8,446,000,000 | 31 December 2008 |
| 58 | Jordan | $ 7,781,000,000 | 31 December 2008 |
| 59 | Latvia | $ 6,688,000,000 | 31 December 2008 |
| 60 | Azerbaijan | $ 6,381,000,000 | 31 December 2008 |
| 61 | Sudan | $ 6,256,000,000 | 31 December 2008 |
| 62 | Estonia | $ 6,106,000,000 | 31 December 2008 |
| 63 | Guatemala | $ 6,106,000,000 | 31 December 2008 |
| 64 | Kenya | $ 6,068,000,000 | 31 December 2008 |
| 65 | Oman | $ 5,250,000,000 | 31 December 2008 |
| 66 | Bahrain | $ 4,997,000,000 | 31 December 2008 |
| 67 | Ethiopia | $ 4,930,000,000 | 31 December 2008 |
| 68 | Belarus | $ 4,872,000,000 | 31 December 2008 |
| 69 | Iceland | $ 4,830,000,000 | 30 September 2009 |
| 70 | Malta | $ 4,639,000,000 | 31 January 2008 |
| 71 | Macau | $ 4,550,000,000 | 31 December 2009 |
| 72 | Bosnia and Herzegovina | $ 4,490,000,000 | 31 December 2008 |
| 73 | Cote d'Ivoire | $ 4,242,000,000 | 31 December 2008 |
| 74 | Costa Rica | $ 4,209,000,000 | 31 December 2008 |
| 75 | Bolivia | $ 3,998,000,000 | 31 December 2008 |
| 76 | Panama | $ 3,764,000,000 | 31 December 2008 |
| 77 | Serbia | $ 3,690,000,000 | 31 December 2009 |
| 78 | Dominican Republic | $ 3,619,000,000 | 31 December 2008 |
| 79 | Yemen | $ 3,489,000,000 | 31 October 2009 |
| 80 | Brunei | $ 3,374,000,000 | 30 March 2009 |
| 81 | Lebanon | $ 3,212,000,000 | 30 November 2009 |
| 82 | Trinidad and Tobago | $ 3,047,000,000 | 31 December 2008 |
| 83 | Albania | $ 3,028,000,000 | 31 December 2008 |
| 84 | Cameroon | $ 2,881,000,000 | 31 December 2008 |
| 85 | Senegal | $ 2,658,000,000 | 31 December 2008 |
| 86 | Nepal | $ 2,530,000,000 | 31 July 2009 |
| 87 | Tanzania | $ 2,464,000,000 | 31 December 2008 |
| 88 | Sri Lanka | $ 2,462,000,000 | 31 December 2008 |
| 89 | Uruguay | $ 2,247,000,000 | 31 December 2008 |
| 90 | Paraguay | $ 2,062,000,000 | 31 December 2008 |
| 91 | Papua New Guinea | $ 2,005,000,000 | 31 December 2008 |
| 92 | Namibia | $ 1,983,000,000 | 31 December 2008 |
| 93 | Congo, Republic of the | $ 1,811,000,000 | 31 December 2008 |
| 94 | Afghanistan | $ 1,688,000,000 | 31 December 2008 |
| 95 | Mauritius | $ 1,680,000,000 | 31 December 2008 |
| 96 | Gabon | $ 1,643,000,000 | 31 December 2008 |
| 97 | Barbados | $ 1,637,000,000 | 31 December 2008 |
| 98 | Honduras | $ 1,633,000,000 | 31 December 2008 |
| 99 | Benin | $ 1,592,000,000 | 31 December 2008 |
| 100 | Mali | $ 1,559,000,000 | 31 December 2008 |
| 101 | Uganda | $ 1,483,000,000 | 31 December 2008 |
| 102 | Mozambique | $ 1,406,000,000 | 31 December 2008 |
| 103 | Armenia | $ 1,359,000,000 | 31 December 2008 |
| 104 | Bahamas, The | $ 1,255,000,000 | 31 December 2008 |
| 105 | Jamaica | $ 1,253,000,000 | 31 December 2008 |
| 106 | Macedonia | $ 1,224,000,000 | 31 December 2009 |
| 107 | Madagascar | $ 1,216,000,000 | 31 December 2008 |
| 108 | Moldova | $ 1,116,000,000 | 31 December 2008 |
| 109 | Equatorial Guinea | $ 1,110,000,000 | 31 December 2008 |
| 110 | Georgia | $ 1,077,000,000 | 31 December 2009 |
| 111 | Burkina Faso | $ 1,068,000,000 | 31 December 2008 |
| 112 | Zambia | $ 1,034,000,000 | 31 December 2008 |
| 113 | Botswana | $ 1,008,000,000 | 31 December 2008 |
| 114 | Chad | $ 934,900,000 | 31 December 2008 |
| 115 | Eritrea | $ 896,200,000 | 31 December 2008 |
| 116 | Slovakia | $ 847,300,000 | 31 December 2008 |
| 117 | Montenegro | $ 816,800,000 | 31 December 2008 |
| 118 | Aruba | $ 781,000,000 | 31 December 2008 |
| 119 | Fiji | $ 738,600,000 | 31 December 2008 |
| 120 | Togo | $ 712,600,000 | 31 December 2008 |
| 121 | Laos | $ 691,100,000 | 31 December 2009 |
| 122 | Tajikistan | $ 656,100,000 | 31 December 2008 |
| 123 | Niger | $ 617,900,000 | 31 December 2008 |
| 124 | Congo, Democratic Republic of the | $ 613,900,000 | 31 December 2008 |
| 125 | Cambodia | $ 591,700,000 | 31 December 2008 |
| 126 | Cape Verde | $ 563,400,000 | 31 December 2008 |
| 127 | Nicaragua | $ 507,500,000 | 31 December 2008 |
| 128 | Malawi | $ 502,100,000 | 31 December 2008 |
| 129 | Suriname | $ 484,700,000 | 31 December 2008 |
| 130 | Djibouti | $ 462,700,000 | 31 December 2008 |
| 131 | Maldives | $ 460,000,000 | 31 October 2009 |
| 132 | Mongolia | $ 451,400,000 | 31 December 2009 |
| 133 | Lesotho | $ 416,500,000 | 31 December 2008 |
| 134 | Belize | $ 345,700,000 | 31 December 2008 |
| 135 | Guyana | $ 344,200,000 | 31 December 2008 |
| 136 | Cayman Islands | $ 334,300,000 | 31 December 2008 |
| 137 | Antigua and Barbuda | $ 296,400,000 | 31 December 2008 |
| 138 | Burundi | $ 261,600,000 | 31 December 2008 |
| 139 | Saint Lucia | $ 261,300,000 | 31 December 2008 |
| 140 | Central African Republic | $ 241,300,000 | 31 December 2008 |
| 141 | Rwanda | $ 233,600,000 | 31 December 2005 |
| 142 | Sierra Leone | $ 219,100,000 | 31 December 2008 |
| 143 | El Salvador | $ 213,700,000 | 31 December 2008 |
| 144 | Swaziland | $ 211,800,000 | 31 December 2008 |
| 145 | Liberia | $ 206,900,000 | 31 December 2008 |
| 146 | Gambia, The | $ 192,900,000 | 31 December 2008 |
| 147 | Seychelles | $ 173,100,000 | 31 December 2008 |
| 148 | Guinea-Bissau | $ 171,200,000 | 31 December 2008 |
| 149 | Saint Vincent and the Grenadines | $ 150,800,000 | 31 December 2008 |
| 150 | Grenada | $ 141,400,000 | 31 December 2008 |
| 151 | Saint Kitts and Nevis | $ 107,200,000 | 31 December 2008 |
| 152 | Timor-Leste | $ 102,800,000 | 31 December 2008 |
| 153 | Vanuatu | $ 101,600,000 | 31 December 2008 |
| 154 | Comoros | $ 100,600,000 | 31 December 2008 |
| 155 | Solomon Islands | $ 86,960,000 | 31 December 2008 |
| 156 | Dominica | $ 72,100,000 | 31 December 2008 |
| 157 | Samoa | $ 60,130,000 | 31 December 2008 |
| 158 | Tonga | $ 36,160,000 | 31 December 2008 |
| 159 | Sao Tome and Principe | $ 27,840,000 | 31 December 2008 |
| 160 | Micronesia, Federated States of | $ 21,210,000 | 31 December 2008 |
| 161 | Anguilla | $ 21,120,000 | 31 December 2008 |
| 162 | Montserrat | $ 16,710,000 | 31 December 2008 |
