CIA - The World Factbook -- Field Listing - Oil - production

| Country | Oil - production (bbl/day) |
| **Ireland** | 0 bbl/day (2001 est.) |
| **Israel** | 80 bbl/day (2001 est.) |
| **Italy** | 79,460 bbl/day (2001 est.) |
| **Jamaica** | 0 bbl/day (2001 est.) |
| **Japan** | 17,330 bbl/day (2001 est.) |
| **Jordan** | 40 bbl/day (2001 est.) |
| **Kazakhstan** | 798,200 bbl/day (2001 est.) |
| **Kenya** | 0 bbl/day (2001 est.) |
| **Kiribati** | 0 bbl/day (2001 est.) |
| **Korea, North** | 0 bbl/day (2001 est.) |
| **Korea, South** | 0 bbl/day (2001 est.) |
| **Kuwait** | 2.27 million bbl/day (2003 est.) |
| **Kyrgyzstan** | 2,000 bbl/day (2001 est.) |
| **Laos** | 0 bbl/day (2001 est.) |
| **Latvia** | 0 bbl/day (2001 est.) |
| **Lebanon** | 0 bbl/day (2001 est.) |
| **Lesotho** | 0 bbl/day (2001 est.) |
| **Liberia** | 0 bbl/day (2001 est.) |
| **Libya** | 1.429 million bbl/day (2001 est.) |
| **Lithuania** | 4,594 bbl/day (2001 est.) |
| **Luxembourg** | 0 bbl/day (2001 est.) |
| **Macau** | 0 bbl/day (2001 est.) |
| **Macedonia** | 0 bbl/day (2001 est.) |
| **Madagascar** | 0 bbl/day (2001 est.) |
| **Malawi** | 0 bbl/day (2001 est.) |
| **Malaysia** | 690,000 bbl/day (2003 est.) |
| **Maldives** | 0 bbl/day (2001 est.) |
| **Mali** | 0 bbl/day (2001 est.) |
| **Malta** | 0 bbl/day (2001 est.) |
| **Martinique** | 0 bbl/day (2001 est.) |
| **Mauritania** | 0 bbl/day (2001 est.) |
| **Mauritius** | 0 bbl/day (2001 est.) |
| **Mexico** | 3.59 million bbl/day (2001 est.) |
| **Moldova** | 0 bbl/day (2001 est.) |
| **Mongolia** | 0 bbl/day (2001 est.) |
| **Montserrat** | 0 bbl/day (2001 est.) |
| **Morocco** | 400 bbl/day (2001 est.) |
| **Mozambique** | 0 bbl/day (2001 est.) |
| **Namibia** | 0 bbl/day (2001 est.) |
| **Nauru** | 0 bbl/day (2001 est.) |
| **Nepal** | 0 bbl/day (2001 est.) |
| **Netherlands** | 46,200 bbl/day (2001 est.) |
| **Netherlands Antilles** | 0 bbl/day (2001 est.) |
| **New Caledonia** | 0 bbl/day (2001 est.) |
| **New Zealand** | 42,160 bbl/day (2001 est.) |
| **Nicaragua** | 0 bbl/day (2001 est.) |
| **Niger** | 0 bbl/day (2001 est.) |
| **Nigeria** | 2.256 million bbl/day (2001 est.) |
| **Niue** | 0 bbl/day (2001 est.) |
| **Norway** | 3.408 million bbl/day (2001 est.) |
| **Oman** | 963,800 bbl/day (2001 est.) |
| **Pakistan** | 62,870 bbl/day (2001 est.) |
| **Panama** | 0 bbl/day (2001 est.) |
| **Papua New Guinea** | 67,500 bbl/day (2001 est.) |
| **Paraguay** | 0 bbl/day (2001 est.) |
| **Peru** | 95,100 bbl/day (2001 est.) |
| **Philippines** | 8,460 bbl/day (2001 est.) |
| **Poland** | 17,180 bbl/day (2001 est.) |
| **Portugal** | 0 bbl/day (2001 est.) |
| **Puerto Rico** | 0 bbl/day (2001 est.) |
| **Qatar** | 864,200 bbl/day (2001 est.) |
| **Reunion** | 0 bbl/day (2001 est.) |
| **Romania** | 127,500 bbl/day (2001 est.) |
| **Russia** | 7.286 million bbl/day (2001 est.) |
| **Rwanda** | 0 bbl/day (2001 est.) |
| **Saint Helena** | 0 bbl/day (2001 est.) |
| **Saint Kitts and Nevis** | 0 bbl/day (2001 est.) |
| **Saint Lucia** | 0 bbl/day (2001 est.) |
| **Saint Pierre and Miquelon** | 0 bbl/day (2001 est.) |
| **Saint Vincent and the Grenadines** | 0 bbl/day (2001 est.) |
| **Samoa** | 0 bbl/day (2001 est.) |
| **Sao Tome and Principe** | 0 bbl/day (2001 est.) |
| **Saudi Arabia** | 8.711 million bbl/day (2001 est.) |
| **Senegal** | 0 bbl/day (2001 est.) |
| **Serbia and Montenegro** | 15,000 bbl/day (2001 est.) |
| **Seychelles** | 0 bbl/day (2001 est.) |
| **Sierra Leone** | 0 bbl/day (2001 est.) |
| **Singapore** | 0 bbl/day (2001 est.) |
| **Slovakia** | 1,000 bbl/day (2001 est.) |
| **Slovenia** | 20 bbl/day NA bbl/day (2001 est.) |
| **Solomon Islands** | 0 bbl/day (2001 est.) |
| **Somalia** | 0 bbl/day (2001 est.) |
| **South Africa** | 196,200 bbl/day (2001 est.) |
| **Spain** | 7,099 bbl/day (2001 est.) |
| **Sri Lanka** | 0 bbl/day (2001 est.) |
| **Sudan** | 209,100 bbl/day (2001 est.) |
| **Suriname** | 10,000 bbl/day (2001 est.) |
| **Swaziland** | 0 bbl/day (2001 est.) |
| **Sweden** | 0 bbl/day (2001 est.) |
| **Switzerland** | 0 bbl/day (2001 est.) |
| **Syria** | 522,700 bbl/day (2001 est.) |
| **Taiwan** | 1,100 bbl/day (2001 est.) |
| **Tajikistan** | 250 bbl/day (2001 est.) |
| **Tanzania** | 0 bbl/day (2001 est.) |
| **Thailand** | 173,800 bbl/day (2001 est.) |
| **Togo** | 0 bbl/day (2001 est.) |
| **Tonga** | 0 bbl/day (2001 est.) |
| **Trinidad and Tobago** | 136,200 bbl/day (2001 est.) |
| **Tunisia** | 72,580 bbl/day (2001 est.) |
| **Turkey** | 48,000 bbl/day (2001 est.) |
| **Turkmenistan** | 162,500 bbl/day (2001 est.) |
| **Turks and Caicos Islands** | 0 bbl/day NA (2001 est.) |
| **Uganda** | 0 bbl/day (2001 est.) |
| **Ukraine** | 86,490 bbl/day (2001 est.) |
| **United Arab Emirates** | 2.566 million bbl/day (2001 est.) |
| **United Kingdom** | 2.541 million bbl/day (2001 est.) |
| **United States** | 8.054 million bbl/day (2001 est.) |
| **Uruguay** | 0 bbl/day (2001 est.) |
| **Uzbekistan** | 142,700 bbl/day (2001 est.) |
| **Vanuatu** | 0 bbl/day (2001 est.) |
| **Venezuela** | 3.08 million bbl/day (2001 est.) |
| **Vietnam** | 356,700 bbl/day (2001 est.) |
| **Virgin Islands** | 0 bbl/day (2001 est.) |
| **Western Sahara** | 0 bbl/day (2001 est.) |
| **World** | 75.34 million bbl/day (2001 est.) |
| **Yemen** | 438,500 bbl/day (2001 est.) |
| **Zambia** | 0 bbl/day (2001 est.) |
| **Zimbabwe** | 0 bbl/day (2001 est.) |

This page was last updated on 10 February, 2005
 
