CIA - The World Factbook --  GDP (official exchange rate)   

| Rank | country | GDP (official exchange rate) | Date of Information |
| 103 | Korea, North | $ 28,000,000,000 | 2009 est. |
| 104 | Cameroon | $ 27,880,000,000 | 2013 est. |
| 105 | Trinidad and Tobago | $ 27,130,000,000 | 2013 est. |
| 106 | El Salvador | $ 24,670,000,000 | 2013 est. |
| 107 | Estonia | $ 24,280,000,000 | 2013 est. |
| 108 | Uganda | $ 22,600,000,000 | 2013 est. |
| 109 | Zambia | $ 22,240,000,000 | 2013 est. |
| 110 | Cyprus | $ 21,780,000,000 | 2013 est. |
| 111 | Afghanistan | $ 20,650,000,000 | 2013 est. |
| 112 | Gabon | $ 19,970,000,000 | 2013 est. |
| 113 | Nepal | $ 19,340,000,000 | 2013 est. |
| 114 | Honduras | $ 18,880,000,000 | 2013 est. |
| 115 | Bosnia and Herzegovina | $ 18,870,000,000 | 2013 est. |
| 116 | Congo, Democratic Republic of the | $ 18,560,000,000 | 2013 est. |
| 117 | Equatorial Guinea | $ 17,080,000,000 | 2013 est. |
| 118 | Brunei | $ 16,560,000,000 | 2013 est. |
| 119 | Papua New Guinea | $ 16,100,000,000 | 2013 est. |
| 120 | Georgia | $ 15,950,000,000 | 2013 est. |
| 121 | Cambodia | $ 15,640,000,000 | 2013 est. |
| 122 | Botswana | $ 15,530,000,000 | 2013 est. |
| 123 | Senegal | $ 15,360,000,000 | 2013 est. |
| 124 | Mozambique | $ 14,670,000,000 | 2013 est. |
| 125 | Iceland | $ 14,590,000,000 | 2013 est. |
| 126 | Jamaica | $ 14,390,000,000 | 2013 est. |
| 127 | Congo, Republic of the | $ 14,250,000,000 | 2013 est. |
| 128 | Chad | $ 13,590,000,000 | 2013 est. |
| 129 | Albania | $ 12,800,000,000 | 2013 est. |
| 130 | Namibia | $ 12,300,000,000 | 2013 est. |
| 131 | Burkina Faso | $ 12,130,000,000 | 2013 est. |
| 132 | Mauritius | $ 11,900,000,000 | 2013 est. |
