CIA - The World Factbook --  Land use   

This entry contains the percentage shares of total land area for three different types of land use: arable land - land cultivated for crops like wheat, maize, and rice that are replanted after each harvest; permanent crops - land cultivated for crops like citrus, coffee, and rubber that are not replanted after each harvest; includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber; other - any land not arable or under permanent crops; includes permanent meadows and pastures, forests and woodlands, built-on areas, roads, barren land, etc.

| Rank | country | (%) | Date of Information |
| 125 | Japan | 87.46 | 2005 |
| 126 | Honduras | 87.26 | 2005 |
| 127 | Senegal | 87.25 | 2005 |
| 128 | Timor-Leste | 87.23 | 2005 |
| 129 | South Africa | 87.11 | 2005 |
| 130 | Saint Helena, Ascension, and Tristan da Cunha | 87.10 | 2005 |
| 131 | Palau | 86.95 | 2005 |
| 132 | Iraq | 86.27 | 2005 |
| 133 | Mexico | 86.06 | 2005 |
| 134 | Montenegro | 85.30 | NA |
| 135 | Cyprus | 84.87 | 2005 |
| 136 | Cameroon | 84.86 | 2005 |
| 137 | Seychelles | 84.79 | 2005 |
| 138 | Guinea-Bissau | 84.77 | 2005 |
| 139 | Georgia | 84.70 | 2005 |
| 140 | Fiji | 84.40 | 2005 |
| 141 | China | 83.87 | 2005 |
| 142 | Burma | 83.77 | 2005 |
| 143 | Nicaragua | 83.37 | 2005 |
| 144 | San Marino | 83.33 | 2005 |
| 145 | Ireland | 83.15 | 2005 |
| 146 | Nepal | 83.08 | 2005 |
| 147 | Northern Mariana Islands | 82.61 | 2005 |
| 148 | Austria | 82.56 | 2005 |
| 149 | Burkina Faso | 82.12 | 2005 |
| 150 | Indonesia | 81.93 | 2005 |
| 151 | United States | 81.78 | 2005 |
| 152 | Korea, South | 81.41 | 2005 |
| 153 | Armenia | 81.21 | 2005 |
| 154 | Guatemala | 81.18 | 2005 |
| 155 | Israel | 80.67 | 2005 |
| 156 | Bermuda | 80.00 | 2005 |
| 157 | Montserrat | 80.00 | 2005 |
| 158 | Morocco | 79.00 | 2005 |
| 159 | Cambodia | 78.97 | 2005 |
| 160 | Cote d'Ivoire | 78.61 | 2005 |
| 161 | Bosnia and Herzegovina | 78.50 | 2005 |
| 162 | Guam | 78.18 | 2005 |
| 163 | Malawi | 78.14 | 2005 |
| 164 | Saint Kitts and Nevis | 77.78 | 2005 |
| 165 | Antigua and Barbuda | 77.27 | 2005 |
| 166 | Netherlands | 77.27 | 2005 |
| 167 | Malaysia | 77.00 | 2005 |
| 168 | Azerbaijan | 76.77 | 2005 |
| 169 | United Kingdom | 76.57 | 2005 |
| 170 | Trinidad and Tobago | 76.22 | 2005 |
| 171 | Macedonia | 76.20 | 2005 |
| 172 | Korea, North | 75.94 | 2005 |
| 173 | Albania | 75.69 | 2005 |
| 174 | Taiwan | 75.00 | 2001 |
| 175 | Liechtenstein | 75.00 | 2005 |
| 176 | Cook Islands | 75.00 | 2005 |
| 177 | American Samoa | 75.00 | 2005 |
| 178 | Portugal | 74.87 | 2005 |
| 179 | Pakistan | 74.72 | 2005 |
| 180 | Jamaica | 74.16 | 2005 |
| 181 | Benin | 74.10 | 2005 |
| 182 | British Virgin Islands | 73.33 | 2005 |
| 183 | Ghana | 73.24 | 2005 |
| 184 | Niue | 73.08 | 2005 |
| 185 | Vietnam | 72.93 | 2005 |
| 186 | Belarus | 72.63 | 2005 |
| 187 | Dominica | 72.00 | 2005 |
| 188 | Croatia | 71.99 | 2005 |
| 189 | Luxembourg | 71.89 | 2005 |
| 190 | Belgium | 71.89 | 2005 |
| 191 | Gambia, The | 71.68 | 2005 |
| 192 | Latvia | 71.36 | 2005 |
| 193 | Saint Lucia | 70.97 | 2005 |
| 194 | Greece | 70.96 | 2005 |
| 195 | Sri Lanka | 70.80 | 2005 |
| 196 | Syria | 70.73 | 2005 |
| 197 | Lebanon | 69.90 | 2005 |
| 198 | Tunisia | 69.87 | 2005 |
| 199 | Uganda | 69.51 | 2005 |
| 200 | Bulgaria | 68.16 | 2005 |
| 201 | Slovakia | 68.10 | 2005 |
| 202 | Dominican Republic | 67.25 | 2005 |
| 203 | Turkey | 66.80 | 2005 |
| 204 | Tuvalu | 66.67 | 2005 |
| 205 | Germany | 66.27 | 2005 |
| 206 | Cuba | 65.83 | 2005 |
| 207 | Malta | 65.62 | 2005 |
| 208 | Thailand | 65.53 | 2005 |
| 209 | Tonga | 65.33 | 2005 |
| 210 | Grenada | 64.71 | 2005 |
| 211 | France | 64.51 | 2005 |
| 212 | Italy | 64.50 | 2005 |
| 213 | Philippines | 64.33 | 2005 |
| 214 | West Bank | 64.13 | 2001 |
| 215 | Saint Vincent and the Grenadines | 64.10 | 2005 |
| 216 | Nigeria | 63.84 | 2005 |
| 217 | Spain | 62.97 | 2005 |
| 218 | Barbados | 60.46 | 2005 |
| 219 | Haiti | 60.36 | 2005 |
| 220 | Poland | 58.75 | 2005 |
