CIA - The World Factbook --  Crude oil - exports   

This entry is the total amount of crude oil exported, in barrels per day (bbl/day).

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | World | 41,510,000 | 2009 est. |
| 2 | Saudi Arabia | 6,880,000 | 2011 est. |
| 3 | Russia | 5,430,000 | 2009 est. |
| 4 | Iraq | 2,600,000 | 2012 est. |
| 5 | Iran | 2,295,000 | 2009 est. |
| 6 | Nigeria | 2,051,000 | 2009 est. |
| 7 | United Arab Emirates | 2,036,000 | 2009 est. |
| 8 | Norway | 1,759,000 | 2009 est. |
| 9 | Angola | 1,757,000 | 2009 est. |
| 10 | Venezuela | 1,691,000 | 2009 est. |
| 11 | Kuwait | 1,365,000 | 2009 est. |
| 12 | Canada | 1,355,000 | 2009 est. |
| 13 | Mexico | 1,299,000 | 2009 est. |
| 14 | Kazakhstan | 1,078,000 | 2009 est. |
| 15 | Libya | 1,039,000 | 2009 est. |
| 16 | Azerbaijan | 821,000 | 2011 est. |
| 17 | United Kingdom | 788,900 | 2009 est. |
| 18 | Qatar | 704,300 | 2009 est. |
| 19 | Oman | 701,600 | 2009 est. |
| 20 | Algeria | 697,500 | 2009 est. |
| 21 | Brazil | 533,200 | 2009 est. |
| 22 | Sudan | 370,700 | 2009 est. |
| 23 | Colombia | 361,700 | 2009 est. |
| 24 | Ecuador | 341,900 | 2009 est. |
| 25 | Equatorial Guinea | 299,400 | 2009 est. |
| 26 | Indonesia | 293,100 | 2009 est. |
| 27 | Congo, Republic of the | 269,800 | 2009 est. |
| 28 | Vietnam | 267,500 | 2009 est. |
| 29 | Australia | 250,000 | 2009 est. |
| 30 | Malaysia | 236,400 | 2009 est. |
| 31 | Gabon | 226,800 | 2009 est. |
| 32 | Yemen | 191,100 | 2009 est. |
| 33 | Denmark | 171,100 | 2009 est. |
| 34 | Syria | 144,000 | 2009 est. |
| 35 | Brunei | 141,300 | 2009 est. |
| 36 | Chad | 115,000 | 2009 est. |
| 37 | Timor-Leste | 96,270 | 2009 est. |
| 38 | Argentina | 93,600 | 2009 est. |
| 39 | Egypt | 86,720 | 2009 est. |
| 40 | Turkmenistan | 67,000 | 2012 est. |
| 41 | Tunisia | 65,960 | 2009 est. |
| 42 | Cameroon | 64,740 | 2009 est. |
| 43 | Trinidad and Tobago | 55,240 | 2009 est. |
| 44 | China | 50,650 | 2011 est. |
| 45 | Cote d'Ivoire | 46,340 | 2009 est. |
| 46 | New Zealand | 45,180 | 2009 est. |
| 47 | United States | 43,800 | 2009 est. |
| 48 | Thailand | 39,820 | 2009 est. |
| 49 | Belarus | 34,320 | 2009 est. |
| 50 | Philippines | 28,000 | 2009 est. |
| 51 | Greece | 19,960 | 2009 est. |
| 52 | Peru | 18,880 | 2009 est. |
| 53 | Ghana | 14,000 | 2011 est. |
| 54 | Netherlands | 13,140 | 2009 est. |
| 55 | Guatemala | 12,620 | 2009 est. |
| 56 | Congo, Democratic Republic of the | 11,000 | 2009 est. |
| 57 | Mauritania | 10,000 | 2009 est. |
| 58 | Albania | 6,920 | 2009 est. |
| 59 | Italy | 6,300 | 2010 est. |
| 60 | Mongolia | 5,260 | 2009 est. |
| 61 | Poland | 4,520 | 2009 est. |
| 62 | Lithuania | 2,260 | 2009 est. |
| 63 | Germany | 2,200 | 2009 est. |
| 64 | Singapore | 900 | 2009 est. |
