CIA - The World Factbook --  Sex ratio   

This entry includes the number of males for each female in five age groups - at birth, under 15 years, 15-64 years, 65 years and over, and for the total population. Sex ratio at birth has recently emerged as an indicator of certain kinds of sex discrimination in some countries. For instance, high sex ratios at birth in some Asian countries are now attributed to sex-selective abortion and infanticide due to a strong preference for sons. This will affect future marriage patterns and fertility patterns. Eventually, it could cause unrest among young adult males who are unable to find partners.

| Rank | country | (male(s)/female) | Date of Information |
| --- | --- | --- | --- |
| 1 | United Arab Emirates | 2.75 | 2010 est. |
| 2 | Qatar | 2.44 | 2010 est. |
| 3 | United Arab Emirates | 2.20 | 2010 est. |
| 4 | Montserrat | 2.03 | 2010 est. |
| 5 | Qatar | 1.99 | 2010 est. |
| 6 | United Arab Emirates | 1.80 | 2010 est. |
| 7 | Kuwait | 1.79 | 2010 est. |
| 8 | Kuwait | 1.65 | 2010 est. |
| 9 | Maldives | 1.57 | 2010 est. |
| 10 | Kuwait | 1.54 | 2010 est. |
| 11 | Maldives | 1.40 | 2010 est. |
| 12 | Qatar | 1.36 | 2010 est. |
| 13 | Oman | 1.34 | 2010 est. |
| 14 | Bahrain | 1.33 | 2010 est. |
| 15 | Saudi Arabia | 1.27 | 2010 est. |
| 16 | Palau | 1.25 | 2010 est. |
| 17 | Bahrain | 1.24 | 2010 est. |
| 18 | Oman | 1.23 | 2010 est. |
| 19 | Papua New Guinea | 1.20 | 2010 est. |
| 20 | Saint Barthelemy | 1.19 | 2010 est. |
| 21 | China | 1.17 | 2010 est. |
| 22 | Saudi Arabia | 1.17 | 2010 est. |
| 23 | Armenia | 1.15 | 2010 est. |
| 24 | Greenland | 1.15 | 2010 est. |
| 25 | Georgia | 1.15 | 2010 est. |
| 26 | Northern Mariana Islands | 1.15 | 2010 est. |
| 27 | Mayotte | 1.15 | 2010 est. |
| 28 | Faroe Islands | 1.15 | 2010 est. |
| 29 | Curacao | 1.15 | 2010 |
| 30 | China | 1.14 | 2010 est. |
| 31 | San Marino | 1.14 | 2010 est. |
| 32 | Saint Barthelemy | 1.14 | 2010 est. |
| 33 | Macau | 1.14 | 2010 est. |
| 34 | Armenia | 1.13 | 2010 est. |
| 35 | Azerbaijan | 1.13 | 2010 est. |
| 36 | Bahrain | 1.13 | 2010 est. |
| 37 | Palau | 1.13 | 2010 est. |
| 38 | India | 1.13 | 2010 est. |
| 39 | Bhutan | 1.13 | 2010 est. |
| 40 | Cook Islands | 1.13 | 2010 est. |
| 41 | Azerbaijan | 1.12 | 2010 est. |
| 42 | Albania | 1.12 | 2010 est. |
| 43 | Bhutan | 1.12 | 2010 est. |
| 44 | Georgia | 1.12 | 2010 est. |
| 45 | Greenland | 1.12 | 2010 est. |
| 46 | India | 1.12 | 2010 est. |
| 47 | Vietnam | 1.12 | 2010 est. |
| 48 | Albania | 1.10 | 2010 est. |
| 49 | Wallis and Futuna | 1.10 | 2010 est. |
| 50 | Bhutan | 1.10 | 2010 est. |
| 51 | Korea, South | 1.10 | 2010 est. |
| 52 | Vietnam | 1.10 | 2010 est. |
| 53 | Turks and Caicos Islands | 1.10 | 2010 est. |
| 54 | Grenada | 1.10 | 2010 est. |
| 55 | Andorra | 1.09 | 2010 est. |
| 56 | Seychelles | 1.09 | 2010 est. |
| 57 | Portugal | 1.09 | 2010 est. |
| 58 | Pakistan | 1.09 | 2010 est. |
| 59 | Montserrat | 1.09 | 2010 est. |
| 60 | Kosovo | 1.09 | 2010 est. |
| 61 | Kosovo | 1.09 | 2010 est. |
| 62 | Hong Kong | 1.09 | 2010 est. |
| 63 | Faroe Islands | 1.09 | 2010 est. |
| 64 | Kosovo | 1.09 | 2010 est. |
| 65 | San Marino | 1.09 | 2010 est. |
| 66 | Taiwan | 1.09 | 2010 est. |
| 67 | Cyprus | 1.08 | 2010 est. |
| 68 | India | 1.08 | 2010 est. |
| 69 | Macedonia | 1.08 | 2010 est. |
| 70 | Taiwan | 1.08 | 2010 est. |
| 71 | Switzerland | 1.08 | 2010 est. |
| 72 | Singapore | 1.08 | 2010 est. |
| 73 | Samoa | 1.08 | 2010 est. |
| 74 | Montenegro | 1.08 | 2010 est. |
| 75 | Mayotte | 1.08 | 2010 est. |
| 76 | Jersey | 1.08 | 2010 est. |
| 77 | Isle of Man | 1.08 | 2010 est. |
| 78 | Macedonia | 1.08 | 2010 est. |
| 79 | Singapore | 1.08 | 2010 est. |
| 80 | Hong Kong | 1.08 | 2010 est. |
| 81 | Bosnia and Herzegovina | 1.07 | 2010 est. |
| 82 | Montenegro | 1.07 | 2010 est. |
| 83 | Tunisia | 1.07 | 2010 est. |
| 84 | Gibraltar | 1.07 | 2010 est. |
| 85 | Andorra | 1.07 | 2010 est. |
| 86 | Cook Islands | 1.07 | 2010 est. |
| 87 | Serbia | 1.07 | 2010 est. |
