CIA - The World Factbook --  Sex ratio   

This entry includes the number of males for each female in five age groups - at birth, under 15 years, 15-64 years, 65 years and over, and for the total population. Sex ratio at birth has recently emerged as an indicator of certain kinds of sex discrimination in some countries. For instance, high sex ratios at birth in some Asian countries are now attributed to sex-selective abortion and infanticide due to a strong preference for sons. This will affect future marriage patterns and fertility patterns. Eventually, it could cause unrest among young adult males who are unable to find partners.

| Rank | country | (male(s)/female) | Date of Information |
| --- | --- | --- | --- |
| 1 | Qatar | 4.61 | 2013 est. |
| 2 | Qatar | 3.41 | 2013 est. |
| 3 | Qatar | 3.29 | 2013 est. |
| 4 | United Arab Emirates | 3.23 | 2013 est. |
| 5 | United Arab Emirates | 3.19 | 2013 est. |
| 6 | Qatar | 2.83 | 2013 est. |
| 7 | United Arab Emirates | 2.19 | 2013 est. |
| 8 | Bahrain | 1.92 | 2013 est. |
| 9 | Bahrain | 1.89 | 2013 est. |
| 10 | United Arab Emirates | 1.77 | 2013 est. |
| 11 | Kuwait | 1.75 | 2013 est. |
| 12 | Montserrat | 1.55 | 2013 est. |
| 13 | Palau | 1.55 | 2013 est. |
| 14 | Bahrain | 1.54 | 2013 est. |
| 15 | Maldives | 1.53 | 2013 est. |
| 16 | Qatar | 1.50 | 2013 est. |
| 17 | United Arab Emirates | 1.46 | 2013 est. |
| 18 | Oman | 1.45 | 2013 est. |
| 19 | Maldives | 1.44 | 2013 est. |
| 20 | Kuwait | 1.43 | 2013 est. |
| 21 | Kuwait | 1.40 | 2013 est. |
| 22 | Saudi Arabia | 1.36 | 2013 est. |
| 23 | Greenland | 1.35 | 2013 est. |
| 24 | Maldives | 1.34 | 2013 est. |
| 25 | Bahrain | 1.26 | 2013 est. |
| 26 | Liechtenstein | 1.26 | 2013 est. |
| 27 | Sudan | 1.24 | 2013 est. |
| 28 | Saudi Arabia | 1.22 | 2013 est. |
| 29 | Kuwait | 1.22 | 2013 est. |
| 30 | Oman | 1.22 | 2013 est. |
| 31 | Turks and Caicos Islands | 1.21 | 2013 est. |
| 32 | Saudi Arabia | 1.21 | 2013 est. |
| 33 | Saint Barthelemy | 1.20 | 2013 est. |
| 34 | Cyprus | 1.19 | 2013 est. |
| 35 | Northern Mariana Islands | 1.19 | 2013 est. |
| 36 | Faroe Islands | 1.18 | 2013 est. |
| 37 | Andorra | 1.18 | 2013 est. |
| 38 | Oman | 1.17 | 2013 est. |
| 39 | Saint Helena, Ascension, and Tristan da Cunha | 1.17 | 2013 est. |
| 40 | Saint Barthelemy | 1.17 | 2013 est. |
| 41 | Maldives | 1.17 | 2013 est. |
| 42 | China | 1.17 | 2013 est. |
| 43 | Tuvalu | 1.17 | 2013 est. |
| 44 | Bhutan | 1.16 | 2013 est. |
| 45 | Sudan | 1.16 | 2013 est. |
| 46 | Bhutan | 1.16 | 2013 est. |
| 47 | Azerbaijan | 1.16 | 2013 est. |
| 48 | Saudi Arabia | 1.15 | 2013 est. |
| 49 | Cook Islands | 1.15 | 2013 est. |
| 50 | Armenia | 1.15 | 2013 est. |
| 51 | Curacao | 1.15 | 2013 est. |
| 52 | Montenegro | 1.15 | 2013 est. |
| 53 | Georgia | 1.15 | 2013 est. |
| 54 | Lesotho | 1.14 | 2013 est. |
| 55 | San Marino | 1.14 | 2013 est. |
| 56 | Papua New Guinea | 1.14 | 2013 est. |
| 57 | Greenland | 1.14 | 2013 est. |
| 58 | Cook Islands | 1.14 | 2013 est. |
| 59 | Saint Barthelemy | 1.14 | 2013 est. |
| 60 | India | 1.13 | 2013 est. |
| 61 | Korea, South | 1.13 | 2013 est. |
| 62 | Azerbaijan | 1.13 | 2013 est. |
| 63 | Cook Islands | 1.13 | 2013 est. |
| 64 | Northern Mariana Islands | 1.13 | 2013 est. |
| 65 | Portugal | 1.13 | 2013 est. |
| 66 | Dominica | 1.12 | 2013 est. |
| 67 | India | 1.12 | 2013 est. |
| 68 | Vietnam | 1.12 | 2013 est. |
| 69 | India | 1.12 | 2013 est. |
| 70 | China | 1.12 | 2013 est. |
| 71 | Macau | 1.12 | 2013 est. |
| 72 | Saint Barthelemy | 1.12 | 2013 est. |
| 73 | Palau | 1.12 | 2013 est. |
| 74 | Northern Mariana Islands | 1.12 | 2013 est. |
| 75 | Kosovo | 1.12 | 2013 est. |
| 76 | Albania | 1.12 | 2013 est. |
| 77 | Isle of Man | 1.11 | 2013 est. |
| 78 | Kosovo | 1.11 | 2013 est. |
| 79 | China | 1.11 | 2013 est. |
| 80 | Greenland | 1.11 | 2013 est. |
| 81 | Bhutan | 1.11 | 2013 est. |
| 82 | Albania | 1.11 | 2013 est. |
| 83 | Armenia | 1.11 | 2013 est. |
| 84 | Saint Pierre and Miquelon | 1.11 | 2013 est. |
| 85 | Vietnam | 1.10 | 2013 est. |
| 86 | Oman | 1.10 | 2013 est. |
| 87 | Libya | 1.10 | 2013 est. |
| 88 | Georgia | 1.10 | 2013 est. |
| 89 | Greenland | 1.10 | 2013 est. |
| 90 | Bhutan | 1.10 | 2013 est. |
| 91 | Seychelles | 1.10 | 2013 est. |
| 92 | Grenada | 1.10 | 2013 est. |
| 93 | Botswana | 1.10 | 2013 est. |
| 94 | San Marino | 1.10 | 2013 est. |
| 95 | Seychelles | 1.09 | 2013 est. |
| 96 | Cyprus | 1.09 | 2013 est. |
| 97 | Marshall Islands | 1.09 | 2013 est. |
| 98 | Hong Kong | 1.09 | 2013 est. |
| 99 | Wallis and Futuna | 1.09 | 2013 est. |
| 100 | Portugal | 1.09 | 2013 est. |
| 101 | Andorra | 1.09 | 2013 est. |
| 102 | Korea, South | 1.09 | 2013 est. |
| 103 | Faroe Islands | 1.09 | 2013 est. |
| 104 | Libya | 1.09 | 2013 est. |
| 105 | Liechtenstein | 1.09 | 2013 est. |
| 106 | Seychelles | 1.09 | 2013 est. |
| 107 | Samoa | 1.09 | 2013 est. |
| 108 | Gibraltar | 1.09 | 2013 est. |
| 109 | Kuwait | 1.09 | 2013 est. |
| 110 | Kosovo | 1.08 | 2013 est. |
| 111 | Montserrat | 1.08 | 2013 est. |
| 112 | Pakistan | 1.08 | 2013 est. |
| 113 | Saudi Arabia | 1.08 | 2013 est. |
| 114 | Kosovo | 1.08 | 2013 est. |
