CIA - The World Factbook --  Sex ratio   

This entry includes the number of males for each female in five age groups - at birth, under 15 years, 15-64 years, 65 years and over, and for the total population. Sex ratio at birth has recently emerged as an indicator of certain kinds of sex discrimination in some countries. For instance, high sex ratios at birth in some Asian countries are now attributed to sex-selective abortion and infanticide due to a strong preference for sons. This will affect future marriage patterns and fertility patterns. Eventually, it could cause unrest among young adult males who are unable to find partners.

| Rank | country | (male(s)/female) | Date of Information |
| 119 | Colombia | 1.06 | 2011 est. |
| 120 | Northern Mariana Islands | 1.06 | 2011 est. |
| 121 | Andorra | 1.06 | 2011 est. |
| 122 | American Samoa | 1.06 | 2011 est. |
| 123 | Australia | 1.06 | 2011 est. |
| 124 | British Virgin Islands | 1.06 | 2011 est. |
| 125 | Virgin Islands | 1.06 | 2011 est. |
| 126 | West Bank | 1.06 | 2011 est. |
| 127 | Trinidad and Tobago | 1.06 | 2011 est. |
| 128 | Tuvalu | 1.06 | 2011 est. |
| 129 | Ukraine | 1.06 | 2011 est. |
| 130 | Ukraine | 1.06 | 2011 est. |
| 131 | Uzbekistan | 1.06 | 2011 est. |
| 132 | Saint Vincent and the Grenadines | 1.06 | 2011 est. |
| 133 | Romania | 1.06 | 2011 est. |
| 134 | Romania | 1.06 | 2011 est. |
| 135 | Russia | 1.06 | 2011 est. |
| 136 | Russia | 1.06 | 2011 est. |
| 137 | Slovenia | 1.06 | 2011 est. |
| 138 | Spain | 1.06 | 2011 est. |
| 139 | Spain | 1.06 | 2011 est. |
| 140 | Saint Lucia | 1.06 | 2011 est. |
| 141 | Saint Lucia | 1.06 | 2011 est. |
| 142 | Sweden | 1.06 | 2011 est. |
| 143 | Sweden | 1.06 | 2011 est. |
| 144 | Syria | 1.06 | 2011 est. |
| 145 | Nigeria | 1.06 | 2011 est. |
| 146 | Pakistan | 1.06 | 2011 est. |
| 147 | Pakistan | 1.06 | 2011 est. |
| 148 | Poland | 1.06 | 2011 est. |
| 149 | Poland | 1.06 | 2011 est. |
| 150 | Papua New Guinea | 1.06 | 2011 est. |
| 151 | Palau | 1.06 | 2011 est. |
| 152 | Serbia | 1.06 | 2011 est. |
| 153 | Luxembourg | 1.06 | 2011 est. |
| 154 | Libya | 1.06 | 2011 est. |
| 155 | Moldova | 1.06 | 2011 est. |
| 156 | Moldova | 1.06 | 2011 est. |
| 157 | Malta | 1.06 | 2011 est. |
