CIA - The World Factbook --  Sex ratio   

This entry includes the number of males for each female in five age groups - at birth, under 15 years, 15-64 years, 65 years and over, and for the total population. Sex ratio at birth has recently emerged as an indicator of certain kinds of sex discrimination in some countries. For instance, high sex ratios at birth in some Asian countries are now attributed to sex-selective abortion and infanticide due to a strong preference for sons. This will affect future marriage patterns and fertility patterns. Eventually, it could cause unrest among young adult males who are unable to find partners.

| Rank | country | (male(s)/female) | Date of Information |
| --- | --- | --- | --- |
| 1 | United Arab Emirates | 2.75 | 2011 est. |
| 2 | Qatar | 2.44 | 2011 est. |
| 3 | United Arab Emirates | 2.20 | 2011 est. |
| 4 | Montserrat | 2.03 | 2011 est. |
| 5 | Qatar | 1.99 | 2011 est. |
| 6 | United Arab Emirates | 1.80 | 2011 est. |
| 7 | Kuwait | 1.79 | 2011 est. |
| 8 | Kuwait | 1.65 | 2011 est. |
| 9 | Maldives | 1.57 | 2011 est. |
| 10 | Kuwait | 1.54 | 2011 est. |
| 11 | Maldives | 1.40 | 2011 est. |
| 12 | Qatar | 1.36 | 2011 est. |
| 13 | Oman | 1.34 | 2011 est. |
| 14 | Bahrain | 1.33 | 2011 est. |
| 15 | Saudi Arabia | 1.27 | 2011 est. |
| 16 | Palau | 1.25 | 2011 est. |
| 17 | Bahrain | 1.24 | 2011 est. |
| 18 | Oman | 1.23 | 2011 est. |
| 19 | Papua New Guinea | 1.20 | 2011 est. |
| 20 | Saint Barthelemy | 1.19 | 2011 est. |
| 21 | Saudi Arabia | 1.17 | 2011 est. |
| 22 | China | 1.17 | 2011 est. |
| 23 | Armenia | 1.15 | 2011 est. |
| 24 | Curacao | 1.15 | 2010 |
| 25 | Northern Mariana Islands | 1.15 | 2011 est. |
| 26 | Georgia | 1.15 | 2011 est. |
| 27 | Greenland | 1.15 | 2011 est. |
| 28 | Faroe Islands | 1.15 | 2011 est. |
| 29 | Macau | 1.14 | 2011 est. |
| 30 | Saint Barthelemy | 1.14 | 2011 est. |
| 31 | San Marino | 1.14 | 2011 est. |
| 32 | China | 1.13 | 2011 est. |
| 33 | Bhutan | 1.13 | 2011 est. |
| 34 | Palau | 1.13 | 2011 est. |
| 35 | Cook Islands | 1.13 | 2011 est. |
| 36 | India | 1.13 | 2011 est. |
| 37 | Bahrain | 1.13 | 2011 est. |
| 38 | Azerbaijan | 1.13 | 2011 est. |
| 39 | Armenia | 1.12 | 2011 est. |
| 40 | Greenland | 1.12 | 2011 est. |
| 41 | India | 1.12 | 2011 est. |
| 42 | Bhutan | 1.12 | 2011 est. |
| 43 | Albania | 1.12 | 2011 est. |
| 44 | Vietnam | 1.12 | 2011 est. |
| 45 | Azerbaijan | 1.12 | 2011 est. |
| 46 | Georgia | 1.11 | 2011 est. |
| 47 | Albania | 1.10 | 2011 est. |
| 48 | Bhutan | 1.10 | 2011 est. |
| 49 | Turks and Caicos Islands | 1.10 | 2011 est. |
| 50 | Vietnam | 1.10 | 2011 est. |
| 51 | Wallis and Futuna | 1.10 | 2011 est. |
| 52 | Korea, South | 1.10 | 2011 est. |
| 53 | Grenada | 1.10 | 2011 est. |
| 54 | San Marino | 1.10 | 2011 est. |
| 55 | Kosovo | 1.09 | 2011 est. |
| 56 | Montserrat | 1.09 | 2011 est. |
| 57 | Portugal | 1.09 | 2011 est. |
| 58 | Kosovo | 1.09 | 2011 est. |
| 59 | Seychelles | 1.09 | 2011 est. |
| 60 | Pakistan | 1.09 | 2011 est. |
| 61 | Faroe Islands | 1.09 | 2011 est. |
| 62 | Andorra | 1.09 | 2011 est. |
| 63 | Hong Kong | 1.09 | 2011 est. |
| 64 | Kosovo | 1.09 | 2011 est. |
