CIA - The World Factbook --  Airports   

This entry gives the total number of airports or airfields recognizable from the air. The runway(s) may be paved (concrete or asphalt surfaces) or unpaved (grass, earth, sand, or gravel surfaces) and may include closed or abandoned installations. Airports or airfields that are no longer recognizable (overgrown, no facilities, etc.) are not included. Note that not all airports have accommodations for refueling, maintenance, or air traffic control.

| Rank | country | Airports | Date of Information |
| 194 | Antigua and Barbuda | 3 | 2010 |
| 195 | Anguilla | 3 | 2010 |
| 196 | Bhutan | 2 | 2010 |
| 197 | Luxembourg | 2 | 2010 |
| 198 | Saint Lucia | 2 | 2010 |
| 199 | West Bank | 2 | 2010 |
| 200 | Wallis and Futuna | 2 | 2010 |
| 201 | Virgin Islands | 2 | 2010 |
| 202 | Sao Tome and Principe | 2 | 2010 |
| 203 | Saint Pierre and Miquelon | 2 | 2010 |
| 204 | Saint Kitts and Nevis | 2 | 2010 |
| 205 | Montserrat | 2 | 2010 |
| 206 | Hong Kong | 2 | 2010 |
| 207 | Brunei | 2 | 2010 |
| 208 | Dominica | 2 | 2010 |
| 209 | Guernsey | 2 | 2010 |
| 210 | Aruba | 1 | 2010 |
| 211 | Gambia, The | 1 | 2010 |
| 212 | Wake Island | 1 | 2010 |
| 213 | Tuvalu | 1 | 2010 |
| 214 | Sint Maarten | 1 | NA |
| 215 | Nauru | 1 | 2010 |
| 216 | Mayotte | 1 | 2010 |
| 217 | Malta | 1 | 2010 |
| 218 | Macau | 1 | 2010 |
| 219 | Jersey | 1 | 2010 |
| 220 | Jan Mayen | 1 | 2010 |
| 221 | Isle of Man | 1 | 2010 |
| 222 | Gibraltar | 1 | 2010 |
| 223 | Gaza Strip | 1 | 2010 |
| 224 | Saint Martin | 1 | 2010 |
| 225 | Saint Helena, Ascension, and Tristan da Cunha | 1 | 2010 |
| 226 | Saint Barthelemy | 1 | 2010 |
| 227 | Paracel Islands | 1 | 2010 |
| 228 | Norfolk Island | 1 | 2010 |
| 229 | Niue | 1 | 2010 |
| 230 | Faroe Islands | 1 | 2010 |
| 231 | Curacao | 1 | NA |
| 232 | British Indian Ocean Territory | 1 | 2010 |
| 233 | Barbados | 1 | 2010 |
| 234 | Cocos (Keeling) Islands | 1 | 2010 |
| 235 | Christmas Island | 1 | 2010 |
| 236 | Bermuda | 1 | 2010 |
