CIA - The World Factbook --  Population   

This entry gives an estimate from the US Bureau of the Census based on statistics from population censuses, vital statistics registration systems, or sample surveys pertaining to the recent past and on assumptions about future trends. The total population presents one overall measure of the potential impact of the country on the world and within its region. Note: Starting with the 1993 Factbook, demographic estimates for some countries (mostly African) have explicitly taken into account the effects of the growing impact of the HIV/AIDS epidemic. These countries are currently: The Bahamas, Benin, Botswana, Brazil, Burkina Faso, Burma, Burundi, Cambodia, Cameroon, Central African Republic, Democratic Republic of the Congo, Republic of the Congo, Cote d'Ivoire, Ethiopia, Gabon, Ghana, Guyana, Haiti, Honduras, Kenya, Lesotho, Malawi, Mozambique, Namibia, Nigeria, Rwanda, South Africa, Swaziland, Tanzania, Thailand, Togo, Uganda, Zambia, and Zimbabwe.

| Rank | country | Population | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 1,336,718,015 | July 2011 est. |
| 2 | India | 1,189,172,906 | July 2011 est. |
| 3 | United States | 313,232,044 | July 2011 est. |
| 4 | Indonesia | 245,613,043 | July 2011 est. |
| 5 | Brazil | 203,429,773 | NA |
| 6 | Pakistan | 187,342,721 | July 2011 est. |
| 7 | Bangladesh | 158,570,535 | July 2011 est. |
| 8 | Nigeria | 155,215,573 | NA |
| 9 | Russia | 138,739,892 | July 2011 est. |
| 10 | Japan | 126,475,664 | July 2011 est. |
| 11 | Mexico | 113,724,226 | July 2011 est. |
| 12 | Philippines | 101,833,938 | July 2011 est. |
| 13 | Ethiopia | 90,873,739 | NA |
| 14 | Vietnam | 90,549,390 | July 2011 est. |
| 15 | Egypt | 82,079,636 | July 2011 est. |
| 16 | Germany | 81,471,834 | July 2011 est. |
| 17 | Turkey | 78,785,548 | July 2011 est. |
| 18 | Iran | 77,891,220 | July 2011 est. |
| 19 | Congo, Democratic Republic of the | 71,712,867 | NA |
| 20 | Thailand | 66,720,153 | NA |
| 21 | France | 65,312,249 | NA |
| 22 | United Kingdom | 62,698,362 | July 2011 est. |
| 23 | Italy | 61,016,804 | July 2011 est. |
| 24 | Burma | 53,999,804 | NA |
| 25 | South Africa | 49,004,031 | NA |
| 26 | Korea, South | 48,754,657 | July 2011 est. |
| 27 | Spain | 46,754,784 | July 2011 est. |
| 28 | Ukraine | 45,134,707 | July 2011 est. |
| 29 | Sudan | 45,047,502 | July 2011 est. |
| 30 | Colombia | 44,725,543 | July 2011 est. |
| 31 | Tanzania | 42,746,620 | NA |
| 32 | Argentina | 41,769,726 | July 2011 est. |
| 33 | Kenya | 41,070,934 | NA |
| 34 | Poland | 38,441,588 | July 2011 est. |
| 35 | Algeria | 34,994,937 | July 2011 est. |
| 36 | Uganda | 34,612,250 | NA |
| 37 | Canada | 34,030,589 | July 2011 est. |
| 38 | Morocco | 31,968,361 | July 2011 est. |
| 39 | Iraq | 30,399,572 | July 2011 est. |
| 40 | Afghanistan | 29,835,392 | NA |
| 41 | Nepal | 29,391,883 | July 2011 est. |
| 42 | Peru | 29,248,943 | July 2011 est. |
| 43 | Malaysia | 28,728,607 | July 2011 est. |
| 44 | Uzbekistan | 28,128,600 | July 2011 est. |
| 45 | Venezuela | 27,635,743 | July 2011 est. |
| 46 | Saudi Arabia | 26,131,703 | NA |
| 47 | Ghana | 24,791,073 | NA |
| 48 | Korea, North | 24,457,492 | July 2011 est. |
| 49 | Yemen | 24,133,492 | July 2011 est. |
| 50 | Taiwan | 23,071,779 | July 2011 est. |
| 51 | Mozambique | 22,948,858 | NA |
| 52 | Syria | 22,517,750 | NA |
| 53 | Madagascar | 21,926,221 | July 2011 est. |
| 54 | Romania | 21,904,551 | July 2011 est. |
| 55 | Australia | 21,766,711 | July 2011 est. |
| 56 | Cote d'Ivoire | 21,504,162 | NA |
| 57 | Sri Lanka | 21,283,913 | July 2011 est. |
| 58 | Cameroon | 19,711,291 | NA |
| 59 | Chile | 16,888,760 | July 2011 est. |
| 60 | Netherlands | 16,847,007 | July 2011 est. |
| 61 | Burkina Faso | 16,751,455 | NA |
| 62 | Niger | 16,468,886 | July 2011 est. |
| 63 | Malawi | 15,879,252 | NA |
| 64 | Kazakhstan | 15,522,373 | July 2011 est. |
| 65 | Ecuador | 15,007,343 | July 2011 est. |
| 66 | Cambodia | 14,701,717 | NA |
| 67 | Mali | 14,159,904 | July 2011 est. |
| 68 | Zambia | 13,881,336 | NA |
| 69 | Guatemala | 13,824,463 | July 2011 est. |
| 70 | Angola | 13,338,541 | July 2011 est. |
| 71 | Senegal | 12,643,799 | July 2011 est. |
| 72 | Zimbabwe | 12,084,304 | NA |
| 73 | Rwanda | 11,370,425 | NA |
| 74 | Cuba | 11,087,330 | July 2011 est. |
| 75 | Portugal | 10,760,305 | July 2011 est. |
| 76 | Greece | 10,760,136 | July 2011 est. |
| 77 | Chad | 10,758,945 | July 2011 est. |
| 78 | Tunisia | 10,629,186 | July 2011 est. |
| 79 | Guinea | 10,601,009 | July 2011 est. |
| 80 | Belgium | 10,431,477 | July 2011 est. |
| 81 | Burundi | 10,216,190 | NA |
| 82 | Czech Republic | 10,190,213 | July 2011 est. |
| 83 | Bolivia | 10,118,683 | July 2011 est. |
| 84 | Hungary | 9,976,062 | July 2011 est. |
| 85 | Dominican Republic | 9,956,648 | July 2011 est. |
| 86 | Somalia | 9,925,640 | NA |
