CIA - The World Factbook --  Population   

This entry gives an estimate from the US Bureau of the Census based on statistics from population censuses, vital statistics registration systems, or sample surveys pertaining to the recent past and on assumptions about future trends. The total population presents one overall measure of the potential impact of the country on the world and within its region. Note: Starting with the 1993 Factbook, demographic estimates for some countries (mostly African) have explicitly taken into account the effects of the growing impact of the HIV/AIDS epidemic. These countries are currently: The Bahamas, Benin, Botswana, Brazil, Burkina Faso, Burma, Burundi, Cambodia, Cameroon, Central African Republic, Democratic Republic of the Congo, Republic of the Congo, Cote d'Ivoire, Ethiopia, Gabon, Ghana, Guyana, Haiti, Honduras, Kenya, Lesotho, Malawi, Mozambique, Namibia, Nigeria, Rwanda, South Africa, Swaziland, Tanzania, Thailand, Togo, Uganda, Zambia, and Zimbabwe.

| Rank | country | Population | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 1,330,141,295 | July 2010 est. |
| 2 | India | 1,173,108,018 | July 2010 est. |
| 3 | United States | 310,232,863 | July 2010 est. |
| 4 | Indonesia | 242,968,342 | July 2010 est. |
| 5 | Brazil | 201,103,330 | July 2010 est. |
| 6 | Pakistan | 184,404,791 | July 2010 est. |
| 7 | Bangladesh | 156,118,464 | July 2010 est. |
| 8 | Nigeria | 152,217,341 | July 2010 est. |
| 9 | Russia | 139,390,205 | July 2010 est. |
| 10 | Japan | 126,804,433 | July 2010 est. |
| 11 | Mexico | 112,468,855 | July 2010 est. |
| 12 | Philippines | 99,900,177 | July 2010 est. |
| 13 | Vietnam | 89,571,130 | July 2010 est. |
| 14 | Ethiopia | 88,013,491 | July 2010 est. |
| 15 | Germany | 82,282,988 | July 2010 est. |
| 16 | Egypt | 80,471,869 | July 2010 est. |
| 17 | Turkey | 77,804,122 | July 2010 est. |
| 18 | Iran | 76,923,300 | July 2010 est. |
| 19 | Congo, Democratic Republic of the | 70,916,439 | July 2010 est. |
| 20 | Thailand | 67,089,500 | July 2010 est. |
| 21 | France | 64,768,389 | July 2010 est. |
| 22 | United Kingdom | 62,348,447 | July 2010 est. |
| 23 | Italy | 58,090,681 | July 2010 est. |
| 24 | Burma | 53,414,374 | July 2010 est. |
| 25 | South Africa | 49,109,107 | July 2010 est. |
| 26 | Korea, South | 48,636,068 | July 2010 est. |
| 27 | Spain | 46,505,963 | July 2010 est. |
| 28 | Ukraine | 45,415,596 | July 2010 est. |
| 29 | Colombia | 44,205,293 | July 2010 est. |
| 30 | Sudan | 43,939,598 | July 2010 est. |
| 31 | Tanzania | 41,892,895 | July 2010 est. |
| 32 | Argentina | 41,343,201 | July 2010 est. |
| 33 | Kenya | 40,046,566 | July 2010 est. |
| 34 | Poland | 38,463,689 | July 2010 est. |
| 35 | Algeria | 34,586,184 | July 2010 est. |
| 36 | Canada | 33,759,742 | July 2010 est. |
| 37 | Uganda | 33,398,682 | July 2010 est. |
| 38 | Morocco | 31,627,428 | July 2010 est. |
| 39 | Peru | 29,907,003 | July 2010 est. |
| 40 | Iraq | 29,671,605 | July 2010 est. |
| 41 | Afghanistan | 29,121,286 | July 2010 est. |
| 42 | Nepal | 28,951,852 | July 2010 est. |
| 43 | Malaysia | 28,274,729 | July 2010 est. |
| 44 | Uzbekistan | 27,865,738 | July 2010 est. |
| 45 | Venezuela | 27,223,228 | July 2010 est. |
| 46 | Saudi Arabia | 25,731,776 | July 2010 est. |
| 47 | Ghana | 24,339,838 | July 2010 est. |
| 48 | Yemen | 23,495,361 | July 2010 est. |
| 49 | Taiwan | 23,024,956 | July 2010 est. |
| 50 | Korea, North | 22,757,275 | July 2010 est. |
| 51 | Syria | 22,198,110 | NA |
| 52 | Mozambique | 22,061,451 | July 2010 est. |
| 53 | Romania | 21,959,278 | July 2010 est. |
| 54 | Australia | 21,515,754 | July 2010 est. |
| 55 | Sri Lanka | 21,513,990 | July 2010 est. |
| 56 | Madagascar | 21,281,844 | July 2010 est. |
| 57 | Cote d'Ivoire | 21,058,798 | July 2010 est. |
| 58 | Cameroon | 19,294,149 | July 2010 est. |
| 59 | Netherlands | 16,783,092 | July 2010 est. |
| 60 | Chile | 16,746,491 | July 2010 est. |
| 61 | Burkina Faso | 16,241,811 | July 2010 est. |
| 62 | Niger | 15,878,271 | July 2010 est. |
| 63 | Kazakhstan | 15,460,484 | July 2010 est. |
| 64 | Malawi | 15,447,500 | July 2010 est. |
