CIA - The World Factbook --  POPULATION

Population compares estimates from the US Bureau of the Census based on statistics from population censuses, vital statistics registration systems, or sample surveys pertaining to the recent past and on assumptions about future trends.

| Rank | Country | POPULATION | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 1,373,541,278 | July 2016 est. |
| 2 | India | 1,266,883,598 | July 2016 est. |
| 3 | European Union | 513,949,445 | July 2016 est. |
| 4 | United States | 323,995,528 | July 2016 est. |
| 5 | Indonesia | 258,316,051 | July 2016 est. |
| 6 | Brazil | 205,823,665 | July 2016 est. |
| 7 | Pakistan | 201,995,540 | July 2016 est. |
| 8 | Nigeria | 186,053,386 | July 2016 est. |
| 9 | Bangladesh | 156,186,882 | July 2016 est. |
| 10 | Russia | 142,355,415 | July 2016 est. |
| 11 | Japan | 126,702,133 | July 2016 est. |
| 12 | Mexico | 123,166,749 | July 2016 est. |
| 13 | Philippines | 102,624,209 | July 2016 est. |
| 14 | Ethiopia | 102,374,044 | July 2016 est. |
| 15 | Vietnam | 95,261,021 | July 2016 est. |
| 16 | Egypt | 94,666,993 | July 2016 est. |
| 17 | Iran | 82,801,633 | July 2016 est. |
| 18 | Congo, Democratic Republic of the | 81,331,050 | July 2016 est. |
| 19 | Germany | 80,722,792 | July 2016 est. |
| 20 | Turkey | 80,274,604 | July 2016 est. |
| 21 | Thailand | 68,200,824 | July 2016 est. |
| 22 | France | 66,836,154 | July 2016 est. |
| 23 | United Kingdom | 64,430,428 | July 2016 est. |
| 24 | Italy | 62,007,540 | July 2016 est. |
| 25 | Burma | 56,890,418 | July 2016 est. |
| 26 | South Africa | 54,300,704 | July 2016 est. |
| 27 | Tanzania | 52,482,726 | July 2016 est. |
| 28 | Korea, South | 50,924,172 | July 2016 est. |
| 29 | Spain | 48,563,476 | July 2016 est. |
| 30 | Colombia | 47,220,856 | July 2016 est. |
| 31 | Kenya | 46,790,758 | July 2016 est. |
| 32 | Ukraine | 44,209,733 | July 2016 est. |
| 33 | Argentina | 43,886,748 | July 2016 est. |
| 34 | Algeria | 40,263,711 | July 2016 est. |
| 35 | Poland | 38,523,261 | July 2016 est. |
| 36 | Uganda | 38,319,241 | July 2016 est. |
| 37 | Iraq | 38,146,025 | July 2016 est. |
| 38 | Sudan | 36,729,501 | July 2016 est. |
| 39 | Canada | 35,362,905 | July 2016 est. |
| 40 | Morocco | 33,655,786 | July 2016 est. |
| 41 | Afghanistan | 33,332,025 | July 2016 est. |
| 42 | Malaysia | 30,949,962 | July 2016 est. |
| 43 | Venezuela | 30,912,302 | July 2016 est. |
| 44 | Peru | 30,741,062 | July 2016 est. |
| 45 | Uzbekistan | 29,473,614 | July 2016 est. |
| 46 | Nepal | 29,033,914 | July 2016 est. |
| 47 | Saudi Arabia | 28,160,273 | |
| 48 | Yemen | 27,392,779 | July 2016 est. |
| 49 | Ghana | 26,908,262 | July 2016 est. |
| 50 | Mozambique | 25,930,150 | July 2016 est. |
| 51 | Korea, North | 25,115,311 | July 2016 est. |
| 52 | Madagascar | 24,430,325 | July 2016 est. |
| 53 | Cameroon | 24,360,803 | July 2016 est. |
| 54 | Cote d'Ivoire | 23,740,424 | July 2016 est. |
| 55 | Taiwan | 23,464,787 | July 2016 est. |
| 56 | Australia | 22,992,654 | July 2016 est. |
| 57 | Sri Lanka | 22,235,000 | July 2016 est. |
| 58 | Romania | 21,599,736 | July 2016 est. |
| 59 | Angola | 20,172,332 | July 2016 est. |
| 60 | Burkina Faso | 19,512,533 | July 2016 est. |
| 61 | Niger | 18,638,600 | July 2016 est. |
| 62 | Malawi | 18,570,321 | July 2016 est. |
| 63 | Kazakhstan | 18,360,353 | July 2016 est. |
| 64 | Chile | 17,650,114 | July 2016 est. |
| 65 | Mali | 17,467,108 | July 2016 est. |
| 66 | Syria | 17,185,170 | |
| 67 | Netherlands | 17,016,967 | July 2016 est. |
| 68 | Ecuador | 16,080,778 | July 2016 est. |
| 69 | Cambodia | 15,957,223 | July 2016 est. |
| 70 | Zambia | 15,510,711 | July 2016 est. |
| 71 | Guatemala | 15,189,958 | July 2016 est. |
| 72 | Zimbabwe | 14,546,961 | July 2016 est. |
| 73 | Senegal | 14,320,055 | July 2016 est. |
| 74 | Rwanda | 12,988,423 | July 2016 est. |
| 75 | South Sudan | 12,530,717 | July 2016 est. |
| 76 | Guinea | 12,093,349 | July 2016 est. |
| 77 | Chad | 11,852,462 | July 2016 est. |
| 78 | Belgium | 11,409,077 | July 2016 est. |
| 79 | Cuba | 11,179,995 | July 2016 est. |
| 80 | Tunisia | 11,134,588 | July 2016 est. |
| 81 | Burundi | 11,099,298 | July 2016 est. |
| 82 | Bolivia | 10,969,649 | July 2016 est. |
| 83 | Portugal | 10,833,816 | July 2016 est. |
| 84 | Somalia | 10,817,354 | July 2016 est. |
| 85 | Greece | 10,773,253 | July 2016 est. |
| 86 | Benin | 10,741,458 | July 2016 est. |
| 87 | Czechia | 10,644,842 | July 2016 est. |
