CIA - The World Factbook --  NET MIGRATION RATE

Net migration rate compares the difference between the number of persons entering and leaving a country during the year per 1,000 persons (based on midyear population).

| Rank | Country | (MIGRANT(S)/1,000 POPULATION) | Date of Information |
| --- | --- | --- | --- |
| 1 | Qatar | 18.20 | 2016 est. |
| 2 | British Virgin Islands | 16.90 | 2016 est. |
| 3 | Luxembourg | 16.30 | 2016 est. |
| 4 | Cayman Islands | 14.10 | 2016 est. |
| 5 | Singapore | 13.60 | 2016 est. |
| 6 | Bahrain | 12.60 | 2016 est. |
| 7 | Anguilla | 11.90 | 2016 est. |
| 8 | United Arab Emirates | 11.30 | 2016 est. |
| 9 | South Sudan | 11.00 | 2016 est. |
| 10 | Turks and Caicos Islands | 9.70 | 2016 est. |
| 11 | Cyprus | 9.10 | 2016 est. |
| 12 | Aruba | 8.80 | 2016 est. |
| 13 | Spain | 8.00 | 2016 est. |
| 14 | San Marino | 7.70 | 2016 est. |
| 15 | Northern Mariana Islands | 7.40 | 2016 est. |
| 16 | Norway | 6.60 | 2016 est. |
| 17 | Isle of Man | 6.30 | 2016 est. |
| 18 | Sint Maarten | 6.30 | 2013 est. |
| 19 | Djibouti | 5.90 | 2016 est. |
| 20 | Canada | 5.70 | 2016 est. |
| 21 | Belgium | 5.60 | 2016 est. |
| 22 | Australia | 5.60 | 2016 est. |
| 23 | Sweden | 5.40 | 2016 est. |
| 24 | Austria | 5.20 | 2016 est. |
| 25 | Liechtenstein | 5.00 | 2016 est. |
| 26 | Monaco | 4.70 | 2016 est. |
| 27 | Switzerland | 4.70 | 2016 est. |
| 28 | Botswana | 4.50 | 2016 est. |
| 29 | Iceland | 4.20 | 2016 est. |
| 30 | Ireland | 4.00 | 2016 est. |
| 31 | New Caledonia | 4.00 | 2016 est. |
| 32 | United States | 3.90 | 2016 est. |
| 33 | Italy | 3.90 | 2016 est. |
| 34 | Libya | 3.80 | 2016 est. |
| 35 | Jersey | 3.50 | 2016 est. |
| 36 | Macau | 3.40 | 2016 est. |
| 37 | Finland | 3.00 | 2016 est. |
