CIA - The World Factbook --  Electricity - from fossil fuels   

Electricity â€“ from fossil fuels measures the capacity of plants that generate electricity by burning fossil fuels (such as coal, petroleum products, and natural gas), expressed as a share of the country's total generating capacity.

| Rank | country | (% of total installed capacity) | Date of Information |
| --- | --- | --- | --- |
| 1 | Antigua and Barbuda | 100.0 | 2010 est. |
| 2 | Yemen | 100.0 | 2010 est. |
| 3 | American Samoa | 100.0 | 2010 est. |
| 4 | Bahrain | 100.0 | 2011 est. |
| 5 | Barbados | 100.0 | 2010 est. |
| 6 | Botswana | 100.0 | 2010 est. |
| 7 | Bahamas, The | 100.0 | 2012 est. |
| 8 | Solomon Islands | 100.0 | 2010 est. |
| 9 | Brunei | 100.0 | 2010 est. |
| 10 | Chad | 100.0 | 2010 est. |
| 11 | Cayman Islands | 100.0 | 2010 est. |
| 12 | Djibouti | 100.0 | 2010 est. |
| 13 | Gambia, The | 100.0 | 2010 est. |
| 14 | Gibraltar | 100.0 | 2010 est. |
| 15 | Greenland | 100.0 | 2010 est. |
| 16 | Guam | 100.0 | 2010 est. |
| 17 | Hong Kong | 100.0 | 2013 est. |
| 18 | Kiribati | 100.0 | 2010 est. |
| 19 | Kuwait | 100.0 | 2010 est. |
| 20 | Liberia | 100.0 | 2010 est. |
| 21 | Libya | 100.0 | 2010 est. |
| 22 | Macau | 100.0 | 2013 est. |
| 23 | Montserrat | 100.0 | 2010 est. |
| 24 | Oman | 100.0 | 2010 est. |
| 25 | Niue | 100.0 | 2010 est. |
| 26 | Niger | 100.0 | 2010 est. |
| 27 | Nauru | 100.0 | 2010 est. |
| 28 | Guinea-Bissau | 100.0 | 2010 est. |
| 29 | Qatar | 100.0 | 2010 est. |
| 30 | Saudi Arabia | 100.0 | 2010 est. |
| 31 | Saint Kitts and Nevis | 100.0 | 2010 est. |
| 32 | Seychelles | 100.0 | 2010 est. |
| 33 | Saint Helena, Ascension, and Tristan da Cunha | 100.0 | 2010 est. |
| 34 | Somalia | 100.0 | 2010 est. |
| 35 | Saint Lucia | 100.0 | 2010 est. |
| 36 | Turks and Caicos Islands | 100.0 | 2010 est. |
| 37 | Tonga | 100.0 | 2010 est. |
| 38 | Turkmenistan | 100.0 | 2010 est. |
| 39 | British Virgin Islands | 100.0 | 2010 est. |
| 40 | Virgin Islands | 100.0 | 2010 est. |
| 41 | West Bank | 100.0 | 2010 est. |
| 42 | Western Sahara | 100.0 | 2010 est. |
| 43 | United Arab Emirates | 100.0 | 2010 est. |
| 44 | Maldives | 99.9 | 2010 est. |
| 45 | Mongolia | 99.9 | 2010 est. |
| 46 | Singapore | 99.8 | 2010 est. |
| 47 | Senegal | 99.7 | 2010 est. |
| 48 | Trinidad and Tobago | 99.7 | 2010 est. |
| 49 | Belarus | 99.7 | 2010 est. |
| 50 | Jordan | 99.4 | 2010 est. |
| 51 | Cuba | 99.3 | 2011 est. |
| 52 | Cook Islands | 98.9 | 2010 est. |
| 53 | Eritrea | 98.7 | 2010 est. |
| 54 | Grenada | 98.6 | 2010 est. |
| 55 | Benin | 98.4 | 2010 est. |
| 56 | Bermuda | 98.2 | 2012 est. |
| 57 | Israel | 98.1 | 2010 est. |
| 58 | Saint Pierre and Miquelon | 97.7 | 2010 est. |
| 59 | Bangladesh | 97.7 | 2013 est. |
| 60 | Malta | 97.5 | 2013 est. |
| 61 | Algeria | 97.5 | 2010 est. |
| 62 | Equatorial Guinea | 97.4 | 2010 est. |
| 63 | Puerto Rico | 97.2 | 2010 est. |
| 64 | Cabo Verde | 96.9 | 2010 est. |
| 65 | Tunisia | 96.8 | 2010 est. |
| 66 | Moldova | 96.4 | 2013 est. |
| 67 | Guyana | 96.0 | 2010 est. |
| 68 | Jamaica | 94.8 | 2010 est. |
| 69 | Cambodia | 94.8 | 2010 est. |
