CIA - The World Factbook --  Electricity - from fossil fuels   

This entry measures the capacity of plants that generate electricity by burning fossil fuels (such as coal, petroleum products, and natural gas), expressed as a share of the country's total generating capacity.

| Rank | country | (% of total installed capacity) | Date of Information |
| 122 | Zimbabwe | 66.1 | 2009 est. |
| 123 | Serbia | 66.1 | 2009 est. |
| 124 | Denmark | 65.8 | 2009 est. |
| 125 | Macedonia | 65.7 | 2009 est. |
| 126 | Argentina | 65.4 | 2009 est. |
| 127 | Turkey | 65.3 | 2009 est. |
| 128 | Pakistan | 65.2 | 2009 est. |
| 129 | Italy | 65.0 | 2011 est. |
| 130 | Faroe Islands | 64.9 | 2009 est. |
| 131 | Ukraine | 64.4 | 2009 est. |
| 132 | Chile | 64.4 | 2009 est. |
| 133 | Honduras | 63.9 | 2009 est. |
| 134 | Japan | 63.9 | 2009 est. |
| 135 | Vietnam | 63.7 | 2009 est. |
| 136 | Romania | 62.5 | 2009 est. |
| 137 | Mauritania | 61.7 | 2009 est. |
| 138 | Papua New Guinea | 61.1 | 2009 est. |
| 139 | Czech Republic | 60.0 | 2009 est. |
| 140 | Gabon | 59.0 | 2009 est. |
| 141 | Peru | 59.0 | 2009 est. |
| 142 | Guatemala | 58.2 | 2009 est. |
| 143 | Sao Tome and Principe | 57.1 | 2009 est. |
| 144 | Angola | 56.9 | 2009 est. |
| 145 | Ecuador | 56.2 | 2009 est. |
| 146 | Germany | 55.0 | 2011 est. |
| 147 | Fiji | 54.8 | 2009 est. |
| 148 | Lithuania | 53.8 | 2009 est. |
| 149 | Rwanda | 53.3 | 2009 est. |
| 150 | Armenia | 53.3 | 2009 est. |
| 151 | El Salvador | 53.0 | 2009 est. |
| 152 | Finland | 52.5 | 2009 est. |
| 153 | Panama | 51.6 | 2009 est. |
| 154 | Suriname | 51.4 | 2009 est. |
| 155 | Cote d'Ivoire | 50.6 | 2009 est. |
| 156 | Spain | 48.7 | 2009 est. |
| 157 | Mali | 48.4 | 2009 est. |
| 158 | Portugal | 48.3 | 2009 est. |
| 159 | Korea, North | 47.4 | 2009 est. |
| 160 | Sri Lanka | 47.2 | 2010 est. |
| 161 | Croatia | 47.2 | 2009 est. |
| 162 | Bulgaria | 46.4 | 2009 est. |
| 163 | Belgium | 46.4 | 2009 est. |
| 164 | Central African Republic | 45.7 | 2009 est. |
| 165 | Bosnia and Herzegovina | 44.5 | 2009 est. |
| 166 | Kenya | 43.3 | 2009 est. |
| 167 | Slovenia | 42.2 | 2009 est. |
| 168 | Venezuela | 41.1 | 2009 est. |
| 169 | Ghana | 40.6 | 2009 est. |
| 170 | Tanzania | 39.5 | 2009 est. |
| 171 | Uruguay | 38.5 | 2009 est. |
| 172 | Uganda | 37.8 | 2009 est. |
| 173 | Georgia | 37.2 | 2009 est. |
| 174 | Slovakia | 37.1 | 2009 est. |
| 175 | Namibia | 36.6 | 2009 est. |
| 176 | Belize | 33.3 | 2009 est. |
| 177 | Colombia | 32.9 | 2009 est. |
| 178 | Sudan | 30.7 | 2009 est. |
| 179 | New Zealand | 30.0 | 2009 est. |
| 180 | Canada | 28.8 | 2009 est. |
| 181 | Luxembourg | 28.4 | 2009 est. |
| 182 | Cameroon | 27.8 | 2009 est. |
| 183 | Latvia | 27.3 | 2009 est. |
| 184 | Costa Rica | 24.8 | 2009 est. |
| 185 | Montenegro | 24.2 | 2009 est. |
| 186 | Afghanistan | 23.5 | 2009 est. |
| 187 | Togo | 21.2 | 2009 est. |
| 188 | France | 20.5 | 2009 est. |
| 189 | Kyrgyzstan | 20.1 | 2009 est. |
| 190 | Congo, Republic of the | 19.6 | 2009 est. |
| 191 | Austria | 19.6 | 2009 est. |
| 192 | Ethiopia | 17.2 | 2009 est. |
| 193 | Brazil | 17.1 | 2010 est. |
| 194 | Sweden | 12.5 | 2009 est. |
| 195 | Mozambique | 10.3 | 2009 est. |
| 196 | Albania | 9.9 | 2009 est. |
| 197 | Tajikistan | 8.8 | 2009 est. |
| 198 | Nepal | 7.9 | 2009 est. |
| 199 | Malawi | 5.7 | 2009 est. |
| 200 | Iceland | 4.7 | 2009 est. |
| 201 | Laos | 2.7 | 2009 est. |
| 202 | Norway | 2.6 | 2009 est. |
| 203 | Switzerland | 2.5 | 2009 est. |
| 204 | Burundi | 1.9 | 2009 est. |
| 205 | Congo, Democratic Republic of the | 1.3 | 2009 est. |
| 206 | Bhutan | 1.1 | 2009 est. |
| 207 | Zambia | 0.4 | 2009 est. |
| 208 | Paraguay | 0.1 | 2009 est. |
| 209 | Lesotho | 0.0 | 2009 est. |
