CIA - The World Factbook --  Natural gas - consumption   

This entry is the total natural gas consumed in cubic meters (cu m). The discrepancy between the amount of natural gas produced and/or imported and the amount consumed and/or exported is due to the omission of stock changes and other complicating factors.

| Rank | country | (cu m) | Date of Information |
| 110 | Barbados | 29,170,000 | 2008 est. |
| 111 | Cameroon | 20,000,000 | 2008 est. |
| 112 | American Samoa | 0 | 2008 est. |
| 113 | Benin | 0 | 2008 est. |
| 114 | Botswana | 0 | 2008 est. |
| 115 | Burkina Faso | 0 | 2008 est. |
| 116 | Paraguay | 0 | 2009 est. |
| 117 | Panama | 0 | 2008 est. |
| 118 | Niue | 0 | 2008 est. |
| 119 | Liberia | 0 | 2008 est. |
| 120 | Lesotho | 0 | 2008 est. |
| 121 | Lebanon | 0 | 2008 est. |
| 122 | Laos | 0 | 2008 est. |
| 123 | Kosovo | 0 | 2007 |
| 124 | Korea, North | 0 | 2008 est. |
| 125 | Kiribati | 0 | 2008 est. |
| 126 | Kenya | 0 | 2008 est. |
| 127 | Jamaica | 0 | 2008 est. |
| 128 | Niger | 0 | 2008 est. |
| 129 | Nicaragua | 0 | 2008 est. |
| 130 | New Caledonia | 0 | 2008 est. |
| 131 | Nepal | 0 | 2009 est. |
| 132 | Nauru | 0 | 2008 est. |
| 133 | Namibia | 0 | 2008 est. |
| 134 | Montserrat | 0 | 2008 est. |
| 135 | Mongolia | 0 | 2008 est. |
| 136 | Mauritius | 0 | 2008 est. |
| 137 | Mauritania | 0 | 2008 est. |
| 138 | Malta | 0 | 2009 est. |
| 139 | Mali | 0 | 2008 est. |
| 140 | Maldives | 0 | 2009 est. |
| 141 | Malawi | 0 | 2008 est. |
| 142 | Madagascar | 0 | 2008 est. |
| 143 | Iceland | 0 | 2008 est. |
| 144 | Honduras | 0 | 2008 est. |
| 145 | Haiti | 0 | 2008 est. |
| 146 | Guyana | 0 | 2008 est. |
| 147 | Guinea-Bissau | 0 | 2008 est. |
| 148 | Guinea | 0 | 2008 est. |
| 149 | Guatemala | 0 | 2008 est. |
| 150 | Grenada | 0 | 2008 est. |
| 151 | Seychelles | 0 | 2008 est. |
| 152 | Sao Tome and Principe | 0 | 2008 est. |
| 153 | Samoa | 0 | 2008 est. |
| 154 | Saint Vincent and the Grenadines | 0 | 2008 est. |
| 155 | Saint Pierre and Miquelon | 0 | 2008 est. |
| 156 | Saint Lucia | 0 | 2008 est. |
| 157 | Saint Kitts and Nevis | 0 | 2008 est. |
| 158 | Saint Helena, Ascension, and Tristan da Cunha | 0 | 2008 est. |
| 159 | Rwanda | 0 | 2008 est. |
| 160 | Yemen | 0 | 2008 est. |
| 161 | Western Sahara | 0 | 2008 est. |
| 162 | West Bank | 0 | 2008 est. |
| 163 | Virgin Islands | 0 | 2008 est. |
| 164 | Vanuatu | 0 | 2008 est. |
| 165 | Uganda | 0 | 2008 est. |
| 166 | Turks and Caicos Islands | 0 | 2008 est. |
| 167 | Tonga | 0 | 2008 est. |
| 168 | Togo | 0 | 2008 est. |
| 169 | Zimbabwe | 0 | 2008 est. |
| 170 | Zambia | 0 | 2008 est. |
| 171 | Timor-Leste | 0 | 2008 est. |
| 172 | Swaziland | 0 | 2008 est. |
| 173 | Suriname | 0 | 2008 est. |
| 174 | Sudan | 0 | 2008 est. |
| 175 | Sri Lanka | 0 | 2008 est. |
| 176 | Somalia | 0 | 2008 est. |
| 177 | Solomon Islands | 0 | 2008 est. |
| 178 | Sierra Leone | 0 | 2008 est. |
| 179 | Greenland | 0 | 2008 |
| 180 | Gibraltar | 0 | 2008 est. |
| 181 | Ghana | 0 | 2008 est. |
| 182 | Gambia, The | 0 | 2008 est. |
| 183 | French Polynesia | 0 | 2008 est. |
| 184 | Fiji | 0 | 2008 est. |
| 185 | Faroe Islands | 0 | 2008 |
| 186 | Falkland Islands (Islas Malvinas) | 0 | 2008 est. |
| 187 | Ethiopia | 0 | 2008 est. |
| 188 | Eritrea | 0 | 2008 est. |
| 189 | El Salvador | 0 | 2008 est. |
| 190 | Dominica | 0 | 2008 est. |
| 191 | Djibouti | 0 | 2008 est. |
| 192 | Cyprus | 0 | 2008 est. |
| 193 | Costa Rica | 0 | 2008 est. |
| 194 | Cook Islands | 0 | 2008 est. |
| 195 | Congo, Democratic Republic of the | 0 | 2008 est. |
| 196 | Comoros | 0 | 2008 est. |
| 197 | Chad | 0 | 2008 est. |
| 198 | Central African Republic | 0 | 2008 est. |
| 199 | Cayman Islands | 0 | 2008 est. |
| 200 | Cape Verde | 0 | 2008 est. |
| 201 | Cambodia | 0 | 2008 est. |
| 202 | Burundi | 0 | 2008 est. |
| 203 | British Virgin Islands | 0 | 2008 est. |
| 204 | Bhutan | 0 | 2008 est. |
| 205 | Bermuda | 0 | 2008 est. |
| 206 | Belize | 0 | 2008 est. |
| 207 | Bahamas, The | 0 | 2008 est. |
| 208 | Aruba | 0 | 2008 est. |
| 209 | Antigua and Barbuda | 0 | 2008 est. |
