CIA - The World Factbook --  Major urban areas - population   

| Rank | country | Major urban areas - population | Date of Information |
| --- | --- | --- | --- |
| 1 | Japan | 37,217,000.00 | 2011 |
| 2 | India | 22,654,000.00 | 2011 |
| 3 | Mexico | 20,446,000.00 | 2011 |
| 4 | United States | 20,352,000.00 | 2011 |
| 5 | China | 20,208,000.00 | 2011 |
| 6 | Brazil | 19,924,000.00 | 2011 |
| 7 | India | 19,744,000.00 | 2011 |
| 8 | China | 15,594,000.00 | 2011 |
| 9 | Bangladesh | 15,391,000.00 | 2011 |
| 10 | France | 14,890,100.00 | 2011 |
| 11 | India | 14,402,000.00 | 2011 |
| 12 | Pakistan | 13,876,000.00 | 2011 |
| 13 | Argentina | 13,528,000.00 | 2011 |
| 14 | United States | 13,395,000.00 | 2011 |
| 15 | Brazil | 11,960,000.00 | 2011 |
| 16 | Philippines | 11,862,000.00 | 2011 |
| 17 | Russia | 11,621,000.00 | 2011 |
| 18 | Japan | 11,494,000.00 | 2011 |
| 19 | Turkey | 11,253,000.00 | 2011 |
| 20 | Nigeria | 11,223,000.00 | 2011 |
| 21 | Egypt | 11,169,000.00 | 2011 |
| 22 | China | 10,849,000.00 | 2011 |
| 23 | China | 10,630,000.00 | 2011 |
| 24 | France | 10,620,000.00 | 2011 |
| 25 | China | 9,977,000.00 | 2011 |
| 26 | Indonesia | 9,769,000.00 | 2011 |
| 27 | Korea, South | 9,736,000.00 | 2011 |
| 28 | United States | 9,676,000.00 | 2011 |
| 29 | China | 9,158,000.00 | 2011 |
| 30 | Peru | 9,130,000.00 | 2011 |
| 31 | United Kingdom | 9,005,000.00 | 2011 |
| 32 | Congo, Democratic Republic of the | 8,798,000.00 | 2011 |
| 33 | India | 8,784,000.00 | 2011 |
| 34 | Colombia | 8,743,000.00 | 2011 |
| 35 | India | 8,614,000.00 | 2011 |
| 36 | Thailand | 8,426,000.00 | 2011 |
| 37 | India | 7,837,000.00 | 2011 |
| 38 | Pakistan | 7,566,000.00 | 2011 |
| 39 | Iran | 7,304,000.00 | 2011 |
| 40 | Spain | 6,574,000.00 | 2011 |
| 41 | Vietnam | 6,405,000.00 | 2011 |
| 42 | United States | 6,061,000.00 | 2011 |
| 43 | Iraq | 6,036,000.00 | 2011 |
| 44 | Chile | 6,034,000.00 | 2011 |
| 45 | United States | 5,927,000.00 | 2011 |
| 46 | Canada | 5,573,000.00 | 2011 |
| 47 | Spain | 5,570,000.00 | 2011 |
| 48 | Brazil | 5,487,000.00 | 2011 |
| 49 | Saudi Arabia | 5,451,000.00 | 2011 |
| 50 | Bangladesh | 5,239,000.00 | 2011 |
| 51 | Angola | 5,068,000.00 | 2011 |
| 52 | Russia | 4,866,000.00 | 2011 |
| 53 | United States | 4,705,000.00 | 2011 |
| 54 | Sudan | 4,632,000.00 | 2011 |
| 55 | Australia | 4,543,000.00 | 2011 |
| 56 | Mexico | 4,525,000.00 | 2011 |
| 57 | Egypt | 4,494,000.00 | 2011 |
| 58 | Burma | 4,457,000.00 | 2011 |
| 59 | Cote d'Ivoire | 4,288,000.00 | 2011 |
| 60 | Mexico | 4,213,000.00 | 2011 |
| 61 | Turkey | 4,194,000.00 | 2011 |
| 62 | Australia | 3,961,000.00 | 2011 |
| 63 | Brazil | 3,933,000.00 | 2011 |
| 64 | Canada | 3,856,000.00 | 2011 |
| 65 | South Africa | 3,844,000.00 | 2011 |
