CIA - The World Factbook --  Imports - partners   

| Rank | country | (%) | Date of Information |
| 135 | Armenia | 20.00 | 2012 est. |
| 136 | Saint Kitts and Nevis | 19.90 | 2012 |
| 137 | Zambia | 19.80 | 2012 |
| 138 | Tunisia | 19.80 | 2012 |
| 139 | Pakistan | 19.70 | 2012 |
| 140 | Congo, Republic of the | 19.50 | 2012 |
| 141 | France | 19.50 | 2012 |
| 142 | Cambodia | 19.50 | 2012 |
| 143 | Angola | 19.50 | 2012 |
| 144 | Paraguay | 19.50 | 2012 |
| 145 | Turkmenistan | 19.50 | 2012 |
| 146 | Samoa | 19.20 | 2012 |
| 147 | Latvia | 19.10 | 2012 |
| 148 | Korea, North | 19.00 | 2012 est. |
| 149 | Saint Vincent and the Grenadines | 19.00 | 2012 |
| 150 | United States | 19.00 | 2012 |
| 151 | Saint Lucia | 19.00 | 2012 |
| 152 | Vanuatu | 18.80 | 2012 |
| 153 | Nicaragua | 18.80 | 2013 est. |
| 154 | Cameroon | 18.70 | 2012 |
| 155 | Samoa | 18.60 | 2012 |
| 156 | Slovakia | 18.60 | 2012 |
| 157 | Australia | 18.40 | 2012 |
| 158 | Equatorial Guinea | 18.40 | 2012 |
| 159 | Paraguay | 18.30 | 2012 |
| 160 | Nigeria | 18.30 | 2012 |
| 161 | Chad | 18.20 | 2012 |
| 162 | Chile | 18.20 | 2012 |
| 163 | Sudan | 18.10 | 2012 |
| 164 | Slovakia | 18.00 | 2012 |
| 165 | Afghanistan | 18.00 | 2012 |
| 166 | Finland | 17.70 | 2012 |
| 167 | Madagascar | 17.70 | 2012 |
| 168 | Taiwan | 17.60 | 2012 est. |
| 169 | Burkina Faso | 17.60 | 2012 |
| 170 | Samoa | 17.60 | 2012 |
| 171 | Romania | 17.50 | 2012 |
| 172 | Greenland | 17.50 | 2012 |
| 173 | Guinea-Bissau | 17.50 | 2012 |
| 174 | Kyrgyzstan | 17.40 | 2012 |
| 175 | Sweden | 17.40 | 2012 |
| 176 | Equatorial Guinea | 17.40 | 2012 |
| 177 | Rwanda | 17.30 | 2012 |
| 178 | Georgia | 17.00 | 2013 est. |
| 179 | Turkmenistan | 17.00 | 2012 |
| 180 | United Arab Emirates | 17.00 | 2012 |
| 181 | Venezuela | 16.80 | 2012 |
| 182 | Tunisia | 16.70 | 2012 |
| 183 | Russia | 16.60 | 2012 est. |
| 184 | Iceland | 16.60 | 2012 |
| 185 | Malawi | 16.60 | 2012 |
| 186 | Uzbekistan | 16.60 | 2012 |
| 187 | Sierra Leone | 16.50 | 2012 |
| 188 | Slovenia | 16.50 | 2012 |
| 189 | Uzbekistan | 16.40 | 2012 |
| 190 | Uruguay | 16.40 | 2012 |
| 191 | Djibouti | 16.40 | 2012 |
| 192 | Grenada | 16.40 | 2012 |
| 193 | New Zealand | 16.40 | 2012 |
| 194 | Bangladesh | 16.30 | 2013 est. |
| 195 | Tanzania | 16.30 | 2012 |
| 196 | Slovenia | 16.30 | 2012 |
| 197 | Colombia | 16.30 | 2012 |
| 198 | Iraq | 16.20 | 2012 |
| 199 | Laos | 16.20 | 2012 |
| 200 | Senegal | 16.20 | 2012 |
| 201 | Liberia | 16.10 | 2012 |
| 202 | Chad | 16.10 | 2012 |
| 203 | Taiwan | 16.10 | 2012 est. |
| 204 | Suriname | 16.00 | 2012 |
| 205 | Mauritius | 16.00 | 2012 |
| 206 | Samoa | 15.80 | 2012 |
| 207 | Comoros | 15.70 | 2012 |
| 208 | Rwanda | 15.60 | 2012 |
| 209 | Jamaica | 15.60 | 2012 |
| 210 | Korea, South | 15.60 | 2011 est. |
| 211 | Uganda | 15.60 | 2012 |
| 212 | Argentina | 15.60 | 2012 |
| 213 | Dominica | 15.60 | 2012 |
| 214 | Fiji | 15.50 | 2012 |
| 215 | Mexico | 15.40 | 2012 |
| 216 | Uganda | 15.40 | 2012 |
| 217 | Kenya | 15.40 | 2012 |
| 218 | Indonesia | 15.30 | 2012 |
| 219 | Congo, Democratic Republic of the | 15.30 | 2012 |
| 220 | Brazil | 15.30 | 2012 |
| 221 | Burkina Faso | 15.20 | 2012 |
| 222 | New Zealand | 15.20 | 2012 |
| 223 | Tajikistan | 15.20 | 2012 est. |
| 224 | Malaysia | 15.10 | 2012 |
| 225 | Estonia | 15.10 | 2012 |
| 226 | Vanuatu | 15.00 | 2012 |
| 227 | Belize | 15.00 | 2012 |
| 228 | Cameroon | 14.90 | 2012 |
| 229 | Thailand | 14.90 | 2012 |
| 230 | Uruguay | 14.90 | 2012 |
| 231 | Finland | 14.80 | 2012 |
| 232 | Italy | 14.73 | 2013 est. |
| 233 | Brazil | 14.60 | 2012 |
| 234 | Uruguay | 14.60 | 2012 |
| 235 | Tajikistan | 14.50 | 2012 est. |
| 236 | Fiji | 14.50 | 2012 |
| 237 | Niger | 14.40 | 2012 |
| 238 | South Africa | 14.40 | 2012 |
| 239 | Moldova | 14.30 | 2012 est. |
| 240 | Belgium | 14.20 | 2012 |
| 241 | Comoros | 14.20 | 2012 |
| 242 | Guinea | 14.20 | 2012 |
| 243 | Qatar | 14.20 | 2013 est. |
| 244 | United States | 14.10 | 2012 |
| 245 | Azerbaijan | 14.10 | 2013 est. |
| 246 | Peru | 14.00 | 2012 |
| 247 | Finland | 13.90 | 2012 |
| 248 | Vietnam | 13.90 | 2012 |
| 249 | Netherlands | 13.80 | 2012 |
| 250 | Iran | 13.80 | 2012 |
| 251 | Papua New Guinea | 13.80 | 2012 |
| 252 | Greece | 13.80 | 2013 est. |
| 253 | Azerbaijan | 13.70 | 2013 est. |
| 254 | United Arab Emirates | 13.70 | 2012 |
| 255 | Croatia | 13.70 | 2012 est. |
| 256 | Norway | 13.60 | 2012 |
| 257 | Indonesia | 13.60 | 2012 |
| 258 | Congo, Republic of the | 13.50 | 2012 |
| 259 | Dominica | 13.50 | 2012 |
| 260 | Denmark | 13.50 | 2012 |
| 261 | Saudi Arabia | 13.50 | 2012 |
| 262 | Malaysia | 13.30 | 2012 |
| 263 | Saudi Arabia | 13.20 | 2012 |
| 264 | Ireland | 13.20 | 2012 |
| 265 | Somalia | 13.20 | 2012 |
| 266 | Moldova | 13.10 | 2012 est. |
| 267 | Morocco | 13.10 | 2012 |
| 268 | Ethiopia | 13.10 | 2012 |
| 269 | Macau | 13.00 | 2013 est. |
| 270 | Libya | 13.00 | 2012 |
| 271 | Mauritania | 12.90 | 2012 |
| 272 | Israel | 12.90 | 2012 |
| 273 | Senegal | 12.90 | 2012 |
| 274 | Germany | 12.88 | 2013 est. |
| 275 | Algeria | 12.80 | 2012 |
| 276 | Uganda | 12.80 | 2012 |
| 277 | Bosnia and Herzegovina | 12.80 | 2012 est. |
| 278 | El Salvador | 12.70 | 2012 |
| 279 | Turkmenistan | 12.60 | 2012 |
| 280 | Gabon | 12.60 | 2012 |
| 281 | United Kingdom | 12.60 | 2012 |
| 282 | Uzbekistan | 12.50 | 2012 |
| 283 | Oman | 12.50 | 2012 |
| 284 | Croatia | 12.50 | 2012 est. |
| 285 | Azerbaijan | 12.50 | 2013 est. |
| 286 | Iraq | 12.50 | 2012 |
| 287 | Madagascar | 12.40 | 2012 |
| 288 | Norway | 12.40 | 2012 |
| 289 | Korea, South | 12.40 | 2011 est. |
| 290 | Guyana | 12.30 | 2012 |
| 291 | Mozambique | 12.30 | 2012 |
| 292 | Pakistan | 12.30 | 2012 |
| 293 | Cameroon | 12.30 | 2012 |
| 294 | Poland | 12.20 | 2012 |
| 295 | Russia | 12.20 | 2012 est. |
| 296 | Seychelles | 12.10 | 2012 |
| 297 | Morocco | 12.10 | 2012 |
| 298 | Pakistan | 12.10 | 2012 |
| 299 | United States | 12.00 | 2012 |
| 300 | Netherlands | 12.00 | 2012 |
| 301 | Moldova | 12.00 | 2012 est. |
| 302 | Cyprus | 11.90 | 2012 |
| 303 | Argentina | 11.90 | 2012 |
| 304 | Indonesia | 11.90 | 2012 |
| 305 | Kosovo | 11.90 | 2012 est. |
| 306 | Spain | 11.80 | 2012 |
| 307 | Brunei | 11.80 | 2012 |
| 308 | Algeria | 11.80 | 2012 |
| 309 | Iran | 11.80 | 2012 |
| 310 | Kuwait | 11.80 | 2013 est. |
| 311 | Australia | 11.70 | 2012 |
| 312 | Uganda | 11.70 | 2012 |
| 313 | New Caledonia | 11.70 | 2012 |
| 314 | Libya | 11.60 | 2012 |
| 315 | Latvia | 11.60 | 2012 |
| 316 | Vanuatu | 11.60 | 2012 |
| 317 | Mozambique | 11.60 | 2012 |
| 318 | Aruba | 11.50 | 2012 |
| 319 | Spain | 11.50 | 2012 |
| 320 | Paraguay | 11.50 | 2012 |
| 321 | Philippines | 11.50 | 2012 |
| 322 | Kosovo | 11.50 | 2012 est. |
| 323 | Croatia | 11.50 | 2012 est. |
| 324 | Comoros | 11.50 | 2012 |
| 325 | Portugal | 11.50 | 2012 |
| 326 | Belize | 11.50 | 2012 |
| 327 | Bosnia and Herzegovina | 11.40 | 2012 est. |
| 328 | Guatemala | 11.30 | 2012 |
| 329 | France | 11.30 | 2012 |
| 330 | Niger | 11.30 | 2012 |
| 331 | Turkey | 11.30 | 2012 |
| 332 | Ecuador | 11.30 | 2012 |
| 333 | Burundi | 11.30 | 2012 |
| 334 | Bulgaria | 11.30 | 2012 |
| 335 | Syria | 11.20 | 2012 |
| 336 | Mali | 11.20 | 2012 |
| 337 | Lebanon | 11.20 | 2012 |
| 338 | Equatorial Guinea | 11.10 | 2012 |
| 339 | Qatar | 11.10 | 2013 est. |
| 340 | Kosovo | 11.10 | 2012 est. |
| 341 | Romania | 11.00 | 2012 |
| 342 | Ghana | 11.00 | 2012 |
| 343 | Armenia | 11.00 | 2012 est. |
| 344 | Cote d'Ivoire | 11.00 | 2012 |
| 345 | Ethiopia | 11.00 | 2012 |
| 346 | Canada | 11.00 | 2012 |
| 347 | Macedonia | 11.00 | 2012 est. |
| 348 | Kazakhstan | 10.90 | 2012 |
| 349 | Colombia | 10.90 | 2012 |
| 350 | Bolivia | 10.90 | 2012 |
| 351 | Cuba | 10.80 | 2012 |
| 352 | Philippines | 10.80 | 2012 |
| 353 | Jamaica | 10.80 | 2012 |
