CIA - The World Factbook --  HIV/AIDS - deaths   

This entry gives an estimate of the number of adults and children who died of AIDS during a given calendar year.

| Rank | country | HIV/AIDS - deaths | Date of Information |
| 131 | Slovakia | 100 | 2009 est. |
| 132 | Slovenia | 100 | 2009 est. |
| 133 | Sweden | 100 | 2009 est. |
| 134 | Switzerland | 100 | 2009 est. |
| 135 | Tunisia | 100 | 2009 est. |
| 136 | Iceland | 100 | 2009 est. |
| 137 | Georgia | 100 | 2009 est. |
| 138 | Finland | 100 | 2009 est. |
| 139 | Fiji | 100 | 2009 est. |
| 140 | Denmark | 100 | 2009 est. |
| 141 | Czech Republic | 100 | 2009 est. |
| 142 | Cuba | 100 | 2009 est. |
| 143 | Croatia | 100 | 2009 est. |
| 144 | Comoros | 100 | 2009 est. |
| 145 | Bosnia and Herzegovina | 100 | 2001 est. |
| 146 | Bhutan | 100 | 2009 est. |
| 147 | Belgium | 100 | 2009 est. |
| 148 | Barbados | 100 | 2009 est. |
| 149 | Austria | 100 | 2009 est. |
| 150 | Turkmenistan | 100 | 2004 est. |
| 151 | Armenia | 100 | 2009 est. |
| 152 | Australia | 100 | 2009 est. |
| 153 | Svalbard | 0 | 2001 |
