CIA - The World Factbook --  Drinking water source   

| Rank | country | (% of population) | Date of Information |
| 130 | Mauritius | 99.80 | 2012 est. |
| 131 | Croatia | 99.80 | 2012 est. |
| 132 | Estonia | 99.80 | 2012 est. |
| 133 | Czech Republic | 99.80 | 2012 est. |
| 134 | Greece | 99.80 | 2012 est. |
| 135 | Barbados | 99.80 | 2012 est. |
| 136 | Armenia | 99.70 | 2012 est. |
| 137 | Turkey | 99.70 | 2012 est. |
| 138 | Brazil | 99.70 | 2012 est. |
| 139 | Korea, South | 99.70 | 2012 est. |
| 140 | Ireland | 99.70 | 2012 est. |
| 141 | Mauritius | 99.70 | 2012 est. |
| 142 | Chile | 99.60 | 2012 est. |
| 143 | Costa Rica | 99.60 | 2012 est. |
| 144 | United Arab Emirates | 99.60 | 2012 est. |
| 145 | United Arab Emirates | 99.60 | 2012 est. |
| 146 | Bosnia and Herzegovina | 99.60 | 2012 est. |
| 147 | Bosnia and Herzegovina | 99.60 | 2012 est. |
| 148 | Bulgaria | 99.60 | 2012 est. |
| 149 | Slovenia | 99.60 | 2012 est. |
| 150 | Malaysia | 99.60 | 2012 est. |
| 151 | Latvia | 99.60 | 2012 est. |
| 152 | Montenegro | 99.60 | 2012 est. |
| 153 | Czech Republic | 99.60 | 2012 est. |
| 154 | Belarus | 99.60 | 2012 est. |
| 155 | Bosnia and Herzegovina | 99.50 | 2012 est. |
| 156 | Uruguay | 99.50 | 2012 est. |
| 157 | Moldova | 99.50 | 2012 est. |
| 158 | Bulgaria | 99.50 | 2012 est. |
| 159 | Guam | 99.50 | 2012 est. |
| 160 | Guam | 99.50 | 2012 est. |
| 161 | Guam | 99.50 | 2012 est. |
| 162 | Maldives | 99.50 | 2012 est. |
| 163 | Tonga | 99.40 | 2012 est. |
| 164 | United States | 99.40 | 2012 est. |
| 165 | Serbia | 99.40 | 2012 est. |
| 166 | Bhutan | 99.40 | 2012 est. |
| 167 | Macedonia | 99.40 | 2012 est. |
| 168 | Greece | 99.40 | 2012 est. |
| 169 | Slovenia | 99.40 | 2012 est. |
| 170 | Botswana | 99.30 | 2012 est. |
| 171 | Belize | 99.30 | 2012 est. |
| 172 | Egypt | 99.30 | 2012 est. |
| 173 | Lithuania | 99.30 | 2012 est. |
| 174 | Tonga | 99.30 | 2012 est. |
| 175 | United States | 99.20 | 2012 est. |
| 176 | Kazakhstan | 99.20 | 2012 est. |
| 177 | South Africa | 99.20 | 2012 est. |
| 178 | Serbia | 99.20 | 2012 est. |
| 179 | Estonia | 99.10 | 2012 est. |
| 180 | Guatemala | 99.10 | 2012 est. |
| 181 | Sri Lanka | 99.10 | 2012 est. |
| 182 | Argentina | 99.00 | 2012 est. |
| 183 | Belarus | 99.00 | 2012 est. |
| 184 | Tonga | 99.00 | 2012 est. |
| 185 | Montserrat | 99.00 | 2012 est. |
| 186 | Montserrat | 99.00 | 2012 est. |
| 187 | Canada | 99.00 | 2012 est. |
| 188 | Kuwait | 99.00 | 2012 est. |
| 189 | Kuwait | 99.00 | 2012 est. |
| 190 | Kuwait | 99.00 | 2012 est. |
| 191 | Grenada | 99.00 | 2012 est. |
| 192 | Bulgaria | 99.00 | 2012 est. |
| 193 | Montserrat | 99.00 | 2012 est. |
| 194 | Serbia | 98.90 | 2012 est. |
